N	2gram	Trubetskoy	formyVre
1	и в	24	148
2	в этом	13	73
3	то есть	2	70
4	в нем	3	51
5	прежде всего	3	46
6	и не	9	37
7	в его	5	36
8	и его	2	36
9	вовсе не	2	35
10	но и	11	33
11	то же	4	32
12	частной жизни	1	32
13	не только	10	32
14	но в	5	31
15	жизни и	2	31
16	так и	10	29
17	может быть	17	27
18	не в	9	26
19	как мы	3	26
20	как и	10	25
21	как бы	10	25
22	точки зрения	14	24
23	мы уже	4	24
24	только в	6	23
25	в то	6	23
26	в том	31	22
27	то что	18	22
28	связи с	4	21
29	во всех	10	21
30	жизни в	1	21
31	же время	2	21
32	все эти	19	21
33	в своем	12	19
34	и на	6	19
35	и для	6	19
36	таким образом	34	18
37	у него	5	18
38	и все	9	18
39	еще не	6	18
40	по существу	7	18
41	при этом	9	17
42	те же	2	17
43	с этим	12	17
44	так как	7	17
45	все же	15	16
46	в связи	3	16
47	того же	9	16
48	в основе	2	16
49	и их	5	16
50	не может	18	16
51	в разных	3	15
52	в них	2	15
53	в дальнейшем	4	15
54	никогда не	4	15
55	с точки	8	15
56	с его	1	15
57	вместе с	7	15
58	лишь в	5	15
59	и как	1	14
60	и с	5	14
61	так же	8	14
62	в конце	4	14
63	всех этих	4	14
64	а не	1	14
65	все это	13	14
66	в самом	8	13
67	в котором	2	13
68	для того	8	13
69	друг с	9	13
70	с ним	6	13
71	как в	1	13
72	роль в	1	13
73	в их	4	13
74	с другом	9	13
75	в частности	2	13
76	того чтобы	8	13
77	а в	3	13
78	и до	3	12
79	конечно не	3	12
80	время в	1	12
81	не было	2	12
82	он не	4	12
83	отнюдь не	2	12
84	что в	9	12
85	потому что	9	12
86	в истории	3	12
87	ничего не	1	12
88	но не	3	12
89	и наконец	3	12
90	из них	5	11
91	хотя и	4	11
92	его в	5	11
93	между ними	2	11
94	и у	4	11
95	уже в	1	11
96	в ней	3	11
97	и другие	1	10
98	кроме того	1	10
99	уже не	1	10
100	и того	3	10
101	входит в	1	10
102	в ее	1	10
103	сих пор	15	10
104	также и	2	10
105	до сих	15	10
106	уже говорили	1	10
107	и проч	4	10
108	здесь не	1	10
109	тот же	3	10
110	и даже	1	9
111	но все	5	9
112	их в	2	9
113	на этой	3	9
114	с другой	6	9
115	наряду с	1	9
116	всего в	1	9
117	должно быть	5	9
118	и следовательно	1	9
119	и это	3	9
120	в других	1	9
121	могут быть	1	9
122	та же	4	9
123	отношения к	1	9
124	том что	20	9
125	в самой	2	9
126	для него	2	9
127	есть в	2	9
128	жизнь и	3	9
129	и других	3	9
130	одного и	3	9
131	мира в	1	9
132	и к	5	8
133	в результате	9	8
134	в виду	2	8
135	в этих	3	8
136	время как	1	8
137	к тому	8	8
138	в этот	1	8
139	все его	2	8
140	с одной	3	8
141	что и	7	8
142	рядом с	1	8
143	в мире	6	8
144	в индивидуальном	2	8
145	здесь мы	1	8
146	и по	3	8
147	один из	1	8
148	в жизни	3	8
149	для себя	2	8
150	если бы	8	8
151	ступени развития	5	8
152	до конца	1	8
153	и то	4	8
154	том числе	1	8
155	во всяком	2	8
156	это не	3	8
157	и потому	3	8
158	отношение к	4	8
159	отношению к	11	8
160	или иной	1	8
161	в целом	5	8
162	для всех	1	7
163	еще более	1	7
164	имеет место	2	7
165	широком смысле	2	7
166	между собой	4	7
167	к ним	2	7
168	к этому	5	7
169	из этих	8	7
170	в себе	5	7
171	но он	1	7
172	не знает	2	7
173	в которой	5	7
174	в себя	2	7
175	в последующем	1	7
176	с ее	2	7
177	в процессе	2	7
178	например в	1	7
179	поэтому и	1	7
180	то время	2	7
181	себя и	2	7
182	нет ничего	1	7
183	было бы	3	7
184	том же	4	7
185	у них	6	7
186	того что	7	7
187	этот процесс	2	7
188	ее в	1	7
189	отличие от	3	7
190	все что	10	6
191	именно в	5	6
192	с тем	4	6
193	только для	1	6
194	на первый	2	6
195	о том	7	6
196	между двумя	5	6
197	в различных	1	6
198	сказать что	1	6
199	во всей	2	6
200	в качестве	1	6
201	в таком	4	6
202	мы можем	6	6
203	ту же	2	6
204	одной стороны	2	6
205	бы ни	1	6
206	а как	1	6
207	и ее	2	6
208	смысле слова	1	6
209	в сущности	2	6
210	в отношении	1	6
211	мы видим	1	6
212	не могут	4	6
213	в которых	2	6
214	друг от	6	6
215	не является	1	6
216	тех же	2	6
217	человеческого рода	3	6
218	в совершенно	3	6
219	нет и	1	6
220	все они	6	6
221	мы не	1	6
222	в широком	1	6
223	мы находим	1	6
224	от друга	6	6
225	уже сказали	1	6
226	в начале	3	6
227	есть не	1	6
228	мы и	2	5
229	с этой	3	5
230	одно из	3	5
231	тем что	1	5
232	в своей	1	5
233	почти все	2	5
234	хотя бы	4	5
235	всем этим	1	5
236	только на	1	5
237	борьбе с	1	5
238	что все	5	5
239	вполне понятно	1	5
240	с другими	1	5
241	следовательно и	2	5
242	от этого	1	5
243	как человек	1	5
244	так что	6	5
245	одно и	1	5
246	не были	1	5
247	по своей	7	5
248	в этой	7	5
249	и от	5	5
250	мы будем	3	5
251	чаще всего	1	5
252	что они	2	5
253	с ними	2	5
254	далеко не	5	5
255	они не	2	5
256	не имеет	2	5
257	да и	1	5
258	и уже	2	5
259	той же	2	5
260	он может	1	5
261	он должен	2	5
262	ничем не	5	5
263	не без	2	5
264	но на	2	5
265	общества и	2	5
266	и вообще	3	5
267	числе и	1	5
268	бы он	1	5
269	и только	2	5
270	во всем	3	4
271	от него	3	4
272	же и	1	4
273	только что	3	4
274	по всему	1	4
275	даже в	3	4
276	а затем	2	4
277	не являются	1	4
278	другой стороны	5	4
279	в своих	2	4
280	из самых	1	4
281	в корне	1	4
282	из народа	1	4
283	в одно	2	4
284	и со	1	4
285	в данном	3	4
286	в другом	2	4
287	людей и	1	4
288	по отношению	11	4
289	и те	2	4
290	друг на	2	4
291	в нашем	3	4
292	а следовательно	2	4
293	жизни с	1	4
294	все в	2	4
295	несмотря на	6	4
296	к жизни	1	4
297	чем в	3	4
298	между этими	2	4
299	о которых	7	4
300	себе и	1	4
301	именно как	1	4
302	совсем не	1	4
303	за ними	3	4
304	друг другу	1	4
305	в один	2	4
306	и вот	1	4
307	которых мы	4	4
308	оно было	1	4
309	и при	6	4
310	времени к	1	4
311	из того	4	4
312	что он	7	4
313	дело идет	1	4
314	отчасти и	1	4
315	вследствие этого	3	4
316	перед нами	1	4
317	это и	1	4
318	наконец и	1	4
319	и более	2	4
320	своей собственной	1	4
321	совершенно иной	2	4
322	и т.д	4	4
323	на друга	2	4
324	же самое	1	4
325	всяком случае	2	4
326	друг друга	2	4
327	они были	1	4
328	этом случае	4	4
329	бы на	1	4
330	как у	3	4
331	у нас	3	4
332	так в	1	4
333	к концу	1	4
334	на одном	2	4
335	со своей	2	4
336	на его	1	4
337	тем более	3	4
338	связаны с	1	4
339	мы должны	4	4
340	быть и	5	4
341	же что	2	4
342	лишь как	1	4
343	с большой	1	4
344	мы сказали	4	4
345	с которыми	2	3
346	в центре	1	3
347	к другу	2	3
348	различия в	3	3
349	тому что	2	3
350	из всех	5	3
351	говорили в	1	3
352	строго говоря	1	3
353	на нас	3	3
354	далее в	1	3
355	в борьбе	1	3
356	элементы в	1	3
357	из нее	2	3
358	другом месте	1	3
359	в более	1	3
360	но мы	1	3
361	культуры в	10	3
362	и отчасти	1	3
363	вопрос о	3	3
364	которой он	1	3
365	характер в	1	3
366	самого начала	1	3
367	и еще	1	3
368	в прошлом	1	3
369	как на	6	3
370	с такою	1	3
371	еще нет	1	3
372	находится в	1	3
373	в зависимости	1	3
374	не мог	1	3
375	на почве	3	3
376	и весь	2	3
377	времени все	1	3
378	все прочие	4	3
379	и развития	1	3
380	на разных	1	3
381	же как	3	3
382	на земле	3	3
383	одна из	2	3
384	бы в	3	3
385	для развития	1	3
386	на этом	2	3
387	нет но	1	3
388	в тех	3	3
389	других людей	1	3
390	тот или	1	3
391	главным образом	1	3
392	не могла	1	3
393	если они	1	3
394	его к	1	3
395	друг к	2	3
396	народа в	15	3
397	борьбы с	2	3
398	все то	2	3
399	внутренне не	1	3
400	произведения в	1	3
401	пор еще	1	3
402	и затем	1	3
403	и так	2	3
404	правда не	1	3
405	бы не	1	3
406	сравнению с	5	3
407	зависимости от	2	3
408	нет в	2	3
409	развития человечества	2	3
410	еще и	1	3
411	что мы	4	3
412	и между	1	3
413	в течение	4	3
414	в свою	2	3
415	в значительной	1	3
416	не быть	1	3
417	характер не	1	3
418	вступает в	1	3
419	целый ряд	4	3
420	без всякого	1	3
421	нем не	1	3
422	если мы	4	3
