N	2gram	Bakhtin_sl	Istorich
1	и в	69	181
2	и т	56	160
3	т д	7	142
4	может быть	40	115
5	не только	37	114
6	что он	2	111
7	мы имеем	1	102
8	что в	3	90
9	но и	37	85
10	в этом	21	81
11	так как	7	75
12	то что	2	73
13	таким образом	16	72
14	вместе с	3	71
15	и не	32	67
16	мы видим	2	65
17	все же	10	65
18	в этих	8	64
19	еще не	9	63
20	не может	27	61
21	этих случаях	2	60
22	так же	2	57
23	то же	17	56
24	никогда не	9	56
25	в том	7	53
26	том что	6	53
27	а в	10	52
28	с другой	8	52
29	потому что	2	52
30	и что	2	51
31	и здесь	5	51
32	что и	2	51
33	мы видели	3	49
34	а не	29	48
35	о том	5	48
36	связь с	2	47
37	его в	7	47
38	не в	14	47
39	другой стороны	5	46
40	но в	13	44
41	это не	8	43
42	и его	45	43
43	в нем	44	42
44	только в	9	42
45	как в	18	42
46	или в	10	39
47	тем что	1	38
48	и на	17	38
49	в его	19	38
50	для нас	7	38
51	как и	8	37
52	уже не	5	37
53	мы уже	4	37
54	он не	5	37
55	так и	22	37
56	мы увидим	2	36
57	мы можем	1	36
58	что они	2	35
59	мы не	4	35
60	все эти	15	35
61	не всегда	1	34
62	связи с	4	34
63	но не	7	34
64	а именно	2	34
65	у него	5	34
66	видим что	1	34
67	представления о	1	33
68	же как	2	33
69	там где	10	33
70	об этом	1	33
71	сих пор	4	32
72	попадает в	1	32
73	в качестве	4	32
74	один из	9	31
75	прежде всего	14	31
76	так в	2	31
77	ничего не	5	31
78	с этим	5	30
79	с одной	7	30
80	до сих	4	30
81	к нему	7	30
82	этом случае	4	29
83	но все	2	29
84	одной стороны	7	29
85	как мы	15	29
86	но это	3	29
87	и другие	3	28
88	что она	1	28
89	и с	10	28
90	например в	6	28
91	героя в	2	27
92	так что	2	27
93	могут быть	25	27
94	того что	4	27
95	в ином	1	27
96	как он	2	27
97	как это	3	26
98	на него	1	26
99	и др	17	26
100	в ней	7	26
101	и он	1	25
102	не менее	4	24
103	к этому	3	24
104	было бы	3	24
105	того как	2	24
106	в виде	4	24
107	если бы	1	24
108	что мы	1	24
109	как бы	16	23
110	и это	1	23
111	тем не	2	23
112	в этой	1	23
113	имеем в	1	23
114	все это	14	23
115	в частности	3	23
116	и по	3	22
117	с ним	12	22
118	при этом	12	22
119	в некоторых	3	22
120	связано с	3	21
121	в другом	4	21
122	в одном	4	21
123	сказать что	4	21
124	в связи	2	21
125	связан с	2	21
126	здесь не	6	21
127	к тому	3	21
128	они не	3	21
129	из них	3	20
130	из этих	3	20
131	она не	8	20
132	одна из	6	20
133	в свете	3	20
134	в других	4	20
135	очень часто	1	20
136	видели что	1	20
137	а затем	1	19
138	с собой	1	19
139	на том	2	19
140	но он	4	19
141	в другой	2	19
142	есть и	1	19
143	на то	2	19
144	и как	3	19
145	и говорит	1	18
146	в то	17	18
