N	4gram	Propp_Russ	KulturaY
1	состоит в том что	16	4
2	одного и того же	1	4
3	и т д и	1	4
4	т е как бы	1	3
5	не только потому что	1	3
6	есть вместе с тем	1	3
7	в тех случаях когда	2	3
8	обращает на себя внимание	1	2
9	не что иное как	3	2
10	нужно иметь в виду	1	1
11	и в этом случае	2	1
12	как это имело место	1	1
13	оставляет сомнений в их	1	1
14	сказывается и в том	1	1
15	в одном ряду с	1	1
16	что мы имеем здесь	1	1
17	и во многих других	1	1
18	ниже мы увидим что	1	1
19	стоит в одном ряду	1	1
20	иметь в виду что	1	1
21	в то время как	1	1
22	нас в данном случае	1	1
23	а может быть и	1	1
24	а вместе с тем	1	1
25	в значении этого слова	1	1
26	о том что в	1	1
27	стоит в связи с	2	1
28	необходимо для того чтобы	1	1
29	одном и том же	1	1
30	и т д а	1	1
31	в одном из своих	1	1
32	только о том что	1	1
33	в этом случае он	1	1
34	не оставляет сомнений в	2	1
35	как это имеет место	3	1
36	в одном и том	1	1
37	в русском языке на	1	1
38	состояло в том что	2	1
39	в том что один	1	1
40	приводит к тому что	1	1
41	представлять себе дело так	1	1
42	себе дело так будто	1	1
43	на том основании что	1	1
