N	2gram	Tiupa_Anal	Istorich
1	в сказке	1	252
2	и в	30	181
3	и т	3	160
4	может быть	33	115
5	не только	30	114
6	что он	3	111
7	мы имеем	9	102
8	что в	7	90
9	но и	29	85
10	в этом	31	81
11	так как	3	75
12	то что	11	73
13	таким образом	5	72
14	вместе с	6	71
15	и не	33	67
16	мы видим	1	65
17	все же	4	65
18	в этих	3	64
19	еще не	5	63
20	не может	26	61
21	этих случаях	2	60
22	так же	1	57
23	то же	12	56
24	никогда не	4	56
25	в том	36	53
26	том что	21	53
27	а в	11	52
28	с другой	7	52
29	потому что	3	52
30	и что	2	51
31	и здесь	1	51
32	что и	5	51
33	а не	25	48
34	о том	11	48
35	связь с	1	47
36	его в	2	47
37	не в	17	47
38	другой стороны	2	46
39	превращается в	3	45
40	мы должны	2	44
41	но в	11	44
42	это не	7	43
43	и его	9	43
44	в нем	3	42
45	только в	8	42
46	как в	3	42
47	или в	2	39
48	что герой	1	38
49	тем что	2	38
50	и на	10	38
51	в его	15	38
52	для нас	1	38
53	как и	23	37
54	уже не	6	37
55	мы уже	2	37
56	он не	4	37
57	так и	16	37
58	мы увидим	1	36
59	с тем	1	35
60	мы не	1	35
61	здесь мы	1	35
62	все эти	3	35
63	не всегда	4	34
64	связи с	2	34
65	но не	13	34
66	а именно	3	34
67	у него	5	34
68	во время	1	34
69	что это	1	34
70	об этом	1	33
71	сих пор	1	32
72	попадает в	2	32
73	в качестве	38	32
74	один из	4	31
75	прежде всего	8	31
76	представляет собой	23	31
77	ничего не	10	31
78	с одной	7	30
79	до сих	1	30
80	к нему	4	30
81	при помощи	2	30
82	этом случае	4	29
83	но все	1	29
84	одной стороны	6	29
85	как мы	3	29
86	но это	1	29
87	что она	1	28
88	и с	2	28
89	например в	1	28
90	героя в	2	27
91	так что	3	27
92	могут быть	12	27
93	в образе	1	27
94	того что	5	27
95	в ином	2	27
96	как он	4	27
97	как это	5	26
98	иной мир	1	26
99	на него	3	26
100	и др	1	26
101	представляют собой	4	26
102	в ней	1	26
103	вопрос о	2	25
104	и он	1	25
105	не менее	5	24
106	к этому	2	24
107	было бы	4	24
108	в виде	1	24
109	если бы	6	24
110	что мы	3	24
111	их в	1	23
112	как бы	15	23
113	тем не	3	23
114	в этой	12	23
115	имеем в	1	23
116	все это	2	23
117	когда он	1	23
118	в частности	32	23
119	и по	2	22
120	с ним	6	22
121	при этом	20	22
122	в другом	4	21
123	в одном	3	21
124	сказать что	2	21
125	о смерти	1	21
126	в связи	2	21
127	связан с	1	21
128	здесь не	2	21
129	к тому	12	21
130	они не	1	21
131	ее в	2	21
132	из них	2	20
133	из этих	2	20
134	одна из	1	20
135	в силу	4	20
136	после чего	1	20
137	а затем	3	19
138	с собой	1	19
139	так например	2	19
140	на том	1	19
141	но он	1	19
142	в тех	1	19
143	все еще	1	19
144	на то	2	19
145	и как	6	19
146	в то	10	18
147	что этот	1	18
148	не все	3	18
149	в данном	6	18
150	вовсе не	4	18
151	в них	1	17
152	нас к	2	17
153	том как	1	17
154	то и	2	17
155	по существу	1	17
156	дело не	5	17
157	и только	1	17
158	герой в	1	16
159	во всех	5	16
160	этот вопрос	1	16
161	всех этих	2	16
162	в котором	5	16
163	между двумя	7	16
164	не вполне	2	16
165	и все	5	16
166	со стороны	5	16
167	перед нами	1	16
168	даже в	5	15
169	в пределах	11	15
170	в особенности	1	15
171	и то	4	15
172	в своей	7	15
173	в которых	1	15
174	данном случае	3	15
175	его и	3	15
176	волшебной сказки	1	15
177	и там	1	15
178	и эти	2	15
179	как будто	6	15
180	и даже	10	15
181	на его	4	15
182	и тем	4	15
183	он в	5	15
184	друг друга	1	15
185	в целом	9	15
186	с этой	2	14
187	от него	2	14
188	но мы	2	14
189	по отношению	10	14
190	можно было	1	14
191	в него	1	14
192	и ее	1	14
193	одной из	2	14
194	на вопрос	5	14
195	у нас	1	14
196	его на	1	14
197	должна быть	1	14
198	и есть	3	14
199	из которых	4	14
200	а также	8	14
201	отношение к	2	14
202	отношению к	9	14
203	на себя	5	14
204	и наконец	2	14
205	в своем	2	13
206	на котором	3	13
207	по себе	6	13
208	пребывание в	1	13
209	тогда как	30	13
210	и для	3	13
211	в себе	17	13
212	в таких	1	13
213	все что	3	13
214	своего рода	12	13
215	не просто	2	13
216	на этом	4	13
217	и от	1	13
218	с ними	2	13
219	не имеет	1	13
220	смерти и	1	13
221	к своему	2	13
222	его не	1	13
223	и если	2	13
224	что иное	6	13
225	таким же	1	13
226	во всем	1	12
227	хотя бы	4	12
228	к себе	1	12
229	утверждать что	1	12
230	ответ на	3	12
231	о нем	4	12
232	в их	8	12
233	к этой	1	12
234	не знает	4	12
235	одним из	3	12
236	что не	3	12
237	между прочим	1	12
238	дает ему	1	12
239	за ним	2	12
240	с мотивом	1	12
241	случаях когда	1	12
242	это происходит	1	12
243	не знаю	2	12
244	и их	2	12
245	интересно что	1	11
246	миф о	1	11
247	точки зрения	10	11
248	я не	2	11
249	никто не	3	11
250	иное как	6	11
251	у меня	1	11
252	только с	2	11
253	уже в	1	11
254	же в	1	11
255	происходит в	1	11
256	по мере	1	11
257	если он	1	11
258	имеется в	1	11
259	восходит к	2	11
260	не что	5	11
261	тех случаях	1	11
262	хотя и	4	11
263	на которой	2	11
264	и более	5	11
265	этого не	1	11
266	такой же	3	11
267	человека в	1	11
268	далеко не	6	11
269	и к	5	10
270	он видит	1	10
271	не как	2	10
272	к ним	1	10
273	от них	1	10
274	не было	1	10
275	в которой	3	10
276	а с	3	10
277	и тот	2	10
278	его к	3	10
279	на основе	3	10
280	вступает в	4	10
281	вслед за	3	10
282	вступления в	1	10
283	еще один	1	10
284	что же	3	10
285	но если	1	10
286	он и	3	10
287	пока не	1	10
288	о чем	3	10
289	говорит о	5	10
290	на этой	2	10
291	не должен	2	10
292	в различных	1	10
293	как правило	7	10
294	друг с	2	10
295	не мог	3	10
296	себя в	8	10
297	в состоянии	1	10
298	в ее	2	10
299	но как	1	10
300	ни в	5	10
301	если не	2	10
302	ли он	3	10
303	только одна	1	10
304	он может	2	10
305	указывает на	1	10
306	не можем	1	10
307	более или	2	9
308	и вместе	1	9
309	на первый	1	9
310	только на	3	9
311	себе в	2	9
312	том чтобы	7	9
313	она в	1	9
314	в чем	2	9
315	не будет	3	9
316	также не	1	9
317	герой не	1	9
318	тогда когда	3	9
319	силу и	1	9
320	зависимости от	1	9
321	в течение	1	9
322	в свою	1	9
323	на этот	2	9
324	тот же	2	9
325	зависит от	1	9
326	бы мы	1	9
327	из этого	2	9
328	ты не	2	9
329	в первую	1	9
330	которой он	1	9
331	следующим образом	1	9
332	не могут	3	9
333	в себя	8	9
334	пребывания в	1	9
335	он показывает	1	9
336	а как	4	9
337	означает что	3	9
338	и вновь	1	9
339	в основе	6	9
340	с его	3	9
341	из него	1	9
342	ему в	3	9
343	же не	3	9
344	но по	1	9
345	с другом	2	9
346	или менее	2	9
347	таких случаях	1	9
348	приводит к	2	9
349	говорилось выше	1	9
350	что на	3	9
351	по этому	1	9
352	жизни и	1	9
353	только что	1	8
354	и сам	4	8
355	именно в	6	8
356	во всяком	1	8
357	он был	3	8
358	с другими	4	8
359	чем это	1	8
360	мы будем	1	8
361	не так	3	8
362	та же	1	8
363	на нем	1	8
364	подобно тому	5	8
365	с целью	2	8
366	он же	1	8
367	из его	2	8
368	только тогда	1	8
369	и наоборот	3	8
370	смерть и	2	8
371	независимо от	2	8
372	смысле этого	1	8
373	приводит нас	1	8
374	и другое	1	8
375	или даже	3	8
376	и потому	2	8
377	не с	8	8
378	тем самым	9	8
379	на смерть	1	8
380	же самое	3	8
381	частный случай	1	8
382	которые в	3	8
383	для этого	2	8
384	или по	1	8
385	одно из	2	8
386	в этнографии	1	8
387	роль в	3	8
388	и стал	2	8
389	можно сказать	6	8
390	входит в	1	8
391	в зависимости	1	8
392	тут же	2	8
393	она и	1	8
394	что его	1	8
395	встречается в	1	8
396	в целях	1	8
397	в современной	1	8
398	что ты	1	8
399	его с	1	8
400	может оказаться	1	8
401	здесь в	2	8
402	и эта	1	8
403	вообще не	2	8
404	не имеют	1	8
405	должен быть	6	8
406	тому как	5	8
407	в жизни	1	8
408	на это	2	8
409	не столько	5	7
410	только через	2	7
411	этой стороны	1	7
412	первый взгляд	1	7
413	уже и	1	7
414	ключ к	2	7
415	будто бы	4	7
416	тому что	2	7
417	не есть	8	7
418	между собой	2	7
419	здесь и	1	7
420	в эту	3	7
421	между тем	7	7
422	над ним	1	7
423	если в	3	7
424	и при	1	7
425	самом деле	3	7
426	к которым	1	7
427	состоит в	16	7
428	что оно	1	7
429	где он	1	7
430	на самом	2	7
431	что ни	2	7
432	образом в	1	7
433	он взял	1	7
434	в стране	1	7
435	здесь совершенно	2	7
436	в начале	3	7
437	еще в	4	7
438	это означает	3	7
439	в области	4	7
440	вплоть до	2	7
441	случае мы	1	7
442	те же	3	7
443	связь между	1	7
444	как на	1	7
445	еще одна	3	7
446	ее и	1	7
447	указать на	1	7
448	в конце	4	7
449	себе и	1	7
450	а только	1	7
451	того же	7	7
452	однако в	4	7
453	половой зрелости	1	7
454	совершенно не	2	7
455	то он	3	7
456	тех же	1	7
457	того чтобы	3	7
458	что я	1	7
459	этого слова	10	7
460	всяком случае	1	7
461	для него	5	7
462	как у	1	7
463	со своим	4	7
464	а то	3	7
465	как она	1	7
466	по его	2	7
467	в какой	3	7
468	думать что	2	7
469	со своими	1	7
470	одного из	4	7
471	и о	3	7
472	эти два	1	7
473	есть не	9	7
474	же и	1	6
475	с героем	1	6
476	его от	3	6
477	между ними	1	6
478	не удается	1	6
479	этой связи	2	6
480	дело с	5	6
481	той же	4	6
482	не происходит	1	6
483	с одним	1	6
484	как говорит	3	6
485	что как	3	6
486	чтобы он	1	6
487	равно как	1	6
488	его как	3	6
489	это приводит	1	6
490	оно может	3	6
491	на место	3	6
492	еще одно	1	6
493	с миром	1	6
494	нет ничего	2	6
495	в роли	4	6
496	от которого	4	6
497	довольно много	1	6
498	это еще	2	6
499	этих двух	1	6
500	отличие от	8	6
501	ей в	1	6
502	также и	3	6
503	одну из	2	6
504	от отца	1	6
505	самое что	1	6
506	не случайно	11	6
507	для того	4	6
508	сводится к	6	6
509	волшебная сказка	1	6
510	его за	1	6
511	что ее	1	6
512	от себя	4	6
513	так у	4	6
514	и становится	1	6
515	то в	2	6
516	имеется и	1	6
517	и за	3	6
518	что все	2	6
519	тому же	6	6
520	вопрос почему	1	6
521	себе не	2	6
522	я его	2	6
523	даже не	2	6
524	быть и	1	6
525	были бы	1	6
526	отношения к	4	6
527	борьбы с	3	6
528	этой точки	2	6
529	к которой	1	6
530	со всех	1	6
531	и тогда	3	6
532	героя а	1	6
533	а я	1	6
534	меня не	1	6
535	видеть в	1	6
536	с той	2	6
537	на той	1	6
538	и уже	1	6
539	в виду	2	5
540	в своих	1	5
541	мы и	1	5
542	получает от	1	5
543	бы в	3	5
544	во все	1	5
545	из себя	1	5
546	его по	1	5
547	или не	2	5
548	к отцу	1	5
549	но когда	1	5
550	в сторону	6	5
551	эти слова	1	5
552	проникнуть в	1	5
553	по своей	6	5
554	или иное	1	5
555	могла бы	3	5
556	них не	1	5
557	для чего	2	5
558	с ее	2	5
559	сказка в	1	5
560	ним и	2	5
561	для них	1	5
562	оно не	1	5
563	о природе	1	5
564	особого рода	9	5
565	от своего	3	5
566	их и	1	5
567	есть на	1	5
568	да и	2	5
569	о котором	1	5
570	в каком	1	5
571	в главе	1	5
572	это только	2	5
