N	4gram	Vygotskiy_	Hudozhes
1	в то же время	1	7
2	состоит в том что	3	4
3	мы имеем в виду	1	3
4	одно и то же	2	3
5	в том числе и	3	2
6	ни в коем случае	1	2
7	и в самом деле	1	2
8	в том что он	1	2
9	бы то ни было	1	2
10	в коем случае не	1	2
11	в той или иной	1	2
12	приводит к тому что	1	2
13	с этой точки зрения	1	2
14	и в то же	1	2
15	заключается в том что	6	1
16	здесь и теперь в	1	1
17	так же точно и	1	1
18	отношение человека к действительности	1	1
19	как раз в том	1	1
20	в одном и том	1	1
21	той или иной мере	1	1
22	а с другой стороны	3	1
23	с одной стороны и	3	1
24	раз в том что	1	1
25	который в отличие от	2	1
26	не сама по себе	1	1
27	фонетической и семантической сторон	1	1
28	а по своей природе	1	1
29	с другой стороны изучение	1	1
30	одном и том же	1	1
31	во всей его сложности	1	1
32	точно так же как	1	1
