N	4gram	Ircho_Kome	Tvorches
1	в то же время	11	24
2	и в то же	2	6
3	в том что в	1	3
4	в том числе и	2	2
5	приходит в ужас от	1	1
6	его для того чтобы	1	1
7	в каждом из нас	1	1
8	не с точки зрения	1	1
9	в конце концов к	1	1
10	то по крайней мере	1	1
11	ни в чем не	2	1
12	одного и того же	1	1
13	и в самом деле	7	1
14	а с точки зрения	1	1
15	мы имеем в виду	2	1
16	до сих пор еще	1	1
17	бы то ни было	3	1
18	один из самых ярких	1	1
19	в отношении к ней	1	1
20	столь же ясно что	1	1
21	и в свою очередь	2	1
