N	2gram	Berdyaev_M	ViktorSh
1	конце концов	3	2
2	в конце	11	2
3	и в	61	2
4	в том	9	2
5	том что	7	2
6	в другом	1	1
7	все время	3	1
8	но это	8	1
9	ведь это	2	1
10	связанным с	1	1
11	в самом	15	1
12	не одно	1	1
13	для них	3	1
14	хотел сказать	1	1
15	все то	1	1
16	жизни которое	1	1
17	ни к	2	1
18	самом деле	2	1
19	более чем	3	1
20	в частности	1	1
21	же все	1	1
22	и то	2	1
23	так в	1	1
24	и заключается	1	1
25	не хотел	5	1
26	стоит на	2	1
27	то чего	1	1
28	и его	13	1
29	от многих	1	1
30	они тогда	1	1
31	к чему	5	1
32	под влиянием	1	1
33	бы уже	1	1
34	значительной степени	2	1
35	на одном	1	1
36	хотя бы	8	1
37	по поводу	1	1
38	о пределах	1	1
39	тем более	1	1
40	в которых	5	1
41	к этому	3	1
42	только в	7	1
43	потому что	25	1
44	в значительной	2	1
45	в их	4	1
46	и почти	1	1
47	и только	1	1
48	то же	4	1
49	по своим	1	1
50	и не	26	1
51	я не	4	1
52	да и	1	1
53	в этом	34	1
54	так как	10	1
55	все это	6	1
