N	3gram	Ircho_Kome	Narrotol
1	в том что	13	18
2	в данном случае	1	17
3	не только в	1	13
4	в отличие от	3	11
5	по отношению к	5	11
6	к тому же	12	9
7	о том что	6	9
8	тем не менее	2	8
9	в соответствии с	2	8
10	той или иной	1	8
11	то же время	5	8
12	в то же	5	8
13	в этом отношении	3	8
14	состоит в том	1	6
15	мы имеем дело	1	6
16	во времени и	1	6
17	с одной стороны	5	6
18	для того чтобы	3	5
19	но при этом	1	5
20	но и в	2	5
21	подобно тому как	1	5
22	имеем дело с	1	5
23	к тому что	3	4
24	во всяком случае	4	4
25	обращает на себя	4	3
26	до сих пор	3	3
27	в первом случае	1	3
28	речь идет о	5	3
29	в зависимости от	1	3
30	точно так же	1	3
31	в связи с	3	3
32	то же самое	2	3
33	едва ли не	6	3
34	в ответ на	1	3
35	а то и	3	3
36	того или иного	1	3
37	на то что	2	3
38	так и не	1	3
39	на себя внимание	4	3
40	что у нее	1	3
41	мере в какой	1	2
42	и т п	7	2
43	одного из наиболее	1	2
44	более или менее	1	2
45	всю свою жизнь	1	2
46	в частности в	2	2
47	что у него	3	2
48	а между тем	1	2
49	на мой взгляд	1	2
50	тому же в	5	2
51	в нем не	1	2
52	на то чтобы	1	2
53	на этот раз	5	2
54	хотя и не	1	2
55	не в его	1	2
56	но все же	1	2
57	но и не	1	2
58	в отрыве от	1	2
59	можно было бы	3	2
60	так же как	1	2
61	только потому что	2	2
62	что иное как	1	2
63	в самом начале	3	1
64	и тот же	1	1
65	и столь же	2	1
66	мы уже знаем	1	1
67	до нас в	1	1
68	вслед за этим	1	1
69	в той же	2	1
70	то что он	2	1
71	в большинстве случаев	2	1
72	одной из этих	1	1
73	в этом смысле	2	1
74	по сравнению с	1	1
75	то что не	1	1
76	почти полное забвение	1	1
77	по своему происхождению	2	1
78	при этом что	2	1
79	раз в жизни	1	1
80	было ясно что	1	1
81	и еще более	1	1
82	в самую суть	1	1
83	на три группы	1	1
84	не представляется возможным	1	1
85	при этом некоторые	1	1
86	за собой и	1	1
87	в том числе	4	1
88	этих двух наиболее	1	1
89	между тем не	1	1
90	друг от друга	2	1
91	но это вовсе	1	1
92	так или иначе	4	1
93	сам по себе	1	1
94	связи с этим	1	1
95	так и в	1	1
96	в том случае	1	1
97	в разговоре с	1	1
98	в обоих случаях	3	1
99	сомневаться в том	2	1
100	бросается в глаза	1	1
101	большей или меньшей	1	1
102	по аналогии с	1	1
103	в следующем году	1	1
104	само по себе	1	1
105	каждого из этих	1	1
106	в чем не	1	1
107	том что в	1	1
108	особое место среди	1	1
109	том что на	1	1
110	из них не	1	1
111	то ни было	4	1
112	в рамках этой	1	1
113	и даже не	1	1
114	жизни так что	1	1
115	в стороне от	1	1
116	том числе и	1	1
117	с другой стороны	6	1
118	нет никаких оснований	1	1
119	бы то ни	4	1
120	по своему усмотрению	1	1
121	в столь же	1	1
122	в чем же	1	1
123	в значительной степени	1	1
124	себя внимание что	1	1
125	не мог бы	1	1
126	или хотя бы	1	1
127	действующих лиц не	1	1
128	который в своем	1	1
129	и т д	4	1
130	если говорить о	1	1
131	и особенно в	1	1
132	том что ни	1	1
133	же ничего не	1	1
134	в этом же	2	1
135	как это было	1	1
136	к этому времени	3	1
137	в последние десятилетия	1	1
138	средствами но и	1	1
139	женщин и детей	1	1
140	в поле зрения	2	1
141	в далеком прошлом	1	1
142	этой точки зрения	1	1
143	и в самом	1	1
144	еще при жизни	1	1
145	что же касается	1	1
146	одна из них	2	1
147	как и в	2	1
148	как один из	1	1
149	жизни но и	1	1
150	в могилу в	1	1
151	той же мере	1	1
152	в то время	8	1
153	тем более что	1	1
154	хотя как известно	1	1
155	всяком случае в	1	1
156	и не только	1	1
157	не означает что	2	1
158	не что иное	1	1
159	и та же	1	1
160	и здесь мы	1	1
161	легко представить себе	1	1
162	мы узнаем о	1	1
163	на протяжении всего	3	1
164	том что именно	1	1
165	как мы видели	1	1
166	то время как	6	1
167	с самого начала	2	1
168	том что он	4	1
169	же как и	1	1
170	из поля зрения	1	1
171	представление о том	2	1
172	и не слишком	1	1
173	одна и та	1	1
174	том случае если	1	1
175	действующих лиц сюжетной	1	1
176	хоть и не	5	1
177	в году не	1	1
178	что и в	2	1
179	ни в чем	1	1
180	с этой точки	1	1
