N	2gram	Medvedev_S	NovoeSre
1	не может	1	16
2	и в	3	16
3	и не	1	11
4	и есть	1	10
5	что в	2	9
6	в том	5	8
7	в этом	5	7
8	может быть	2	7
9	как и	1	7
10	не в	3	6
11	никогда не	1	6
12	не только	3	5
13	все это	7	5
14	и потому	1	4
15	и мы	2	4
16	это не	1	4
17	прежде всего	1	4
18	в них	1	4
19	то что	2	4
20	не было	1	4
21	о том	1	4
22	наше время	1	4
23	в наше	1	3
24	должна быть	2	3
25	за пределы	2	3
26	конечно не	1	3
27	с другой	1	3
28	в своей	1	3
29	в мире	1	3
30	перейти к	1	3
31	но и	2	3
32	еще не	2	3
33	более не	1	2
34	это и	2	2
35	и что	2	2
36	свои права	1	2
37	должна стать	1	2
38	что она	1	2
39	зависит от	1	2
40	и заключается	2	2
41	с одной	1	2
42	хотя бы	1	2
43	мы не	1	2
44	заключается что	2	2
45	так и	1	2
46	но она	1	2
47	одной стороны	1	2
48	и должно	1	2
49	том и	1	2
50	у него	1	2
51	место в	1	2
52	а в	1	2
53	когда мы	1	2
54	в свои	1	2
55	по существу	2	2
56	для этого	1	2
57	что все	1	2
58	все эти	1	2
59	как будто	2	2
60	но не	1	2
61	в то	1	2
62	должно было	1	2
63	том что	2	2
64	в смысле	2	2
65	мысли в	1	2
66	которая должна	1	1
67	и более	1	1
68	бы он	1	1
69	в котором	1	1
70	внутреннего единства	1	1
71	по природе	2	1
72	мы переходим	1	1
73	выходит за	1	1
74	они не	1	1
75	она должна	1	1
76	нельзя мыслить	1	1
77	во всяком	1	1
78	быть не	1	1
79	это значит	1	1
80	или нет	1	1
81	было бы	2	1
82	мы должны	1	1
83	в сущности	1	1
84	не должна	1	1
85	в его	3	1
86	но ведь	3	1
87	вступает в	1	1
88	не способен	1	1
89	но сам	1	1
90	существу своему	1	1
91	ни одно	1	1
92	только в	2	1
93	или не	1	1
94	в этой	1	1
95	него и	1	1
96	должна с	1	1
97	тем что	1	1
98	в конце	2	1
99	к которому	2	1
100	что он	1	1
101	в силу	1	1
102	далеко еще	1	1
103	в этих	1	1
104	по себе	1	1
105	только для	1	1
106	в области	1	1
107	с ним	1	1
108	и только	3	1
109	всяком случае	1	1
110	идей и	2	1
111	в чем	1	1
112	и его	1	1
