N	2gram	Savitsky_E	NovoeSre
1	а не	2	17
2	не может	9	16
3	и в	37	16
4	и не	14	11
5	что в	21	9
6	истории и	1	9
7	в том	11	8
8	как не	2	8
9	жизни и	2	8
10	он не	2	8
11	в этом	12	7
12	может быть	6	7
13	в новой	1	7
14	не будет	3	7
15	это есть	1	7
16	культуры и	2	7
17	как и	7	7
18	не в	5	6
19	лишь в	1	6
20	с его	1	6
21	но это	1	6
22	никогда не	3	6
23	и к	3	5
24	не только	18	5
25	в ней	4	5
26	истории в	1	5
27	в жизни	1	5
28	в нем	1	5
29	с ее	1	5
30	культуры в	4	5
31	и потому	5	4
32	и мы	3	4
33	по своему	7	4
34	быть может	1	4
35	должно быть	1	4
36	мировой войны	1	4
37	потому что	3	4
38	большую роль	1	4
39	xix и	1	4
40	прежде всего	9	4
41	в них	3	4
42	то что	6	4
43	не было	1	4
44	и все	2	4
45	не менее	1	4
46	не имеет	4	4
47	значит что	1	4
48	античного мира	1	4
49	и для	3	4
50	о том	3	4
51	во всех	6	3
52	вопрос о	4	3
53	не означает	2	3
54	должна быть	2	3
55	она не	2	3
56	в ее	8	3
57	в прошлом	3	3
58	за пределы	1	3
59	старого мира	1	3
60	конечно не	1	3
61	в истории	2	3
62	с другой	7	3
63	в основе	1	3
64	к ним	3	3
65	в россии	5	3
66	сказать что	4	3
67	наряду с	2	3
68	с тем	3	3
69	не значит	1	3
70	к жизни	1	3
71	не есть	2	3
72	в своей	8	3
73	в мире	2	3
74	как в	3	3
75	жизни в	3	3
76	революции и	1	3
77	но и	14	3
78	к тому	8	3
79	с этим	2	2
80	и от	3	2
81	в центре	1	2
82	силы и	1	2
83	и что	2	2
84	возвращается к	1	2
85	на путях	4	2
86	права и	1	2
87	ли это	3	2
88	и было	1	2
89	духовной жизни	2	2
90	зависит от	1	2
91	с одной	8	2
92	хотя бы	15	2
93	мы не	4	2
94	будет уже	1	2
95	того чтобы	6	2
96	хозяйственной жизни	4	2
97	хотя и	2	2
98	так и	10	2
99	как это	4	2
100	много ли	1	2
101	думать что	8	2
102	одной стороны	8	2
103	можно было	3	2
104	другой стороны	2	2
105	с их	1	2
106	этом смысле	3	2
107	в русском	1	2
108	место в	3	2
109	а в	2	2
110	в будущем	3	2
111	когда мы	1	2
112	и даже	6	2
113	в свои	2	2
114	и с	2	2
115	государство и	1	2
116	и революции	2	2
117	на уровне	2	2
118	связана с	1	2
119	для этого	1	2
120	могут быть	2	2
121	и культуры	1	2
122	в себе	9	2
123	и на	6	2
124	быть в	1	2
125	призыв к	1	2
126	уже не	1	2
127	и творчества	2	2
128	что все	2	2
129	время как	1	2
130	времени в	1	2
131	помнить что	2	2
132	все эти	1	2
133	есть в	2	2
134	же как	5	2
135	такой же	2	2
136	вместе с	2	2
137	в духовной	1	2
138	который в	1	2
139	одна из	1	2
140	мира и	3	2
141	как будто	2	2
142	но не	5	2
143	в то	16	2
144	в новом	1	2
145	том что	6	2
146	в мировой	1	2
147	не будут	1	2
148	ведь и	2	2
149	так же	9	2
150	xix век	1	2
151	и это	1	2
152	можно назвать	1	2
153	в смысле	9	2
154	к созданию	1	2
155	но в	14	2
156	не к	2	2
157	войны и	2	2
158	в той	5	1
159	в самом	4	1
160	ближе к	1	1
161	во всем	1	1
162	дальнейшее развитие	1	1
163	нет ничего	1	1
164	они являются	1	1
165	и того	2	1
166	от нее	1	1
167	том случае	1	1
168	на западе	1	1
169	можно сказать	4	1
170	все что	1	1
171	эту эпоху	1	1
172	во все	3	1
173	для всех	1	1
174	более высокой	1	1
175	в более	1	1
176	которая должна	1	1
177	а к	1	1
178	и более	2	1
179	и этот	2	1
180	в котором	2	1
181	по природе	1	1
182	по преимуществу	2	1
183	значение в	1	1
184	то это	1	1
185	выходит за	1	1
186	отличие от	1	1
187	мир в	1	1
188	приблизиться к	1	1
189	и русской	1	1
190	рода и	1	1
191	все ее	1	1
192	нельзя сказать	1	1
193	из них	3	1
194	культур и	3	1
195	к ней	4	1
196	применить к	1	1
197	все еще	1	1
198	к природе	2	1
199	также что	1	1
200	случае если	1	1
201	процессы направленные	1	1
202	и сейчас	2	1
203	который не	1	1
204	от истоков	1	1
205	культуре и	1	1
206	мирового экономического	1	1
207	которая в	1	1
208	переходит в	1	1
209	направленные к	1	1
210	уже в	1	1
211	и процесс	1	1
212	во власти	2	1
213	в свою	3	1
214	в значительной	2	1
215	и имеет	2	1
216	в состоянии	1	1
217	для себя	1	1
218	во всяком	3	1
219	от европы	1	1
220	том числе	1	1
221	всего мира	1	1
222	всех великих	1	1
223	в человеческом	1	1
224	но также	2	1
225	для того	6	1
226	групп и	1	1
227	в каких	1	1
228	национального существования	1	1
229	не быть	1	1
230	хозяйства и	2	1
231	нужно признать	1	1
232	своем развитии	1	1
233	более всего	1	1
234	последние годы	3	1
235	это значит	2	1
236	из их	1	1
237	а блок	1	1
238	в этот	1	1
239	имеет реальное	1	1
240	не уходит	2	1
241	господствующей в	1	1
242	и германии	2	1
243	было бы	8	1
244	мы должны	2	1
245	на большей	1	1
246	то нет	1	1
247	в формах	1	1
248	в его	2	1
249	значительной степени	1	1
250	к такой	2	1
251	суждения не	1	1
252	к тем	1	1
253	народов и	3	1
254	значение для	1	1
255	должны быть	1	1
256	и их	1	1
257	в которую	1	1
258	говорить о	1	1
259	мира то	2	1
260	бытия и	1	1
261	не способен	1	1
262	может остаться	1	1
263	древнего египта	1	1
264	у нас	1	1
265	и когда	1	1
266	для них	2	1
267	с другими	2	1
268	сельского хозяйства	4	1
269	от мирового	1	1
270	эпох и	1	1
271	или к	1	1
272	народа должно	1	1
273	запада и	1	1
274	еще в	1	1
275	и до	1	1
276	с собой	1	1
277	весь мир	1	1
278	только в	9	1
279	германии во	1	1
280	не на	4	1
281	не могут	2	1
282	переход культуры	1	1
283	по своей	2	1
284	власти и	1	1
285	от того	1	1
286	от других	1	1
287	небесный свод	1	1
288	творчества и	1	1
289	в большинстве	2	1
290	положения он	1	1
291	оно не	1	1
292	потребность в	3	1
293	что нет	1	1
294	а на	1	1
295	особого рода	1	1
296	это должно	1	1
297	значение и	1	1
298	этого мира	1	1
299	перед ними	1	1
300	заключает в	3	1
301	в этой	2	1
302	числе и	1	1
303	их будет	1	1
304	человеческой жизни	1	1
305	а также	7	1
306	и еще	2	1
307	что его	1	1
308	новый мир	2	1
309	как на	3	1
310	установить что	1	1
311	россия в	11	1
312	в отличие	1	1
313	так называемый	1	1
314	он в	1	1
315	культуры но	2	1
316	во многом	2	1
317	в будущее	2	1
318	нужно помнить	1	1
319	из всех	3	1
320	не понимали	1	1
321	в силах	1	1
322	что не	1	1
323	но все	1	1
324	в глубине	1	1
325	мира против	1	1
326	тем что	3	1
327	россии и	3	1
328	и во	2	1
329	и культур	1	1
330	только одна	1	1
331	к этой	1	1
332	и эмпирическая	1	1
333	то время	1	1
334	мира но	2	1
335	она неизбежно	1	1
336	вообще не	3	1
337	или иная	1	1
