N	2gram	Propp_Isto	RusskieA
1	и в	40	79
2	в том	12	64
3	том что	11	59
4	что в	19	57
5	т е	30	54
6	не только	28	41
7	а а	1	40
8	во время	5	38
9	так как	20	34
10	и другие	7	33
11	в этом	13	33
12	состоит в	1	32
13	как бы	6	31
14	но и	21	31
15	в других	3	30
16	в и	1	30
17	как и	5	28
18	и на	6	28
19	может быть	37	28
20	в этот	1	26
21	одна из	4	24
22	о том	12	23
23	и т	39	23
24	при этом	6	22
25	в поле	2	22
26	т д	35	21
27	там же	3	20
28	это не	8	20
29	е в	1	20
30	а в	15	20
31	как мы	3	20
32	сообщает из	1	20
33	из них	5	19
34	представляют собой	9	18
35	все это	6	18
36	с тем	13	17
37	таким образом	13	17
38	то что	17	17
39	вместе с	13	17
40	об этом	11	17
41	показывает что	7	17
42	потому что	12	17
43	д к	3	17
44	во многих	2	16
45	мы не	12	16
46	или на	7	15
47	будто бы	4	15
48	один из	10	15
49	в них	2	14
50	и с	5	14
51	не менее	7	14
52	сообщает что	1	14
53	тем не	7	14
54	как это	6	14
55	и что	14	14
56	мы видели	4	14
57	и не	19	14
58	для нас	17	14
59	у нас	1	14
60	уже не	3	13
61	к этому	2	13
62	в некоторых	4	13
63	так что	9	13
64	и по	4	13
65	к зеленин	2	13
66	как в	7	13
67	в которых	2	13
68	еще не	14	13
69	не может	19	13
70	тем что	7	12
71	между собой	4	12
72	полагает что	1	12
73	этом случае	3	12
74	этот обряд	3	12
75	мы имеем	25	12
76	в виде	2	12
77	в дом	2	11
78	а затем	4	11
79	мы увидим	17	11
80	в лесу	21	11
81	следующим образом	1	11
82	но это	8	11
83	а на	1	11
84	далеко не	1	11
85	что на	1	11
86	все же	17	10
87	так например	7	10
88	это делалось	1	10
89	представляет собой	7	10
90	том чтобы	2	10
91	его в	15	10
92	между тем	2	10
93	что и	9	10
94	в течение	1	10
95	так и	13	10
96	или в	6	10
97	а также	2	10
98	по существу	7	10
99	и других	1	10
100	то же	21	9
101	о чем	1	9
102	видно что	9	9
103	что они	13	9
104	к жизни	2	9
105	с ней	2	9
106	и все	1	9
107	того как	6	9
108	земли и	1	9
109	но в	13	9
110	в русском	2	9
111	но не	7	9
112	одно из	2	8
113	в этих	17	8
114	представление о	3	8
115	что по	1	8
116	так же	18	8
117	после этого	5	8
118	связи с	10	8
119	на себя	2	8
120	во всех	3	8
121	что это	12	8
122	подобно тому	3	8
123	их в	7	8
124	того чтобы	3	8
125	состояла в	1	8
126	того что	6	8
127	ее в	7	8
128	через них	1	8
129	не все	5	8
130	как уже	2	8
131	тому как	3	8
132	для того	1	8
133	в это	2	7
134	должна была	1	7
135	в лес	34	7
136	в своем	5	7
137	на них	2	7
138	к нему	3	7
139	не в	11	7
140	в свете	4	7
141	а с	4	7
142	не совсем	5	7
143	мы рассмотрим	3	7
144	было бы	11	7
145	главным образом	2	7
146	только в	16	7
147	еще в	2	7
148	это время	3	7
149	связанные с	3	7
150	в земле	1	7
151	из этих	2	7
152	а не	18	7
153	до конца	1	7
154	ничего не	6	7
155	не можем	4	7
156	иногда и	1	7
157	животных и	1	7
158	и как	3	7
159	предположить что	2	7
160	мы должны	17	7
161	из леса	1	7
162	по этому	2	7
163	как будто	7	7
164	в эти	1	7
165	для этого	3	7
166	в обряде	9	6
167	в году	1	6
168	с собой	2	6
169	же как	7	6
170	этих обрядов	2	6
171	к тому	6	6
172	что этот	5	6
173	выше мы	6	6
174	не всегда	9	6
175	только на	2	6
176	но они	6	6
177	в одном	8	6
178	уже указывалось	1	6
179	этого обряда	7	6
180	что она	10	6
181	после того	2	6
182	в качестве	8	6
183	чем в	2	6
184	в таком	1	6
185	тому что	1	6
186	также в	2	6
187	на земле	1	6
188	должно было	4	6
189	и у	1	6
190	на этом	3	6
191	многих случаях	1	6
192	после чего	1	6
193	должны были	9	6
194	в фольклоре	1	6
195	в этой	9	6
196	в нем	8	6
197	видели что	5	6
198	должен был	6	6
199	с ними	2	6
200	приводит к	3	6
201	и более	3	6
202	что здесь	9	6
203	друг друга	2	6
204	эти представления	2	6
205	и пр	11	6
206	не будем	7	6
207	или с	1	6
208	в их	6	6
209	на нее	3	6
210	все эти	6	6
211	так в	7	6
