N	2gram	Losev_Dial	Russkaja
1	не может	29	22
2	и не	50	19
3	в этом	14	17
4	в том	17	17
5	и в	34	14
6	то что	25	13
7	таким образом	14	11
8	то же	9	11
9	точки зрения	43	11
10	но и	14	10
11	же время	5	10
12	в то	9	10
13	не только	35	9
14	с точки	25	9
15	том что	18	9
16	во всяком	5	9
17	может быть	30	9
18	церкви и	1	9
19	в себе	8	9
20	прежде всего	20	8
21	того чтобы	1	8
22	как на	6	8
23	не будет	5	7
24	ни к	3	7
25	россии в	1	7
26	самом деле	7	7
27	к тому	4	7
28	о том	11	7
29	самого себя	1	7
30	в данном	6	7
31	и если	5	7
32	мы должны	1	7
33	и с	10	7
34	к богу	1	7
35	отнюдь не	16	7
36	и к	5	6
37	для всех	1	6
38	и при	4	6
39	для него	4	6
40	признать что	1	6
41	все это	13	6
42	на самом	2	6
43	в своих	3	6
44	если бы	10	6
45	и для	5	6
46	с тем	4	6
47	что он	18	6
48	для того	4	6
49	в своем	7	6
50	всяком случае	3	6
51	а потому	1	5
52	до сих	1	5
53	и на	6	5
54	из которых	4	5
55	только в	10	5
56	или иной	4	5
57	по существу	2	5
58	в своей	4	5
59	жизни в	1	5
60	себя и	3	5
61	во всех	2	5
62	сих пор	1	5
63	и только	6	5
64	вопрос о	9	5
65	хотя бы	9	5
66	потому что	21	5
67	в нем	7	5
68	он не	8	5
69	конечно не	6	5
70	а в	3	5
71	при этом	7	5
72	было бы	13	5
73	на то	5	5
74	он должен	3	5
75	никогда не	9	5
76	что в	12	4
77	во всем	5	4
78	бы то	3	4
79	и то	7	4
80	все что	3	4
81	когда они	1	4
82	так как	12	4
83	возможно лишь	1	4
84	к этой	2	4
85	тогда когда	9	4
86	в его	6	4
87	тому чтобы	3	4
88	не могут	6	4
89	его в	2	4
90	более или	1	4
91	не в	11	4
92	он будет	3	4
93	в корне	1	4
94	вместе с	3	4
95	как и	14	4
96	в мире	2	4
97	все же	4	4
98	в их	2	4
99	со стороны	5	4
100	себе и	1	4
101	ли это	1	4
102	или менее	1	4
103	которой он	1	4
104	то ни	4	4
105	что же	12	4
106	в совершенно	1	4
107	от того	9	4
108	идет речь	4	4
109	как бы	19	4
110	в этой	3	4
111	себя в	3	4
112	жизни и	8	4
113	но не	3	4
114	точку зрения	1	4
115	в другое	1	4
116	в самом	9	3
117	то в	5	3
118	что они	2	3
119	что оно	9	3
120	и этот	1	3
121	может не	4	3
122	данном случае	3	3
123	должно быть	7	3
124	несмотря на	2	3
125	что это	20	3
126	ни стало	1	3
127	в качестве	1	3
128	что и	8	3
129	в виде	11	3
130	не было	6	3
131	связи с	3	3
132	или в	4	3
133	ни одна	1	3
134	сил и	2	3
135	во что	5	3
136	тем что	5	3
137	именно в	5	3
138	в конце	2	3
139	и как	13	3
140	может только	1	3
141	и т	41	3
142	да и	4	3
143	о которых	1	3
144	о котором	4	3
145	не есть	95	3
146	но если	11	3
147	в вопросах	1	3
148	той или	3	3
149	еще не	7	3
150	все они	1	3
151	и потому	6	3
152	только к	3	3
153	при условии	5	3
154	то это	9	3
155	ко всем	1	3
156	в лучшем	2	3
157	одна из	4	3
158	на том	1	3
159	и ни	3	3
160	так чтобы	4	3
161	лучшем случае	2	3
162	говорить о	13	3
163	приходит к	1	3
164	от церкви	1	3
165	можно ли	6	3
166	знаем что	1	3
167	что бы	2	3
168	точке зрения	1	3
169	что для	5	3
170	и во	3	3
171	одной из	3	3
172	с нею	1	3
173	что все	16	3
174	ибо в	1	3
175	из этого	3	3
176	он сам	1	3
177	и по	2	3
178	а следовательно	1	3
179	конце концов	1	3
180	друг друга	3	3
181	из этих	5	3
182	для этого	3	3
183	всех этих	3	3
184	из них	4	3
185	того что	22	3
186	были бы	2	2
187	представить себе	1	2
188	на почве	1	2
189	к такому	1	2
190	не так	1	2
191	от него	2	2
192	которых каждый	1	2
193	что с	2	2
194	не нужна	1	2
195	именно на	1	2
196	это потому	1	2
197	что такое	25	2
198	зависит от	4	2
199	и вот	13	2
200	должна быть	11	2
201	к себе	1	2
202	сама по	11	2
203	для себя	2	2
204	и должно	1	2
205	с самим	1	2
206	с ним	3	2
207	будет ли	5	2
208	в некоторых	3	2
209	от этой	1	2
210	для нас	2	2
211	видеть в	1	2
212	ни в	20	2
213	в результате	7	2
214	это есть	19	2
215	это учение	3	2
216	в этих	3	2
217	у него	2	2
218	по себе	31	2
219	их не	3	2
220	чтобы в	1	2
221	и даже	21	2
222	если не	3	2
223	от друга	1	2
224	ее в	3	2
225	не о	6	2
226	к чему	2	2
227	что ничего	1	2
228	но совершенно	2	2
229	на такой	1	2
230	все эти	4	2
231	раз навсегда	2	2
232	на себя	3	2
233	но для	3	2
234	том же	1	2
235	в таком	15	2
236	отношения к	4	2
237	тому что	5	2
238	ясно что	16	2
239	помнить что	2	2
240	их в	2	2
241	себя как	3	2
242	в порядке	1	2
243	мы указали	1	2
244	и вместе	1	2
245	следовательно и	2	2
246	последнее время	2	2
247	отличается от	9	2
248	нисколько не	4	2
249	по самому	2	2
250	так же	7	2
251	друг от	1	2
252	тогда как	1	2
253	в других	1	2
254	если же	8	2
255	уже не	9	2
256	логически и	1	2
257	в меру	1	2
258	с этим	4	2
259	того или	6	2
260	совершенно не	6	2
261	мы можем	3	2
262	за то	1	2
263	больше чем	2	2
264	– не	11	2
265	и более	1	2
266	всю свою	1	2
267	в котором	2	2
268	этой личности	2	2
269	мы уже	6	2
270	даже и	9	2
271	она не	10	2
272	вне всякой	3	2
273	в течение	4	2
274	этой третьей	1	2
275	но даже	4	2
276	всем этим	1	2
277	это только	1	2
278	в ней	4	2
279	во многих	1	2
280	и тогда	6	2
281	могут не	2	2
282	и тем	3	2
283	быть и	7	2
284	в частности	3	2
285	для нее	1	2
286	а не	39	2
287	но она	4	2
288	только на	8	2
289	отношении к	1	2
290	речь идет	1	2
291	не тем	1	2
292	ни от	6	2
293	есть и	14	2
294	в силу	5	2
295	и является	2	2
296	точно так	3	2
297	и что	21	2
298	чтобы она	3	2
299	на основании	3	2
300	этого не	2	2
301	людей и	2	2
302	говоря о	3	2
303	факт что	1	2
304	человеческого разума	1	2
305	сами эти	2	2
306	целый ряд	3	2
307	даже не	8	2
308	тем самым	3	2
309	тот факт	1	2
310	этот вопрос	1	2
311	зависимость от	1	2
312	культуры и	2	2
313	бы его	2	2
314	друг другу	1	2
315	этот человек	1	2
316	их к	1	2
317	что только	1	2
318	даже если	3	2
319	и от	4	2
320	но в	3	2
321	и есть	24	2
322	место в	2	2
323	так что	11	2
324	и о	9	2
325	как будто	3	2
326	и смотреть	1	2
327	бы ни	1	2
328	или иного	3	2
329	но это	10	2
330	во время	1	2
331	будет в	1	2
332	не просто	20	2
333	если только	5	2
334	не можем	3	2
335	и наконец	2	2
336	понять что	1	2
337	вся эта	1	2
338	не к	1	2
339	к нему	4	2
340	от всякого	5	1
341	такой взгляд	1	1
342	когда он	3	1
343	тем не	10	1
344	всего в	2	1
345	то этим	1	1
346	не замечают	1	1
347	ближе к	1	1
348	которую можно	2	1
349	себе самом	1	1
350	трудно сказать	1	1
351	этого и	1	1
352	однако и	1	1
353	лишь тогда	1	1
354	к общему	1	1
355	ведь уже	1	1
356	только не	10	1
357	точнее –	1	1
358	сколько и	1	1
359	никак нельзя	1	1
360	из отдельных	1	1
361	обе стороны	2	1
362	жизни но	1	1
363	как это	8	1
364	что его	5	1
365	поэтому что	1	1
366	ее и	2	1
367	есть ничто	3	1
368	часто это	1	1
369	человека можно	1	1
370	мы ведь	3	1
371	ни того	9	1
372	человека к	1	1
373	что у	2	1
374	и мы	6	1
375	зрения которая	1	1
376	в жертву	2	1
377	за ним	1	1
378	если его	2	1
379	ничем не	7	1
380	от религии	2	1
381	на эти	1	1
382	а наоборот	1	1
383	нет ни	5	1
384	же и	2	1
385	хочет быть	4	1
386	они не	3	1
387	тогда может	1	1
388	на точке	1	1
389	вообще не	3	1
390	не во	1	1
