N	2gram	Propp_Russ	BTomashe
1	у нас	11	3
2	все это	12	2
3	в ней	3	2
4	можно было	3	2
5	и не	6	2
6	видеть в	1	2
7	для которой	1	1
8	вопрос о	4	1
9	говорить о	2	1
10	и о	4	1
11	о них	2	1
12	не только	28	1
13	нас еще	1	1
14	таким образом	10	1
15	не было	3	1
16	меньшей мере	1	1
17	прежде всего	2	1
18	и в	59	1
19	на самом	3	1
20	так и	8	1
21	на которой	2	1
22	по теории	1	1
23	можно в	1	1
24	из своей	2	1
25	в своей	1	1
26	во всяком	1	1
27	и потому	3	1
28	и во	2	1
29	также что	2	1
30	говорить об	1	1
31	же не	2	1
32	с другой	1	1
33	об этом	11	1
34	значение слова	1	1
35	своей книге	1	1
36	как будто	6	1
37	не о	1	1
38	всяком случае	1	1
39	кроме того	3	1
40	было бы	3	1
41	не следует	1	1
42	и ее	3	1
43	по меньшей	1	1
44	в пределах	2	1
45	в данном	7	1
46	более что	1	1
47	должна быть	1	1
48	в области	3	1
49	далеко не	5	1
50	тем более	1	1
51	еще лучше	1	1
52	не вполне	1	1
53	и более	3	1
54	что все	2	1
55	не все	4	1
56	никак не	1	1
57	будто бы	10	1
58	более подробно	1	1
59	также не	2	1
60	а не	3	1
61	заставляет думать	1	1
62	отнюдь не	3	1
63	до конца	5	1
64	и на	14	1
65	между ними	1	1
66	еще не	7	1
67	нет но	2	1
68	к ней	4	1
69	все же	7	1
70	что в	35	1
