N	2gram	Vinokur_Ku	Tvorches
1	у достоевского	2	91
2	и в	44	56
3	как бы	11	41
4	в его	16	37
5	в то	4	30
6	достоевского в	1	27
7	то же	12	25
8	в году	3	24
9	не только	29	24
10	же время	4	24
11	но в	11	24
12	как и	3	23
13	и не	23	23
14	а в	7	23
15	и его	8	23
16	в этом	31	22
17	и т	62	22
18	достоевского не	1	22
19	что в	25	21
20	в том	47	21
21	он не	4	19
22	том что	30	19
23	может быть	25	19
24	потому что	40	19
25	у него	3	18
26	то что	14	18
27	таким образом	17	17
28	и на	8	17
29	что он	7	17
30	т д	21	17
31	все это	10	17
32	при этом	6	16
33	но и	13	16
34	никогда не	2	16
35	как в	6	16
36	в бесах	1	16
37	прежде всего	14	16
38	не может	13	16
39	и с	11	15
40	xix века	5	15
41	но это	4	15
42	в этой	8	15
43	с его	4	15
44	и даже	5	14
45	достоевский в	1	14
46	это не	13	14
47	о том	10	13
48	времени в	1	13
49	а не	17	13
50	в котором	4	12
51	же с	1	12
52	тем самым	5	12
53	в целом	5	12
54	в своей	4	11
55	все же	17	11
56	отнюдь не	5	11
57	братьях карамазовых	1	11
58	для него	2	11
59	в самом	20	10
60	представление о	3	10
61	не в	18	10
62	в конце	5	10
63	только в	15	10
64	когда он	4	10
65	в основном	1	10
66	уже в	5	10
67	так и	10	10
68	но не	11	10
69	как будто	2	10
70	в своих	2	9
71	первой части	1	9
72	наряду с	2	9
73	по природе	1	9
74	в братьях	1	9
75	по мнению	1	9
76	и от	2	9
77	один из	8	9
78	жизни в	1	9
79	в свою	4	9
80	в нем	7	9
81	во многом	2	9
82	даже в	4	8
83	в духе	3	8
84	именно в	7	8
85	в соответствии	6	8
86	не менее	12	8
87	так же	8	8
88	к этому	4	8
89	хотя и	7	8
90	одним из	2	8
91	это уже	1	8
92	вместе с	8	8
93	тогда как	2	8
94	соответствии с	5	8
95	одной из	1	8
96	еще не	10	8
97	в себе	4	8
98	так как	16	8
99	в их	3	8
100	на его	3	8
101	об этом	4	8
102	вовсе не	18	8
103	в лице	1	8
104	в этих	5	7
105	и сам	1	7
106	например в	5	7
107	уже не	13	7
108	казалось бы	5	7
109	в дальнейшем	1	7
110	за собой	2	7
111	что она	5	7
112	влияние на	1	7
113	и он	4	7
114	в которой	7	7
115	в чем	2	7
116	не случайно	7	7
117	своего рода	4	7
118	достоевского и	2	7
119	самом деле	17	7
120	еще более	1	6
121	в принципе	1	6
122	не столько	2	6
123	и как	3	6
124	конечном счете	2	6
125	на эту	2	6
126	но у	1	6
127	хотя бы	19	6
128	одна из	1	6
129	его в	1	6
130	в конечном	3	6
131	так что	5	6
132	а потому	6	6
133	и далее	3	6
134	с ним	5	6
135	если бы	21	6
136	и все	4	6
137	приводит к	3	6
138	в книге	1	6
139	все эти	17	6
140	ли не	4	6
141	xx века	1	6
142	место в	1	6
143	более не	1	5
144	и другие	1	5
145	из всех	1	5
146	мысли и	1	5
147	быть может	1	5
148	в них	10	5
149	что этот	2	5
150	с другой	14	5
151	приходит к	1	5
152	по отношению	9	5
153	отметить что	1	5
154	как правило	2	5
155	в своем	4	5
156	в одной	1	5
157	все время	1	5
158	из них	4	5
159	что они	5	5
160	что у	3	5
161	в ее	2	5
162	что и	5	5
163	не было	6	5
164	что не	10	5
165	в таком	3	5
166	я не	5	5
167	и это	3	5
168	и у	3	5
169	а с	3	5
170	что это	11	5
171	т п	39	5
172	в наше	3	5
173	если не	4	5
174	между тем	11	5
175	процесса в	1	5
176	с большой	2	5
177	дело не	4	5
178	значит что	1	5
179	показывает что	1	5
180	наше время	3	5
181	однако это	1	5
182	не так	2	5
183	на деле	2	5
184	та же	1	5
185	с этим	6	5
186	в россии	1	5
187	не имеют	3	5
188	это все	2	5
189	в современном	3	5
190	в истории	3	5
191	до конца	3	5
192	том же	3	5
193	но если	2	5
194	тот же	7	5
195	ничего не	6	5
196	из этой	1	5
197	мы не	1	5
198	в литературе	1	5
199	как у	2	5
200	бы не	1	5
201	в виде	1	5
202	но с	2	5
203	и по	4	5
204	и других	1	5
205	что я	4	5
206	это как	2	5
207	как он	1	5
208	отношению к	9	5
209	в известной	1	5
210	с этой	4	4
211	говорит о	1	4
212	тем что	9	4
213	роль в	6	4
214	так в	2	4
215	а а	4	4
216	но эти	1	4
217	только на	1	4
218	говорить о	5	4
219	и когда	2	4
220	говорит что	1	4
221	превращается в	4	4
222	с большим	4	4
223	что все	6	4
224	точки зрения	25	4
225	это значит	1	4
226	крайней мере	11	4
227	к нему	1	4
228	и мы	2	4
229	по преимуществу	3	4
230	в дневнике	1	4
231	и потому	6	4
232	с точки	16	4
233	первая часть	1	4
234	не знает	4	4
235	что его	2	4
236	традиции и	1	4
237	который в	1	4
238	же как	3	4
239	так сказать	5	4
240	сих пор	5	4
241	в такой	2	4
242	не был	2	4
243	в каждом	3	4
244	не мог	2	4
245	как это	6	4
246	но только	5	4
247	этот вопрос	7	4
248	ту же	6	4
249	но без	1	4
250	заставляет нас	1	4
251	себя в	1	4
252	однако в	2	4
253	могут быть	5	4
254	о его	1	4
255	и есть	3	4
256	ведет к	1	4
257	до сих	5	4
258	известно что	1	4
259	в действии	1	4
260	в область	2	4
261	утверждает что	1	4
262	с ними	6	4
263	сюжета и	1	4
264	и одновременно	1	4
265	несравненно более	1	4
266	у читателя	1	4
267	в которых	8	4
268	по крайней	11	4
269	перед нами	4	4
270	нет ничего	1	4
271	это и	6	4
272	его и	1	4
273	и более	3	4
274	связана с	1	4
275	в отличие	3	4
276	той же	5	4
277	на улице	2	4
278	того что	11	4
279	чуть ли	3	4
280	связан с	2	4
281	зависит от	1	4
282	же не	1	4
283	дело в	2	4
284	было в	2	4
285	к жизни	2	4
286	он говорит	1	4
287	отличие от	3	4
288	но он	2	4
289	в частности	6	4
290	далеко не	2	4
291	у нее	1	4
292	такой же	1	4
293	что на	2	4
294	и к	1	3
295	только что	2	3
296	кроме того	2	3
297	русская литература	1	3
298	в виду	7	3
299	другой стороны	12	3
300	но что	3	3
301	по себе	10	3
302	по европе	1	3
303	это определение	2	3
304	связь с	1	3
305	в первом	3	3
306	к осознанию	1	3
307	в жизни	1	3
308	давно уже	2	3
309	только для	3	3
310	отличается от	2	3
311	так например	3	3
312	к тому	8	3
313	на все	3	3
314	во всяком	8	3
315	можно сказать	6	3
316	с полным	2	3
317	в свете	1	3
318	вот почему	1	3
319	из письма	2	3
320	может служить	4	3
321	точно так	4	3
322	как она	1	3
323	в одном	4	3
324	перед ним	1	3
325	и еще	4	3
326	сказать что	5	3
327	едва ли	1	3
328	не то	1	3
329	на протяжении	1	3
330	к себе	4	3
331	время в	2	3
332	мы знаем	3	3
333	несмотря на	6	3
334	к которому	3	3
335	иными словами	10	3
336	г а	1	3
337	тому же	2	3
338	и приводит	1	3
339	для того	23	3
340	полным правом	1	3
341	на себя	3	3
342	я и	1	3
343	не есть	4	3
344	из главных	1	3
345	в себя	2	3
346	действительности и	1	3
347	на этом	4	3
348	всяком случае	8	3
349	эти слова	1	3
350	отличен от	1	3
351	совсем не	1	3
352	идей и	1	3
353	и тем	7	3
354	но зато	2	3
355	должны быть	4	3
356	и что	11	3
357	для человека	1	3
358	даже не	1	3
359	году в	1	3
360	что для	3	3
361	его как	1	3
362	и др	1	3
363	любви к	2	3
364	его к	5	3
365	там где	7	3
366	гораздо более	6	3
367	в искусстве	2	3
368	в статье	3	3
369	во второй	1	3
370	а теперь	1	3
371	этой проблемы	1	3
372	если в	2	3
373	на западе	1	3
374	переходит в	2	3
375	был бы	4	3
376	для себя	1	3
377	сводится к	3	3
378	себе не	1	3
379	а г	1	3
380	заключается в	3	3
381	в процессе	1	3
382	не считать	1	3
383	вряд ли	5	3
384	да и	5	3
385	о котором	4	3
386	со стороны	8	3
387	в стихах	1	3
388	ни на	1	3
389	не является	2	3
390	и если	4	3
391	и тогда	4	3
392	в которую	1	3
393	в письмах	1	3
394	действия и	2	3
395	сами по	2	3
396	среды и	1	3
397	нет и	1	3
398	как мы	2	3
399	на этот	4	3
400	только с	1	3
401	известной мере	1	3
402	человека но	1	3
403	не выдерживает	1	3
404	как к	2	3
405	но на	1	3
406	что оно	6	3
407	свидетельствует о	3	3
408	в й	1	3
409	и вот	4	3
410	он и	1	3
411	что с	2	3
412	ее в	2	3
413	части романа	1	3
414	на самом	3	3
415	у нас	19	3
416	в русском	14	3
417	мы находим	2	3
418	или в	5	3
419	этого вопроса	3	3
420	но уже	6	3
421	не все	4	3
422	нельзя не	1	3
423	в ней	6	3
424	из этих	5	3
425	в него	1	3
426	а по	1	3
427	и их	2	3
428	не с	4	3
429	в начале	1	3
430	в другом	2	3
431	лишь в	6	3
432	отношение к	2	3
433	одного из	1	3
434	в ходе	1	3
435	бы он	1	3
436	во многих	3	3
437	жизни и	1	3
438	в области	15	3
439	и только	2	3
440	это в	1	3
441	к другим	1	3
442	заявил что	1	3
443	более того	2	3
444	они имеют	1	2
445	он приходит	1	2
446	мы наблюдаем	2	2
447	было показано	1	2
448	все что	1	2
449	еще раз	2	2
450	же и	4	2
451	которая в	1	2
452	не мешает	1	2
453	эта идея	1	2
454	сам автор	1	2
455	в результате	8	2
456	ясно что	7	2
457	по мере	3	2
458	это такое?	1	2
459	вслед за	1	2
460	вот что	1	2
461	жизнь в	2	2
462	проблемы в	1	2
463	человек в	1	2
464	чем их	1	2
465	с тем	5	2
466	я от	1	2
467	автор в	1	2
468	только через	1	2
469	их в	1	2
470	в одно	2	2
471	когда в	4	2
472	связано с	3	2
473	всякого рода	2	2
474	не прав	1	2
475	а что	1	2
476	и того	2	2
477	в первую	5	2
478	во все	2	2
479	в данном	8	2
480	из других	1	2
481	то это	3	2
482	в действительности	2	2
483	следовало бы	2	2
484	он был	1	2
485	только как	3	2
486	но даже	3	2
487	люди на	1	2
488	к своей	1	2
489	когда она	1	2
490	самого себя	1	2
491	свою очередь	4	2
492	так мы	2	2
493	социальной действительности	1	2
494	пока еще	1	2
495	как на	4	2
496	на наших	1	2
497	настоящее время	2	2
498	нас на	1	2
499	по поводу	2	2
500	с темой	1	2
501	о чем	2	2
502	не просто	7	2
503	того же	6	2
504	раз на	2	2
505	во всех	1	2
506	в повествовании	1	2
507	заботиться о	1	2
508	здесь нет	1	2
509	и эту	1	2
510	с одной	3	2
511	на том	4	2
512	внимание на	5	2
513	это я	1	2
514	на этих	1	2
515	как раз	10	2
516	тем не	10	2
517	в качестве	12	2
518	к необходимости	1	2
519	писателя как	1	2
520	и притом	1	2
521	связи с	8	2
522	ли и	1	2
523	который является	1	2
524	как его	1	2
525	xviii века	1	2
526	тому что	3	2
527	но ведь	3	2
528	в связи	4	2
529	котором говорилось	1	2
530	от одной	1	2
531	между прочим	4	2
532	рядом с	7	2
533	не отрицал	1	2
534	в двух	1	2
535	имеют для	1	2
536	не нужно	1	2
537	что как	1	2
538	смысл и	5	2
539	читатель в	1	2
540	но как	2	2
541	в устах	3	2
542	ли это	4	2
543	мы уже	1	2
544	не дает	1	2
545	в быту	1	2
546	он стал	1	2
547	кажется что	1	2
548	дневнике писателя	1	2
549	не будет	1	2
550	для этой	2	2
551	если же	1	2
552	и является	4	2
553	в тех	4	2
554	в современной	3	2
555	из нас	1	2
556	это действительно	2	2
557	было бы	28	2
558	я в	2	2
559	целом и	2	2
560	но прежде	1	2
561	сам в	1	2
562	процессы в	1	2
563	не значит	2	2
564	с которым	1	2
565	в силу	16	2
566	чаще всего	2	2
567	которые были	1	2
568	с каким	1	2
569	а как	1	2
570	а главное	3	2
571	нет не	1	2
572	говорит об	1	2
573	себя но	1	2
574	против этого	1	2
575	первую очередь	3	2
576	в речи	5	2
577	нет ли	1	2
578	так ли	2	2
579	и против	2	2
580	и здесь	8	2
581	такова же	1	2
582	в литературной	1	2
583	с такой	1	2
584	и должно	2	2
585	большую роль	2	2
586	была бы	5	2
587	в сущности	11	2
588	для них	2	2
589	в отношении	2	2
590	ни в	3	2
591	и делает	1	2
592	второй части	1	2
593	не могут	5	2
594	за что	1	2
595	должен был	1	2
596	здесь мы	2	2
597	в целях	2	2
598	этот факт	1	2
599	столь же	2	2
600	еще с	1	2
601	как о	2	2
602	к его	1	2
603	это время	1	2
604	справедливо указывает	2	2
605	отчасти и	1	2
606	не имеет	6	2
607	не видно	1	2
608	которого не	2	2
609	в известном	2	2
610	знает что	1	2
611	в которые	2	2
612	то он	1	2
613	в прозе	1	2
614	родился в	1	2
615	где нет	2	2
616	традиции в	3	2
617	не дают	1	2
618	своей собственной	3	2
619	того чтобы	25	2
620	а может	1	2
621	а через	1	2
622	и уже	2	2
623	под сомнение	1	2
624	и теперь	1	2
625	что если	4	2
626	то все	1	2
627	отношении к	1	2
628	о своем	1	2
629	не потому	6	2
630	учит нас	1	2
631	в новых	1	2
632	от мысли	1	2
633	н а	1	2
634	что же	11	2
635	переход от	4	2
636	в сфере	3	2
637	мог бы	1	2
638	их с	1	2
639	за пределами	1	2
640	и стиля	1	2
641	всякий раз	1	2
642	не из	1	2
643	точку зрения	2	2
644	рассчитан на	1	2
645	д и	3	2
646	влечет за	1	2
647	ответ на	2	2
648	что ему	1	2
649	школы и	2	2
650	в прямом	2	2
651	значение в	1	2
652	этой области	3	2
653	данном случае	2	2
654	сам он	1	2
655	где он	1	2
656	прямо в	1	2
657	о нем	2	2
658	в честь	1	2
659	руссо и	1	2
660	с их	3	2
661	слова не	2	2
662	по словам	1	2
663	в таких	7	2
664	и некоторых	1	2
665	образом в	3	2
666	темы и	1	2
667	за этим	2	2
668	и где	2	2
669	в силах	2	2
670	в эпоху	1	2
671	указывает на	2	2
672	очень много	3	2
673	в ряде	2	2
674	представляет собою	1	2
675	в стороне	2	2
676	или даже	2	2
677	не столь	1	2
678	и со	1	2
679	сразу же	1	2
680	и без	2	2
681	должен быть	8	2
682	и вообще	1	2
683	к одному	2	2
684	без всякой	1	2
685	нуждается в	5	2
686	ведь это	1	2
687	за то	1	2
688	каких бы	1	2
689	же это	2	2
690	ли в	3	2
691	в руки	1	2
692	она не	1	2
693	с особым	1	2
694	оно выражает	1	2
695	всех этих	4	2
696	в нашей	4	2
697	только то	2	2
698	уже тогда	1	2
699	что можно	4	2
700	а скорее	1	2
701	в большой	1	2
702	в литературном	1	2
703	и о	3	2
704	говорилось выше	1	2
