N	2gram	Berdyaev_O	DiskursI
1	а не	11	60
2	может быть	11	56
3	не только	11	49
4	и в	19	49
5	как и	6	47
6	и не	13	44
7	в том	5	44
8	представляет собой	1	41
9	том что	2	40
10	в этом	12	38
11	в себе	3	37
12	в частности	1	36
13	но и	13	35
14	но не	1	31
15	со стороны	1	28
16	но в	2	28
17	так и	2	28
18	не может	4	27
19	по своей	1	26
20	как в	1	25
21	еще не	3	23
22	в своей	2	19
23	все же	2	19
24	в нем	10	19
25	прежде всего	9	19
26	в мире	1	17
27	о том	3	15
28	то что	5	15
29	в его	7	15
30	не в	11	14
31	ни к	1	14
32	это не	3	14
33	как бы	3	13
34	для него	5	13
35	в своих	3	12
36	ведет к	1	12
37	в своем	2	12
38	природе своей	1	12
39	и на	2	12
40	и все	10	12
41	по природе	1	11
42	не было	9	11
43	что в	4	11
44	с его	4	11
45	и как	1	11
46	а с	1	10
47	а в	5	10
48	также и	1	10
49	в них	1	9
50	уже не	1	9
51	в силу	1	9
52	в этих	3	8
53	и даже	1	8
54	в котором	1	8
55	в творчестве	5	8
56	в одном	1	8
57	из них	1	8
58	хотя и	2	8
59	он не	7	8
60	жизни в	2	8
61	потому что	9	8
62	этом отношении	1	8
63	человека в	11	8
64	не с	1	8
65	и о	2	8
66	о чем	1	7
67	в русской	3	7
68	что и	2	7
69	его в	2	7
70	к этому	2	7
71	в этой	5	7
72	могут быть	3	7
73	например в	1	7
74	в процессе	1	7
75	но это	1	7
76	и для	2	7
77	лишь в	7	7
78	и ее	3	7
79	и его	4	7
80	мира в	1	7
81	одно из	2	6
82	в строгом	1	6
83	одна из	1	6
84	никогда не	9	6
85	то в	1	6
86	в ее	2	6
87	в сущности	1	6
88	и то	2	6
89	что он	3	6
90	к его	1	6
91	в истории	2	6
92	что же	2	6
93	дело в	1	6
94	в эпоху	1	6
95	в одной	1	6
96	отношение к	5	6
97	может служить	1	5
98	в виду	1	5
99	мысль о	2	5
100	в другом	2	5
101	не вполне	1	5
102	перед ним	1	5
103	сказать что	2	5
104	тем что	2	5
105	один из	1	5
106	ничего не	2	5
107	того что	3	5
108	того как	1	5
109	о нем	1	5
110	в ней	1	5
111	и состоит	1	5
112	и потому	2	5
113	как будто	1	5
114	в самом	5	4
115	и к	2	4
116	говорит о	1	4
117	и до	1	4
118	в жизни	1	4
119	отличается от	1	4
120	во всяком	1	4
121	из жизни	1	4
122	между двумя	1	4
123	чего не	1	4
124	что они	2	4
125	указать на	1	4
126	будто бы	1	4
127	что не	4	4
128	не есть	2	4
129	одном из	1	4
130	по себе	2	4
131	и это	1	4
132	как это	1	4
133	и есть	3	4
134	жизни а	1	4
135	с ним	3	4
136	не могут	3	4
137	особого рода	1	4
138	к другому	1	4
139	на примере	1	4
140	до конца	7	4
141	в свое	1	4
142	во внешнем	1	4
143	с той	1	4
144	и прежде	1	4
145	характер и	1	3
146	и сам	1	3
147	в одно	1	3
148	вопрос о	10	3
149	в пределе	1	3
150	момент в	2	3
151	речь о	1	3
152	ближе к	1	3
153	и он	8	3
154	стремится к	1	3
155	в которой	2	3
156	к чему	1	3
157	как у	1	3
158	начало в	1	3
159	самому себе	1	3
160	и что	1	3
161	для человека	2	3
162	в форме	1	3
163	в иных	1	3
164	было бы	3	3
165	его как	1	3
166	о его	5	3
167	и от	3	3
168	не случайно	1	3
169	они и	1	3
170	должна быть	1	3
171	заключается в	1	3
172	отношения к	1	3
173	не имеет	2	3
174	да и	1	3
175	но оно	1	3
176	и более	1	3
177	образ человека	2	3
178	тем же	1	3
179	всяком случае	1	3
180	жизни не	1	3
181	различие между	3	3
182	уже в	2	3
183	мы не	1	3
184	с их	1	3
185	в сферу	1	3
186	и без	1	3
187	все эти	4	3
188	в новом	1	3
189	особенно в	1	3
190	знаменательно что	1	3
191	том случае	1	3
192	он говорит	1	3
193	она не	1	3
194	хотя бы	3	3
195	когда он	3	3
196	к ней	2	3
197	указывает на	1	3
198	жизни и	1	3
199	что было	1	2
200	во всем	1	2
201	в душе	2	2
202	из сторон	1	2
203	он всегда	7	2
204	еще более	1	2
205	которая его	1	2
206	мысли и	3	2
207	и с	2	2
208	уходят в	1	2
209	их взаимоотношения	1	2
210	всегда в	1	2
211	приходит в	1	2
212	лица в	1	2
213	у обоих	1	2
214	в записках	3	2
215	не могли	2	2
216	для того	3	2
217	сознания в	1	2
218	к которой	1	2
219	в чистом	1	2
220	человеком и	1	2
221	жизни как	1	2
222	который в	1	2
223	он сам	4	2
224	трагедии и	1	2
225	к нему	3	2
226	всего в	2	2
227	должно быть	2	2
228	чем у	1	2
229	природу и	1	2
230	у него	22	2
231	что она	1	2
232	его характер	1	2
233	человек в	1	2
234	для человеческого	2	2
235	себе и	1	2
236	что как	1	2
237	в каждом	1	2
238	личности и	2	2
239	речи и	1	2
240	действующих лиц	1	2
241	мира по	1	2
242	не совпадает	1	2
243	оба они	1	2
244	чем и	1	2
245	вопросом о	2	2
246	а потому	1	2
247	как к	2	2
248	его с	1	2
249	интерес к	1	2
250	в отношении	1	2
251	о природе	3	2
252	если бы	1	2
253	самом деле	1	2
254	самим собой	1	2
255	в россии	5	2
256	не делает	1	2
257	о любви	2	2
258	преступления и	1	2
259	не имеют	1	2
260	народа и	1	2
261	со всей	1	2
262	отношении к	1	2
263	и ему	1	2
264	к одному	1	2
265	было и	1	2
266	подошел к	1	2
267	на этот	1	2
268	этого слова	1	2
269	в самой	9	2
270	его героев	2	2
271	ни с	7	2
272	в первый	1	2
273	все это	6	2
274	человеческой индивидуальности	1	2
275	ее в	2	2
276	видеть в	1	2
277	же не	1	2
278	то к	2	2
279	том плане	1	2
280	это было	3	2
281	вовсе не	1	2
282	он ни	1	2
283	случае если	1	2
284	его не	2	2
285	этом мире	2	2
286	не по	1	2
287	в науке	1	2
288	заключает в	1	2
289	чтобы не	1	2
290	человека с	1	2
291	в голову	1	2
292	на то	1	2
293	же это	2	2
294	человек не	7	2
295	которой нет	1	2
296	есть не	1	2
297	науки о	1	1
298	не нужна	1	1
299	же и	1	1
300	к этой	2	1
301	есть откровение	1	1
302	это лишь	1	1
303	людей но	1	1
304	в разных	1	1
305	и был	1	1
306	что человек	3	1
307	что русский	1	1
308	всей ее	1	1
309	свободу в	1	1
310	и там	2	1
311	человека для	1	1
312	а иногда	1	1
313	на земле	4	1
314	с тем	2	1
315	этого типа	1	1
316	а именно	1	1
317	что природа	1	1
318	в это	1	1
319	мир и	1	1
320	у достоевского	19	1
321	нем нет	3	1
322	и нет	2	1
323	мире это	1	1
324	в бытовом	1	1
325	не существует	1	1
326	видно что	1	1
327	каких было	1	1
328	человека не	1	1
329	он был	8	1
330	даже и	2	1
331	и своим	1	1
332	в этот	2	1
333	это представляется	1	1
334	вообще но	1	1
335	отметить что	1	1
336	природы но	3	1
337	ключа к	1	1
338	в глаза	1	1
339	всего что	1	1
340	пути от	1	1
341	ошибочно было	1	1
342	ключ к	1	1
343	он создал	1	1
344	находится в	1	1
345	художественного творчества	1	1
346	судьбе человеческой	1	1
347	как от	1	1
348	и недостаточно	1	1
349	не одно	1	1
350	русской литературы	1	1
351	человека вообще	1	1
352	откровение его	1	1
353	действительно в	1	1
354	и прекрасного	1	1
355	внутренней жизни	1	1
356	она и	1	1
357	после того	1	1
358	был даже	1	1
359	в дневнике	2	1
360	собой в	1	1
361	в явлениях	2	1
362	но еще	1	1
363	иных случаях	1	1
