N	3gram	Berdyaev_M	DiskursI
1	в том что	3	28
2	в отличие от	1	26
3	по отношению к	4	17
4	не может быть	22	12
5	по природе своей	2	10
6	о том что	3	9
7	в этом отношении	1	8
8	как и в	2	7
9	с точки зрения	1	6
10	несет в себе	1	5
11	в значительной степени	2	5
12	по своей природе	1	5
13	не только в	2	5
14	подобно тому как	2	5
15	не было в	1	4
16	не в том	1	4
17	и не может	2	4
18	в наше время	1	4
19	как будто бы	2	3
20	в том случае	1	3
21	но не менее	1	3
22	а не в	4	3
23	том что в	1	3
24	во всяком случае	1	3
25	также и в	2	3
26	это прежде всего	1	3
27	мере в какой	1	2
28	в той мере	1	2
29	на том что	1	2
30	еще в одном	1	2
31	заключает в себе	3	2
32	он не может	2	2
33	потому что в	4	2
34	на этом основании	1	2
35	хотя и в	1	2
36	той мере в	1	2
37	к которому он	1	2
38	а не только	3	2
39	никогда не было	2	2
40	не то чтобы	1	2
41	и в том	1	2
42	это ведет к	1	2
43	в мире и	1	2
44	не могли быть	1	2
45	но и в	4	2
46	так и не	2	2
47	и той же	2	2
48	как и все	1	2
49	одной и той	2	2
50	тем что он	2	2
51	том случае если	1	2
52	прежде всего в	2	2
53	что он не	3	1
54	лишь в том	1	1
55	как и во	2	1
56	сойти с ума	1	1
57	в этом направлении	1	1
58	в себе в	1	1
59	и заключается в	1	1
60	в чем не	2	1
61	по сравнению с	2	1
62	для человека в	1	1
63	во всех его	1	1
64	одни и те	1	1
65	хотя бы и	2	1
66	веры а не	1	1
67	в самом деле	1	1
68	и он мог	1	1
69	природе своей не	1	1
70	но оно не	1	1
71	для того чтобы	4	1
72	в самую глубину	2	1
73	это не есть	1	1
74	человека а не	1	1
75	не несет в	1	1
76	не может существовать	1	1
77	друг на друга	1	1
78	не только имеет	1	1
79	во втором случае	1	1
80	что у него	1	1
81	отказ от своего	1	1
82	сам по себе	1	1
83	до сих пор	5	1
84	в себе самом	1	1
85	в иных случаях	1	1
86	и не должно	1	1
87	может быть названа	1	1
88	в отношении к	3	1
89	между тем как	2	1
90	возможно лишь в	1	1
91	но для этого	2	1
92	никогда не бывает	2	1
93	даже и в	1	1
94	но также и	2	1
95	что они не	1	1
96	есть не что	3	1
97	человек не мог	2	1
98	но и от	1	1
99	но не в	1	1
100	не может не	2	1
101	преступление и наказание	1	1
102	в творчестве шекспира	1	1
103	одной из сторон	1	1
104	в нем нет	1	1
105	на этом пути	4	1
106	свет и на	1	1
107	друга и каждый	1	1
108	но это не	3	1
109	и в этом	1	1
110	и не быть	1	1
111	прежде всего как	1	1
112	был прежде всего	3	1
113	в глубине своего	1	1
114	вместе с тем	5	1
115	чем у пушкина	1	1
116	может быть принят	2	1
117	и те же	2	1
118	на то что	1	1
119	событие в жизни	1	1
120	не только от	1	1
121	но она не	1	1
122	а иногда и	1	1
123	определяется не внешними	1	1
124	обращение к богу	1	1
125	в себе страшную	1	1
126	в себе и	2	1
127	а также в	1	1
128	с самим собою	2	1
129	место в творчестве	2	1
130	уже в конце	1	1
131	уже как бы	1	1
132	раскрывается не в	1	1
133	отличается не только	1	1
134	двоится для человека	1	1
135	в другом и	1	1
136	на самом деле	1	1
137	добра и зла	7	1
138	не что иное	4	1
139	тому как в	1	1
140	он сам в	1	1
141	можно было бы	1	1
142	в одном отношении	1	1
143	к богу и	1	1
144	есть то что	1	1
145	во всех этих	1	1
146	том что он	1	1
147	не могут быть	2	1
148	и есть не	1	1
149	выходит за пределы	1	1
150	та или иная	1	1
151	что иное как	4	1
152	и не знает	1	1
153	как бы в	1	1
154	это и есть	7	1
155	нет и не	1	1
156	не ведет к	2	1
157	ни в чем	2	1
158	в своем творчестве	3	1
159	после того как	2	1
