N	2gram	Bakhtin_Fr	BTomashe
1	у нас	3	3
2	все это	15	2
3	в ней	10	2
4	можно было	5	2
5	больше чем	2	2
6	и не	23	2
7	видеть в	1	2
8	для которой	1	1
9	говорить о	5	1
10	и о	8	1
11	было и	1	1
12	со всем	2	1
13	не только	23	1
14	и свободный	2	1
15	книге только	1	1
16	вообще тематика	1	1
17	таким образом	20	1
18	не было	3	1
19	в эпоху	17	1
20	прежде всего	19	1
21	бы только	1	1
22	и в	67	1
23	на самом	8	1
24	так и	14	1
25	на которой	1	1
26	в своей	6	1
27	во всяком	1	1
28	и потому	1	1
29	и во	4	1
30	также что	1	1
31	за пределы	4	1
32	говорить об	1	1
33	же не	2	1
34	с другой	3	1
35	об этом	5	1
36	своей книге	1	1
37	как будто	2	1
38	зато очень	1	1
39	не о	1	1
40	другой стороны	2	1
41	кроме того	11	1
42	было бы	5	1
43	не мешало	1	1
44	точно и	1	1
45	и ее	2	1
46	чем на	2	1
47	одной из	6	1
48	в значительной	2	1
49	из ее	1	1
50	в пределах	2	1
51	в данном	4	1
52	должна быть	1	1
53	необходимо отметить	1	1
54	в области	2	1
55	далеко не	6	1
56	тем более	3	1
57	не вполне	1	1
58	то как	1	1
59	и более	1	1
60	что все	4	1
61	не все	2	1
62	никак не	3	1
63	в книге	2	1
64	значительной степени	1	1
65	его не	5	1
66	а не	6	1
67	до конца	2	1
68	сейчас в	1	1
69	и на	12	1
70	выходит за	3	1
71	между ними	4	1
72	свою книгу	1	1
73	еще не	5	1
74	свободная от	1	1
75	к ней	2	1
76	все же	7	1
77	что в	14	1
