N	2gram	Propp_Isto	Hudozhes
1	в качестве	13	31
2	в мире	1	24
3	и в	44	23
4	не только	17	20
5	состоит в	1	20
6	в том	13	20
7	при этом	4	19
8	может быть	31	19
9	в частности	9	18
10	и не	19	16
11	тогда как	1	15
12	но и	16	14
13	а не	5	13
14	но не	8	13
15	а в	9	13
16	в тексте	1	13
17	в себе	1	13
18	в этом	20	12
19	то же	9	12
20	такого рода	2	12
21	так и	9	12
22	и его	15	12
23	сводится к	1	11
24	представляет собой	8	11
25	как бы	4	11
26	точки зрения	3	11
27	в его	16	11
28	по отношению	2	10
29	но в	7	10
30	отношению к	2	10
31	своего рода	1	9
32	или иной	1	9
33	том что	12	9
34	с другой	11	9
35	в искусстве	1	9
36	не в	11	9
37	не может	10	9
38	особого рода	1	8
39	себя в	6	8
40	в области	1	8
41	в то	5	8
42	что в	18	7
43	в самом	1	7
44	только в	8	7
45	в своей	3	7
46	в основе	3	7
47	же время	1	7
48	в отличие	1	7
49	отличие от	1	7
50	как это	5	7
51	по своей	1	7
52	лишь в	2	7
53	отношение к	3	7
54	другой стороны	10	6
55	в состав	1	6
56	приводит к	2	6
57	уже не	14	6
58	можно сказать	2	6
59	художественного творчества	1	6
60	с его	3	6
61	мы имеем	22	6
62	в ее	4	6
63	а также	5	6
64	в нем	10	6
65	ни в	2	5
66	в виду	1	5
67	не на	1	5
68	мыслится как	1	5
69	что он	29	5
70	не менее	6	5
71	не является	1	5
72	того чтобы	3	5
73	для того	3	5
74	со стороны	6	5
75	иначе говоря	1	5
76	как к	1	5
77	для него	2	5
78	того что	3	5
79	прежде всего	7	5
80	с другими	4	5
81	в их	1	5
82	а на	2	5
83	или иначе	1	5
84	между ними	2	5
85	героя и	3	5
86	тем самым	2	5
87	то что	16	5
88	в ходе	1	5
89	могут быть	9	5
90	место в	1	5
91	во втором	1	4
92	на смену	4	4
93	например в	11	4
94	из которого	1	4
95	еще не	16	4
96	в данном	3	4
97	языка в	1	4
98	входит в	5	4
99	в другом	2	4
100	сказать что	2	4
101	в своем	3	4
102	к тому	1	4
103	на почве	1	4
104	и то	5	4
105	это не	8	4
106	его в	17	4
107	не знает	1	4
108	и как	5	4
109	в этих	7	4
110	так в	5	4
111	в себя	3	4
112	а только	1	4
113	того или	1	4
114	между тем	1	4
115	он не	5	4
116	и тем	7	4
117	и что	13	4
118	в форме	5	4
119	далеко не	1	4
120	и о	2	4
121	однако в	2	4
122	в силу	7	4
123	хотя и	1	4
124	и к	3	3
125	и на	11	3
126	в момент	1	3
127	с этой	4	3
128	даже в	4	3
129	говорит и	1	3
130	о чем	6	3
131	подобно тому	2	3
132	данного текста	1	3
133	если бы	5	3
134	оказывается в	1	3
135	и сам	2	3
136	есть в	2	3
137	а именно	8	3
138	в жизни	1	3
139	как и	12	3
140	к его	2	3
141	их в	7	3
142	никто не	4	3
143	в иной	12	3
144	тем не	6	3
145	в роли	4	3
146	в противоположность	1	3
147	к нему	5	3
148	потому что	18	3
149	одной стороны	7	3
150	в одном	2	3
151	не обязательно	2	3
152	имеем в	2	3
153	мог бы	2	3
154	как правило	2	3
155	за пределами	1	3
156	во всей	1	3
157	от себя	2	3
158	из этих	5	3
159	и для	3	3
160	он должен	2	3
161	таким образом	21	3
162	на языке	1	3
163	с одной	7	3
164	том числе	3	3
165	с точки	1	3
166	связи с	10	3
167	но он	2	3
168	в таком	2	3
169	как говорит	3	3
170	в связи	6	3
171	или даже	1	3
172	по своему	1	3
173	во всех	3	3
174	в русской	8	3
175	как уже	1	3
176	тому как	2	3
177	в свою	3	3
178	в которой	4	3
179	не будет	1	3
180	одно и	2	3
181	в пределах	5	3
182	того же	3	3
183	человека с	2	3
184	что можно	1	3
185	тот или	1	3
186	слова в	1	3
187	не случайно	1	3
188	герой не	3	3
189	в целом	4	3
190	и ее	1	3
191	мире и	1	2
192	и другие	5	2
193	образом и	1	2
194	один из	6	2
195	с ним	9	2
196	из которых	7	2
197	не как	5	2
198	а затем	7	2
199	одно из	3	2
200	по себе	2	2
201	в них	3	2
202	оно не	1	2
203	этой точки	2	2
204	самом деле	2	2
205	между которыми	1	2
206	на свою	2	2
207	все эти	11	2
208	во множестве	1	2
209	и соответственно	1	2
210	с ними	4	2
211	в одно	2	2
212	как в	11	2
213	никем не	1	2
214	роль в	3	2
215	у одного	1	2
216	в каком	1	2
217	жизни на	1	2
218	о том	11	2
219	мы легко	2	2
220	свою очередь	1	2
221	это и	3	2
222	еще и	2	2
223	ни к	1	2
224	ними и	1	2
225	на основе	1	2
226	не всегда	9	2
227	могло быть	1	2
228	между двумя	7	2
229	не могло	2	2
230	или иных	1	2
231	речь идет	1	2
232	говорит что	1	2
233	вслед за	1	2
234	и это	5	2
235	превращается в	10	2
236	не вполне	1	2
237	так же	14	2
238	еще один	3	2
239	и наоборот	1	2
240	об этом	6	2
241	должен быть	2	2
242	я думаю	1	2
243	на наших	1	2
244	видим в	2	2
245	если мы	1	2
246	может оказаться	1	2
247	одна из	6	2
248	этого слова	1	2
249	здесь не	3	2
250	не все	1	2
251	на котором	3	2
252	не просто	1	2
253	только о	1	2
254	чем это	1	2
255	это своего	1	2
256	никогда не	5	2
257	и по	3	2
258	то в	2	2
259	но на	1	2
260	этих двух	1	2
261	основе своей	1	2
262	в последней	1	2
263	одной из	3	2
264	наших глазах	1	2
265	несмотря на	3	2
266	в формах	2	2
267	которого он	1	2
268	в литературе	1	2
269	что такое	1	2
270	ее в	8	2
271	все это	4	2
272	что и	11	2
273	xix века	1	2
274	к жизни	1	2
275	таком случае	1	2
276	уже говорилось	1	2
277	у него	7	2
278	или в	7	2
279	и некоторые	1	2
280	и более	3	2
281	одним из	4	2
282	что она	3	2
283	тому что	1	2
284	я не	1	2
285	большей части	1	2
286	мира и	2	2
287	к своему	2	2
288	это тоже	1	2
289	вовсе не	6	2
290	тем более	1	2
291	и потому	2	2
292	по большей	1	2
293	но как	2	2
294	а с	2	2
295	на этом	5	2
296	могут служить	1	2
297	имеются и	1	2
298	этого текста	1	2
299	дело не	1	2
300	в случае	1	2
301	есть как	1	2
302	быть и	1	2
303	и может	2	2
304	но она	1	2
305	таких случаях	2	2
306	это может	1	2
307	человека и	2	2
308	с человеком	2	2
309	идет о	1	2
310	в этой	5	2
311	числе и	2	2
312	что может	1	2
313	тот кто	7	2
314	и др	6	2
315	материала в	1	2
316	право на	2	2
317	из этого	3	2
318	отнюдь не	1	2
319	в особенности	6	1
320	с которыми	1	1
321	собой всю	1	1
322	том чем	1	1
323	и способность	2	1
324	от него	2	1
325	все что	5	1
326	всеми людьми	1	1
327	вступить в	1	1
328	и здесь	12	1
329	за ним	4	1
330	одним словом	1	1
331	свою первоначальную	1	1
332	и конечно	1	1
333	одном случае	2	1
334	вещи в	1	1
335	же и	1	1
336	как с	1	1
337	такая форма	1	1
338	такова же	2	1
339	живое существо	2	1
340	если в	4	1
341	тех кто	1	1
342	все люди	2	1
343	живет в	6	1
344	словами из	1	1
345	героя в	11	1
346	случае мы	2	1
347	образа и	1	1
348	можно назвать	1	1
349	не всякий	1	1
350	его за	2	1
351	представляют собой	6	1
352	думаю что	1	1
353	что это	8	1
354	от нас	1	1
355	не требует	1	1
356	в другой	5	1
357	говорит о	4	1
358	те же	1	1
359	времени когда	1	1
360	типа так	1	1
361	из того	1	1
362	представлений о	12	1
363	по образцу	1	1
364	топором по	1	1
365	бы они	1	1
366	в результате	1	1
367	то с	1	1
368	героя о	1	1
369	противоречие с	1	1
370	за это	3	1
371	не могут	2	1
372	живые существа	1	1
373	этом как	1	1
374	должен был	1	1
375	или для	1	1
376	же я	1	1
377	и даже	4	1
378	если не	4	1
379	он уже	1	1
380	с некоторыми	2	1
381	на свой	1	1
382	до этого	3	1
383	труда а	1	1
384	предметов в	1	1
385	животного в	1	1
386	а во-вторых	1	1
387	одновременно с	2	1
388	всегда остается	2	1
389	в различные	1	1
390	на руках	1	1
391	к каким	2	1
392	тем что	12	1
393	обращается к	2	1
394	и действительно	6	1
395	то время	3	1
396	если он	2	1
397	мира это	1	1
398	меня в	4	1
399	новая форма	1	1
400	стороны в	1	1
401	в соответствии	1	1
402	что по	1	1
403	приходит в	1	1
404	тому назад	2	1
405	вместе с	26	1
406	все же	17	1
407	внешне не	1	1
408	предмета и	1	1
409	только для	1	1
410	не имеет	4	1
411	смертью в	1	1
412	однако это	1	1
413	о котором	1	1
414	достигается при	1	1
415	зависимости от	1	1
416	характерна для	1	1
417	в это	3	1
418	нет в	2	1
419	но мы	5	1
420	на первый	1	1
421	выйти наружу	1	1
422	выступает как	1	1
423	они создают	1	1
424	перед нами	2	1
425	после его	1	1
426	в своего	1	1
427	с этим	7	1
428	все они	1	1
429	если с	1	1
430	мир как	1	1
431	что искусство	1	1
432	которых можно	4	1
433	состоит не	1	1
434	он же	2	1
435	истории не	1	1
436	в котором	2	1
437	из других	2	1
438	зависит от	4	1
439	и пр	6	1
440	отношение невозможно	1	1
441	вторичное и	1	1
442	сливается с	2	1
443	по своим	1	1
444	представляется не	1	1
445	восходит к	1	1
446	не упоминается	1	1
447	более чем	1	1
448	случаи когда	1	1
449	то и	1	1
450	но кто	1	1
451	всегда может	1	1
452	она могла	1	1
453	в лесу	3	1
454	имеет в	1	1
455	наконец в	1	1
456	и поэтому	1	1
457	быть не	1	1
458	героем и	2	1
459	во многих	1	1
460	вступление в	1	1
461	из его	2	1
462	а через	2	1
463	время в	2	1
464	перейдем к	3	1
465	с которой	1	1
466	жизни и	4	1
467	из своего	4	1
468	только на	2	1
469	в которую	2	1
470	в противоречие	1	1
471	точно так	3	1
472	к одному	1	1
473	в различных	3	1
474	обращаясь к	1	1
475	переходит к	1	1
476	на основании	1	1
477	не так	1	1
478	и те	1	1
479	не что	1	1
480	в истории	7	1
481	и находит	1	1
482	ногами и	1	1
483	быть это	1	1
484	себе в	3	1
485	до того	1	1
486	над собой	1	1
487	перед ним	1	1
488	в чистом	1	1
489	эти два	2	1
490	задний план	3	1
491	к ним	2	1
492	обратим внимание	2	1
493	из наиболее	1	1
494	соответствии с	1	1
495	еще нет	2	1
496	ее не	3	1
497	нас на	1	1
498	тем же	1	1
499	затем в	3	1
500	по которым	2	1
501	и служит	1	1
502	ключ к	1	1
503	той же	2	1
504	ее как	1	1
505	места для	1	1
506	с этими	3	1
507	что все	4	1
508	их сознания	1	1
509	здесь невозможно	1	1
510	в сознании	1	1
511	легко может	1	1
512	тот что	1	1
513	момент в	1	1
514	всех людей	3	1
515	тем это	2	1
516	но если	2	1
517	здесь и	2	1
518	могут встречаться	1	1
519	когда для	1	1
520	иначе с	1	1
521	что даже	2	1
522	нет никаких	1	1
523	к этим	3	1
524	друг друга	5	1
525	то или	2	1
526	в систему	1	1
527	они могут	1	1
528	из них	4	1
529	едва ли	1	1
530	характерно что	2	1
531	быть наделен	1	1
532	тот же	1	1
533	в лес	3	1
534	о ней	1	1
535	а своей	1	1
536	представить себе	1	1
537	говорилось выше	1	1
538	именно к	1	1
539	специально для	1	1
540	что они	3	1
541	этом случае	13	1
542	в свое	2	1
543	проникает в	1	1
544	которым человек	1	1
545	мы видим	12	1
546	в более	6	1
547	вокруг него	3	1
548	не поддается	1	1
549	со мной	1	1
550	так как	19	1
551	многих других	1	1
552	от его	1	1
553	что иное	1	1
554	они не	5	1
555	после того	4	1
556	он от	1	1
557	на вопрос	3	1
558	свидетельствует о	1	1
559	который всегда	1	1
560	же этот	1	1
561	который может	1	1
562	несколько иной	1	1
563	собой в	1	1
564	и процесс	2	1
565	внимание на	1	1
566	иных случаях	1	1
567	от мира	1	1
568	общение с	1	1
569	в состоянии	1	1
570	обе эти	1	1
571	у каждого	1	1
572	а тот	2	1
573	а и	1	1
574	не своей	1	1
575	переход к	1	1
576	основе которых	1	1
577	нее как	1	1
578	известные нам	1	1
579	как у	2	1
580	для нас	6	1
581	и через	1	1
582	меньше и	1	1
583	приобщение к	1	1
584	у нас	1	1
585	в широком	1	1
586	на помощь	1	1
587	данной ему	1	1
588	на которой	4	1
589	и от	1	1
590	из дальнейшего	1	1
591	и есть	3	1
592	сколько бы	1	1
593	в русском	1	1
594	мы находим	1	1
595	не путем	1	1
596	ведь это	1	1
597	но с	1	1
598	сторону его	1	1
599	в таких	3	1
600	не было	2	1
601	мы рассмотрим	4	1
602	ему говорит	1	1
603	как видно	1	1
604	он это	2	1
605	не говорит	2	1
606	и некоторыми	1	1
607	что его	4	1
608	самые разнообразные	1	1
609	этим и	1	1
610	на нее	3	1
611	которое в	1	1
612	это еще	3	1
613	но одно	1	1
614	места в	1	1
615	ведущего и	1	1
616	что не	3	1
617	виду что	1	1
618	здесь обычно	1	1
619	но для	4	1
620	такое же	3	1
621	в конце	1	1
622	или иная	1	1
623	из мифа	1	1
624	мира а	2	1
625	с той	2	1
626	за которым	2	1
627	фольклора и	1	1
628	нас к	10	1
629	также в	2	1
630	можно предположить	3	1
631	человек в	2	1
632	же как	12	1
633	на земле	1	1
634	не есть	1	1
635	все виды	1	1
636	между прочим	2	1
637	заметил что	2	1
638	которая при	1	1
639	это происходит	3	1
640	перед собой	1	1
641	он состоит	2	1
642	этот круг	1	1
643	смерти в	2	1
644	от этого	6	1
645	особенности в	2	1
646	и я	1	1
647	именно эту	1	1
648	связь со	1	1
649	по его	2	1
650	служит для	1	1
651	это было	2	1
652	или индивидуального	1	1
653	тех же	2	1
654	на его	1	1
655	человек имеет	1	1
656	себе и	2	1
657	путь к	1	1
658	в одной	5	1
659	встрече с	1	1
660	принадлежностью к	1	1
661	становится не	1	1
662	связаны с	3	1
663	бы в	1	1
664	войны и	1	1
665	мере в	1	1
666	пребывания в	1	1
667	на них	2	1
668	прослеживается в	1	1
669	здесь как	3	1
670	может иметь	2	1
671	вошел в	2	1
672	для иллюстрации	1	1
673	что от	3	1
674	он говорит	1	1
675	в своих	4	1
676	он ни	1	1
677	на задний	3	1
678	не означает	1	1
679	с матерью	1	1
680	до нас	1	1
681	если на	1	1
682	случае если	1	1
683	чистом виде	1	1
684	две стороны	1	1
685	не дает	2	1
686	ему на	1	1
687	не тот	1	1
688	также и	2	1
689	ту же	2	1
690	одну из	5	1
691	здесь только	1	1
692	как человек	3	1
693	эта деталь	1	1
694	для таких	1	1
695	на колени	1	1
696	или же	6	1
697	так называемые	1	1
698	в развитии	2	1
699	что касается	2	1
700	а по	3	1
701	другим в	1	1
702	для этого	3	1
703	ни от	1	1
704	после чего	3	1
705	по одним	1	1
706	для установления	1	1
707	между жизнью	1	1
708	частности в	1	1
709	ним как	1	1
710	иметь в	1	1
711	или его	1	1
712	эта сторона	2	1
713	даже при	1	1
714	стороны и	1	1
715	только то	1	1
716	и жизни	1	1
717	из видов	1	1
718	этих случаях	10	1
719	у нее	1	1
720	как один	1	1
721	и выступает	1	1
722	или иное	2	1
723	означает что	3	1
724	в иных	1	1
725	он еще	1	1
726	этом не	1	1
727	на это	1	1
728	иного типа	1	1
729	было бы	2	1
730	например не	1	1
731	дает ему	6	1
732	не по	3	1
733	становится его	1	1
734	из нее	2	1
735	превратилась в	1	1
736	же самое	1	1
737	вступают в	1	1
738	как мы	9	1
739	к изучению	2	1
740	общего с	1	1
741	что для	1	1
742	его как	1	1
743	друг другу	1	1
744	в зависимости	1	1
745	когда они	3	1
746	приводят к	3	1
747	по этому	1	1
748	так что	2	1
749	с которым	3	1
750	он показывает	1	1
751	же в	3	1
752	здесь также	2	1
753	является необходимой	1	1
754	к пониманию	2	1
755	в уме	1	1
756	происходит в	1	1
757	чаще всего	3	1
758	как будто	2	1
759	идет не	1	1
760	на то	3	1
761	бы ни	1	1
762	когда герой	6	1
763	а как	3	1
764	здесь мы	7	1
765	может и	1	1
766	в него	5	1
767	природой и	1	1
768	собой лишь	1	1
769	или точнее	1	1
770	чтобы служить	1	1
771	есть не	2	1
772	жизнью и	1	1
773	иное как	1	1
774	чем выше	1	1
775	можно только	1	1
