N	3gram	Savitsky_E	Russkaja
1	друг с другом	3	14
2	то же время	14	10
3	в то же	15	10
4	с точки зрения	16	9
5	в том что	6	7
6	во всяком случае	3	6
7	для того чтобы	5	6
8	в том случае	1	4
9	не может быть	2	4
10	на то что	2	4
11	к тому чтобы	2	4
12	более или менее	1	4
13	бы то ни	4	4
14	той или иной	4	3
15	можно было бы	3	3
16	в данном случае	2	3
17	в лучшем случае	1	3
18	не может не	1	3
19	том случае если	1	3
20	того или иного	4	2
21	в значительной мере	1	2
22	в большинстве случаев	2	2
23	и тем самым	1	2
24	только в том	2	2
25	себя как на	1	2
26	к тому что	1	2
27	это потому что	1	2
28	друг от друга	2	2
29	мы говорили в	1	2
30	в противном случае	1	1
31	условии если в	1	1
32	к европейской культуре	1	1
33	в силу этого	1	1
34	фактом что к	1	1
35	тех изменений в	1	1
36	говорить не о	1	1
37	на земном шаре	2	1
38	и в частности	2	1
39	и с точки	1	1
40	ибо в своем	1	1
41	дело в том	1	1
42	смысле этого слова	1	1
43	о котором мы	1	1
44	которая как мы	1	1
45	которое в последние	2	1
46	но в то	2	1
47	речь идет о	1	1
48	всех этих случаях	1	1
49	и в своем	1	1
50	котором мы говорили	1	1
51	твердо помнить что	1	1
52	существующих на земном	1	1
53	том числе и	1	1
54	последнее время в	1	1
55	так же как	5	1
56	и только в	2	1
57	тех или иных	1	1
58	во многих случаях	1	1
59	и прежде всего	3	1
60	есть то что	1	1
61	во всех этих	1	1
62	как бы ни	3	1
63	и ту же	1	1
64	прежде всего в	2	1
65	заключается в том	2	1
66	несмотря на то	1	1
67	представителей данного народа	2	1
68	и то и	1	1
69	по сие время	1	1
70	народов и культур	1	1
71	то ни было	4	1
72	о которых мы	1	1
73	и того же	1	1
74	из всего этого	1	1
75	отказаться от своей	1	1
76	заключает в себе	3	1
77	сплошь и рядом	2	1
78	одну и ту	1	1
79	все что по	1	1
80	к участию в	1	1
81	в связи с	1	1
82	в том же	1	1
83	же время в	1	1
84	случае если будет	1	1
85	в том числе	1	1
86	с отказом от	1	1
87	но как бы	1	1
88	древних галлов и	1	1
89	говорить о том	1	1
90	между прочим и	2	1
91	в этом отношении	3	1
92	россии что же	1	1
93	в свою очередь	2	1
94	в применении к	3	1
95	и не только	1	1
96	точки зрения этих	1	1
97	это зависит от	1	1
98	стремление каждого народа	1	1
99	в значительной степени	1	1
100	россию в ее	1	1
101	на этот вопрос	1	1
102	совершенно очевидно также	1	1
103	только в виде	1	1
104	то и другое	1	1
105	этого отнюдь не	1	1
106	но и для	1	1
107	или хотя бы	2	1
108	и по сие	1	1
109	к тому же	1	1
110	что во многих	1	1
111	совершенно очевидно что	1	1
112	одного и того	1	1
113	и в этом	4	1
114	в полной мере	1	1
115	как бы то	1	1
116	друг к другу	1	1
