N	3gram	Berdyaev_M	Poddanst
1	в отношении к	3	5
2	в том что	3	4
3	не только в	2	4
4	экономического и политического	1	3
5	с точки зрения	1	3
6	но и в	4	2
7	заключает в себе	3	2
8	и потому в	1	2
9	разных точек зрения	1	1
10	не было бы	5	1
11	и в движении	1	1
12	он живет в	2	1
13	в момент когда	1	1
14	вместе с тем	5	1
15	хотя бы это	1	1
16	нужно обратиться к	1	1
17	и еще в	1	1
18	с разных точек	1	1
19	не может быть	22	1
20	– все это	1	1
21	та или иная	1	1
22	мы видим в	1	1
23	том что в	1	1
24	но также и	2	1
25	в отличие от	1	1
26	по сравнению с	2	1
27	есть прежде всего	4	1
28	культурной традиции в	1	1
29	и быть может	2	1
30	в творчестве достоевского	7	1
31	хотя бы и	2	1
32	во всяком случае	1	1
33	для того чтобы	4	1
34	есть та или	1	1
35	потому что есть	2	1
36	так раскрывается в	1	1
37	и не может	2	1
38	не в том	1	1
39	так же как	1	1
40	и в этом	1	1
