N	3gram	Propp_Russ	Vvedenie
1	и т д	12	39
2	для того чтобы	6	22
3	в том что	27	15
4	о том что	6	13
5	не может быть	1	10
6	тем не менее	3	9
7	в применении к	1	6
8	к выводу что	3	6
9	в этом случае	9	6
10	и т п	1	5
11	в том чтобы	2	5
12	на этот вопрос	1	5
13	не что иное	3	5
14	что иное как	3	5
15	во всяком случае	1	5
16	вопрос о том	1	5
17	и в том	2	4
18	по отношению к	1	4
19	с точки зрения	3	4
20	можно было бы	2	4
21	не только в	1	4
22	в данном случае	7	4
23	в отличие от	4	4
24	т е в	6	4
25	но все же	2	4
26	с одной стороны	1	4
27	в этом отношении	1	4
28	и в этом	2	4
29	не только как	1	4
30	вместе с тем	10	3
31	в собственном смысле	1	3
32	можно сказать что	1	3
33	как мы видели	1	3
34	можно говорить о	1	3
35	с тем что	1	3
36	по этому поводу	3	3
37	греков и римлян	1	3
38	в целом ряде	1	2
39	половине xix в	2	2
40	в этих случаях	1	2
41	в свою очередь	2	2
42	т е не	1	2
43	как будто бы	1	2
44	и потому что	2	2
45	направление в изучении	1	2
46	т д а	1	2
47	мы уже знаем	2	2
48	но вместе с	3	2
49	не до конца	1	2
50	и что следовательно	1	2
51	как мы уже	2	2
52	состоит в том	16	2
53	а между тем	1	2
54	потому что он	2	2
55	по меньшей мере	1	2
56	самом деле как	1	2
57	точно так же	1	2
58	xix в в	1	2
59	всяком случае не	1	2
60	что в этом	2	2
61	и того же	1	2
62	подобно тому как	3	2
63	в связи с	4	2
64	во второй половине	1	2
65	а так как	1	2
66	в другом месте	1	2
67	к этому времени	2	2
68	одного и того	1	2
69	сомнений в том	1	2
70	после того как	3	2
71	может быть и	3	2
72	отличие от других	1	1
73	не только по	2	1
74	собой не что	1	1
75	в одном и	1	1
76	в том же	1	1
77	может быть назван	1	1
78	и могут быть	1	1
79	в точности соответствует	1	1
80	и том же	1	1
81	с этим в	1	1
82	при более широком	1	1
83	никак не может	1	1
84	дело не только	1	1
85	также в том	1	1
86	одним из самых	1	1
87	но и в	1	1
88	т е на	2	1
89	как мы знаем	1	1
90	в xix в	13	1
91	первой половине xix	1	1
92	и в дальнейшем	1	1
93	на самом деле	1	1
94	деле как мы	1	1
95	xix в и	1	1
96	в одно целое	1	1
97	наряду с этим	1	1
98	в разных формах	3	1
99	что не только	1	1
100	а именно в	1	1
101	представляют собой не	1	1
102	приходит к выводу	1	1
103	как видно из	1	1
104	так как эти	1	1
105	т д и	1	1
106	быть и не	1	1
107	при этом говорит	1	1
108	не значит что	2	1
109	есть и другие	2	1
110	одна из наиболее	1	1
111	себе целью раскрыть	1	1
112	более или менее	1	1
113	как раз наоборот	1	1
114	т е с	1	1
115	в первой половине	1	1
116	этот вопрос был	1	1
117	в таком случае	1	1
118	и у древних	1	1
119	по содержанию своему	1	1
120	об этом сообщает	1	1
121	все же в	1	1
122	с русской историей	1	1
123	потому что она	1	1
124	это как будто	1	1
125	потому что в	1	1
126	не потому что	1	1
127	сказать что в	1	1
128	и объяснить его	1	1
129	в настоящее время	3	1
130	как мы видим	1	1
131	следует представлять себе	1	1
132	второй половине xix	1	1
133	так же как	5	1
134	целом ряде других	1	1
135	только потому что	1	1
136	в области изучения	2	1
137	по его словам	1	1
138	во многих случаях	4	1
139	наблюдения и выводы	1	1
140	том что в	7	1
141	в них в	1	1
142	у разных народов	1	1
143	уже не имеет	1	1
144	но и как	1	1
145	не может не	1	1
146	в русском языке	1	1
147	к тому что	4	1
148	ставит себе целью	1	1
149	из того что	1	1
150	сказывается и в	1	1
151	то увидим что	1	1
152	одном и том	1	1
153	смотрят на нее	1	1
154	только тогда когда	3	1
155	имея в виду	1	1
156	не следует представлять	1	1
157	то что в	1	1
158	так как в	2	1
159	по содержанию и	1	1
160	потому что они	1	1
