N	2gram	Losev_Dial	Poddanst
1	не только	35	17
2	и в	34	14
3	и не	50	12
4	в этом	14	10
5	в отношении	1	10
6	в том	17	9
7	то же	9	9
8	в качестве	1	9
9	но в	3	9
10	хотя бы	9	8
11	в пределах	1	8
12	только в	10	7
13	же время	5	7
14	в то	9	7
15	в ней	4	6
16	быть может	3	6
17	было бы	13	6
18	но и	14	6
19	в смысле	4	6
20	и пр	16	5
21	может быть	30	5
22	отношении к	1	5
23	россии в	1	5
24	с другой	5	5
25	не в	11	5
26	и о	9	5
27	в которых	1	5
28	а я	3	5
29	и к	5	4
30	что в	12	4
31	в котором	2	4
32	по себе	31	4
33	тех кто	1	4
34	и если	5	4
35	и потому	6	4
36	но также	1	4
37	мы должны	1	4
38	не может	29	4
39	а в	3	4
40	то что	25	4
41	как бы	19	4
42	если бы	10	4
43	в своем	7	4
44	же в	2	4
45	том что	18	4
46	религиозного творчества	1	3
47	в сравнении	6	3
48	наряду с	1	3
49	в себе	8	3
50	сравнении с	5	3
51	что мы	10	3
52	с одной	4	3
53	мы не	11	3
54	это не	13	3
55	одной стороны	3	3
56	для того	4	3
57	с точки	25	3
58	хотя и	9	3
59	т е	72	3
60	с тем	4	3
61	потому что	21	3
62	она есть	17	3
63	прежде всего	20	3
64	вслед за	1	3
65	тем самым	3	3
66	сами по	3	3
67	заключается в	3	3
68	но не	3	3
69	могут быть	5	3
70	я и	2	3
71	и т	41	3
72	и как	13	3
73	с ними	3	3
74	в порядке	1	3
75	в нем	7	3
76	и без	4	3
77	тот же	1	3
78	точки зрения	43	3
79	с этим	4	2
80	во всех	2	2
81	именно как	3	2
82	одних и	2	2
83	и это	12	2
84	осуществляется в	2	2
85	и мы	6	2
86	было в	2	2
87	как факт	1	2
88	ней не	2	2
89	и вот	13	2
90	церкви и	1	2
91	по сравнению	1	2
92	эта идея	1	2
93	в ее	5	2
94	и тем	3	2
95	того что	22	2
96	никак не	3	2
97	как раз	11	2
98	в частности	3	2
99	в его	6	2
100	не о	6	2
101	а не	39	2
102	но о	4	2
103	для нас	2	2
104	все это	13	2
105	говорить о	13	2
106	может и	3	2
107	и есть	24	2
108	стороны и	1	2
109	в виде	11	2
110	в них	6	2
111	только это	1	2
112	творчества и	1	2
113	знать что	1	2
114	не было	6	2
115	к чему	2	2
116	и с	10	2
117	может ли	4	2
118	как на	6	2
119	в общем	1	2
120	в сфере	3	2
121	духа и	2	2
122	именно в	5	2
123	должно быть	7	2
124	в жизни	4	2
125	отношения к	4	2
126	друг другу	1	2
127	iii в	1	2
128	во всей	1	2
129	есть нечто	26	2
130	помнить что	2	2
131	в силу	5	2
132	одна из	4	2
133	в мире	2	2
134	например в	3	2
135	не менее	11	2
136	реальность и	2	2
137	думать что	3	2
138	отнюдь не	16	2
139	со стороны	5	2
140	да и	4	2
141	точек зрения	1	2
