N	3gram	Medvedev_U	Myshleni
1	в том что	2	133
2	с одной стороны	1	39
3	друг с другом	1	35
4	то же самое	2	31
5	в этом отношении	2	30
6	в этом случае	1	27
7	с другой стороны	3	26
8	на то что	1	25
9	не может быть	4	23
10	можно сказать что	1	21
11	в самом деле	2	19
12	в этом смысле	2	18
13	до сих пор	2	17
14	и то что	2	15
15	в данном случае	1	15
16	в первую очередь	1	14
17	нам думается что	1	14
18	на первый план	1	12
19	на каждом шагу	2	10
20	с тем что	1	9
21	более или менее	1	9
22	в конечном счете	4	9
23	само по себе	1	9
24	сам по себе	1	8
25	не могут быть	2	8
26	в этой области	3	8
27	же самое что	1	7
28	то о чем	1	6
29	и в частности	2	6
30	в той же	1	5
31	в конце концов	2	5
32	в то же	3	5
33	не только в	1	5
34	по нашему мнению	3	5
35	смысле можно сказать	1	4
36	то ни было	3	3
37	у нас в	1	3
38	хотя бы и	2	3
39	они относятся к	1	3
40	то же время	3	3
41	говорит он в	1	3
42	мы имеем в	1	3
43	является одним из	1	3
44	это было бы	1	3
45	том что она	1	3
46	и в конце	1	3
47	тех или иных	2	3
48	на одно из	1	3
49	бы то ни	3	3
50	в значительной мере	1	3
51	знак равенства между	1	3
52	имеем в виду	1	3
53	таким образом на	1	2
54	не входит в	1	2
55	и с другой	1	2
56	может быть в	1	2
57	не только к	1	2
58	все же не	1	2
59	никогда не может	1	2
60	которые могли бы	1	2
61	с другом не	1	2
62	из первых мест	1	2
63	одно из первых	1	2
64	и не только	1	2
65	и в их	1	2
66	что мы можем	1	2
67	верно и то	1	2
68	и т.д в	1	2
69	т.е в конечном	2	2
70	не есть слово	1	1
71	больше чем то	1	1
72	же время не	1	1
73	т.е то что	1	1
74	но даже и	2	1
75	связанные с проблемой	1	1
76	идет не о	1	1
77	так или иначе	1	1
78	если бы это	1	1
79	заключенных в нем	1	1
80	в отдельности и	1	1
81	мы полагаем что	1	1
82	по существу то	1	1
83	оно все же	1	1
84	но именно этот	1	1
85	в буквальном смысле	1	1
86	вот почему в	1	1
87	а не только	1	1
88	у нас до	1	1
89	не было бы	1	1
90	о котором говорил	1	1
91	по крайней мере	2	1
92	все они в	1	1
93	в течение многих	1	1
94	во главу угла	1	1
95	но верно и	1	1
96	рассматривать не как	1	1
97	и не случайно	1	1
98	конечном счете оно	1	1
99	нас до сих	1	1
100	как и не	1	1
101	превратилось бы в	1	1
102	нам представляется что	1	1
103	этом случае он	1	1
104	а для второго	1	1
105	содержания и формы	1	1
106	для всех этих	1	1
107	между тем в	1	1
108	все это в	1	1
109	вот почему она	1	1
110	понятий с другой	1	1
111	но нам представляется	1	1
112	проблем связанных с	1	1
113	этом смысле можно	1	1
114	она должна была	1	1
115	в своей совокупности	1	1
116	прежде всего что	1	1
117	еще один пример	1	1
118	не в том	1	1
119	звуковой формы слова	1	1
120	отдельности и все	1	1
121	и формы в	1	1
122	сделать больше чем	1	1
123	и в то	1	1
124	или по крайней	1	1
125	в точном смысле	1	1
126	он не обладает	1	1
127	обе эти тенденции	1	1
128	в широком смысле	1	1
129	слово как таковое	1	1
130	чуждых друг другу	1	1
131	в этом плане	1	1
132	то что было	1	1
133	между тем сам	1	1
134	что мы и	1	1
135	как нам представляется	1	1
136	большей или меньшей	1	1
137	равно как и	1	1
138	одним из самых	1	1
139	это не только	1	1
140	и что все	1	1
141	должно быть по	1	1
142	он пытается заменить	1	1
143	он может быть	1	1
144	элементы из которых	1	1
145	поставить знак равенства	1	1
146	другой стороны в	1	1
147	он прежде всего	1	1
148	чем то что	1	1
149	она все же	1	1
150	тем что он	1	1
151	бы в чистое	1	1
152	изучение всех этих	1	1
153	то что все	1	1
154	что он и	1	1
155	мыслей о котором	1	1
156	при таком понимании	1	1
