N	2gram	Vinokur_Vv	IolandNe
1	и с	2	3
2	что в	13	2
3	оба они	1	2
4	должен быть	4	2
5	ничего не	2	2
6	и не	13	2
7	в этом	35	2
8	неудивительно что	1	1
9	говорить о	5	1
10	все эти	3	1
11	для того	23	1
12	и очень	1	1
13	а в	6	1
14	и о	1	1
15	же это	2	1
16	это было	1	1
17	и со	2	1
18	и та	1	1
19	хорошо знать	2	1
20	для него	1	1
21	не остается	1	1
22	тех же	1	1
23	тем что	6	1
24	только что	4	1
25	а если	2	1
26	и чрезвычайно	1	1
27	того же	3	1
28	нам в	1	1
29	и др	2	1
30	о жизни	1	1
31	жизни и	2	1
32	с другой	8	1
33	этого все	1	1
34	в целом	5	1
35	было не	1	1
36	человеке и	1	1
37	значительной мере	2	1
38	очевидно что	1	1
39	в эту	1	1
40	другой стороны	5	1
41	себя в	2	1
42	произведения и	2	1
43	могло бы	2	1
44	знать и	2	1
45	после смерти	1	1
46	что при	1	1
47	как только	2	1
48	если бы	3	1
49	отношению к	4	1
50	в руки	6	1
51	по существу	2	1
52	и сам	3	1
53	того что	12	1
54	цель и	1	1
55	них не	2	1
56	а с	2	1
57	по поводу	1	1
58	и тот	1	1
59	и многое	1	1
60	творчества пушкина	1	1
61	а также	3	1
62	так и	2	1
63	автора и	1	1
64	в значительной	3	1
65	без этого	1	1
66	о ней	1	1
67	от этого	5	1
68	и занимается	1	1
69	а отсюда	2	1
70	того чтобы	22	1
71	и без	2	1
72	и творчества	2	1
73	а для	1	1
74	другое дело	3	1
75	бы в	2	1
76	этим и	1	1
77	и ничего	1	1
78	не дает	1	1
79	есть только	2	1
80	и в	35	1
81	видит в	4	1
82	никогда не	3	1
83	все это	6	1
84	по отношению	4	1
85	на котором	2	1
86	нисколько не	3	1
87	как о	4	1
88	то она	2	1
89	в них	5	1
