N	3gram	Vinokur_St	Narrotol
1	в том что	29	18
2	в данном случае	7	17
3	не только в	4	13
4	в отличие от	1	11
5	по отношению к	3	11
6	к тому же	2	9
7	о том что	19	9
8	не может быть	5	8
9	тем не менее	4	8
10	в соответствии с	1	8
11	той или иной	1	8
12	то же время	5	8
13	в то же	5	8
14	в этом отношении	13	8
15	в известном смысле	1	6
16	мы имеем дело	1	6
17	с одной стороны	2	6
18	для того чтобы	13	5
19	но и в	2	5
20	на самом деле	7	5
21	имеем дело с	2	5
22	к тому что	4	4
23	во всяком случае	8	4
24	у нас нет	7	4
25	в том как	3	3
26	в самом деле	7	3
27	обращает на себя	2	3
28	и не может	1	3
29	а в том	1	3
30	до сих пор	12	3
31	следует подчеркнуть что	1	3
32	иметь в виду	2	3
33	речь идет о	3	3
34	в зависимости от	2	3
35	точно так же	2	3
36	а также и	2	3
37	в ответ на	1	3
38	внимание на то	1	3
39	того или иного	4	3
40	на то что	5	3
41	на себя внимание	1	3
42	с точки зрения	10	3
43	дело в том	7	3
44	как раз в	4	3
45	и то что	2	3
46	в той или	1	2
47	мере в какой	3	2
48	и не в	1	2
49	и в то	1	2
50	в той мере	2	2
51	дело не только	1	2
52	и т п	11	2
53	ровным счетом ничего	1	2
54	из этих двух	2	2
55	если бы она	1	2
56	не в том	3	2
57	таким каким он	1	2
58	более или менее	2	2
59	и то же	1	2
60	что у него	1	2
61	сами по себе	2	2
62	а между тем	2	2
63	на мой взгляд	1	2
64	той мере в	2	2
65	не могло быть	1	2
66	не только не	2	2
67	на этот раз	2	2
68	а с другой	1	2
69	как своего рода	2	2
70	мысль о том	1	2
71	вследствие того что	1	2
72	но и здесь	2	2
73	в том смысле	4	2
74	но все же	3	2
75	об этом и	1	2
76	об этом в	1	2
77	к одному из	1	2
78	и для нас	1	2
79	одно и то	1	2
80	можно было бы	8	2
81	так же как	5	2
82	только потому что	2	2
83	с легкой руки	1	2
84	в этом месте	2	2
85	тем или иным	3	2
86	а во втором	1	2
87	каждый из нас	1	2
88	было видно что	1	2
89	в этой системе	1	1
90	в письме к	5	1
91	что и для	1	1
92	это вовсе еще	1	1
93	о том как	1	1
94	том смысле что	2	1
95	в той же	2	1
96	то что он	3	1
97	точки зрения но	1	1
98	на том что	1	1
99	в этом смысле	2	1
100	как она была	1	1
101	по сравнению с	1	1
102	это в равной	1	1
103	его собственному признанию	1	1
104	и в другом	1	1
105	выше я уже	1	1
106	то или иное	3	1
107	интересен в этом	1	1
108	не представляется возможным	1	1
109	он не может	1	1
110	она не могла	1	1
111	в том числе	3	1
112	об этом не	1	1
113	относится ни к	1	1
114	не знает и	1	1
115	друг от друга	1	1
116	свидетельствует о том	1	1
117	а в тех	1	1
118	могло бы быть	1	1
119	но и с	2	1
120	но это вовсе	1	1
121	виде в каком	2	1
122	не только с	2	1
123	ни к одному	1	1
124	то что могло	1	1
125	так или иначе	3	1
126	будет зависеть от	1	1
127	сам по себе	1	1
128	так и в	5	1
129	ни одного слова	1	1
130	никогда и не	1	1
131	никто ничего не	1	1
132	в том случае	1	1
133	в обоих случаях	2	1
134	с этой стороны	1	1
135	оснований видеть в	1	1
136	сомневаться в том	2	1
137	в то что	1	1
138	не могла бы	1	1
139	по его собственному	1	1
140	а во второй	2	1
141	но он и	1	1
142	том что в	4	1
143	в своем роде	1	1
144	потому что оно	1	1
145	и в других	1	1
146	можно сказать не	1	1
147	в которых он	1	1
148	совершенно особое место	1	1
149	нас нет никаких	1	1
150	или иначе в	1	1
151	то ни было	1	1
152	не может не	1	1
153	и даже не	2	1
154	в советское время	2	1
155	а не в	1	1
156	в самом тексте	2	1
157	на границе между	1	1
158	что с точки	1	1
159	только то что	1	1
160	до второй половины	1	1
161	том числе и	2	1
162	с другой стороны	8	1
163	нет никаких оснований	1	1
164	бы то ни	2	1
165	во втором случае	2	1
166	и совершенно не	1	1
167	никогда не было	1	1
168	не встречается ни	1	1
169	не то что	1	1
170	имея в виду	1	1
171	такого рода в	1	1
172	в равной мере	2	1
173	в чем же	1	1
174	сих пор еще	1	1
175	в значительной степени	2	1
176	о которых он	1	1
177	оно не является	1	1
178	одним и тем	2	1
179	и т д	25	1
180	то что было	1	1
181	к месту своей	1	1
182	которые по словам	1	1
183	прежде всего его	1	1
184	является не только	1	1
185	и тем же	2	1
186	в литературном отношении	1	1
187	смысле как мы	1	1
188	вплоть до второй	1	1
189	по крайней мере	2	1
190	в чем он	1	1
191	не годится в	1	1
192	не до конца	2	1
193	в которой он	1	1
194	что он уже	1	1
195	и в самом	3	1
196	но в целом	2	1
197	что же касается	3	1
198	самом деле не	1	1
199	как и в	2	1
200	а потому не	1	1
201	не только к	1	1
202	и не было	1	1
203	с того что	2	1
204	той же мере	1	1
205	в то время	2	1
206	тем более что	2	1
207	за сто лет	1	1
208	не должен быть	1	1
209	на этот вопрос	2	1
210	следующее место из	1	1
211	ни один человек	1	1
212	лишь то что	1	1
213	несмотря на ее	1	1
214	данном случае в	2	1
215	вовсе еще не	1	1
216	и представляют собой	1	1
217	всяком случае в	2	1
218	я не могу	2	1
219	ответ на этот	1	1
220	содержит в себе	1	1
221	том что и	1	1
222	жизни и смерти	1	1
223	по тем или	1	1
224	может быть общим	1	1
225	по его словам	1	1
226	а как к	1	1
227	то время как	1	1
228	не относится ни	1	1
229	у меня в	2	1
230	с самого начала	3	1
231	том что он	6	1
232	и что в	1	1
233	же как и	1	1
234	не создает никаких	1	1
235	в той духовной	1	1
236	представление о том	1	1
237	было бы совершенно	1	1
238	по его мнению	1	1
239	том смысле как	1	1
240	совсем не в	2	1
241	вместо того чтобы	1	1
242	как это делает	1	1
243	а в самом	1	1
244	нам до сих	1	1
245	точки зрения как	1	1
246	данного произведения не	1	1
247	должен был бы	1	1
248	что и в	4	1
249	как на самом	1	1
250	это прежде всего	2	1
251	в виду что	1	1
252	ни в чем	1	1
253	на эту тему	4	1
254	но с другой	2	1
255	может быть и	2	1
