N	3gram	Ircho_Kome	TeoriaLi
1	в том что	13	10
2	по отношению к	5	10
3	в то же	5	8
4	то же время	5	8
5	в отличие от	3	7
6	того или иного	1	6
7	с другой стороны	6	6
8	более или менее	1	6
9	состоит в том	1	6
10	так и не	1	5
11	для того чтобы	3	5
12	так или иначе	4	5
13	в данном случае	1	5
14	той или иной	1	3
15	в этом смысле	2	3
16	в том числе	4	3
17	тем не менее	2	3
18	подобно тому как	1	3
19	в связи с	3	3
20	с одной стороны	5	3
21	но он не	1	2
22	в общественном сознании	1	2
23	при этом что	2	2
24	этой точки зрения	1	2
25	и в самом	1	2
26	с этой точки	1	2
27	как и в	2	2
28	в коем случае	1	2
29	в самом начале	3	2
30	ни в коем	1	2
31	в отношении к	1	2
32	том числе и	1	2
33	в соответствии с	2	2
34	том что он	4	2
35	мы имеем дело	1	2
36	то ни было	4	2
37	к тому что	3	2
38	бы то ни	4	2
39	в значительной степени	1	2
40	что он не	2	1
41	может и не	1	1
42	мере в какой	1	1
43	том случае если	1	1
44	не что иное	1	1
45	при этом они	1	1
46	такова в частности	1	1
47	если никто не	1	1
48	те и другие	1	1
49	но прежде всего	1	1
50	и прежде всего	1	1
51	если говорить о	1	1
52	состоит не в	1	1
53	в литературе нового	1	1
54	только в условиях	1	1
55	в большинстве случаев	2	1
56	в котором по	1	1
57	по своему происхождению	2	1
58	не в состоянии	3	1
59	о том что	6	1
60	далекого прошлого с	1	1
61	в последние десятилетия	1	1
62	литературе нового времени	1	1
63	в целом ряде	1	1
64	и те и	1	1
65	на себя внимание	4	1
66	а в другом	1	1
67	и частной жизни	1	1
68	обращает на себя	4	1
69	как один из	1	1
70	что одна из	1	1
71	как видно из	2	1
72	таким же образом	1	1
73	связи с этим	1	1
74	друг от друга	2	1
75	друг перед другом	1	1
76	в основе его	1	1
77	в одной из	1	1
78	во времени и	1	1
79	со всех сторон	1	1
80	в том случае	1	1
81	именно потому что	2	1
82	а между тем	1	1
83	и здесь мы	1	1
84	в первом случае	1	1
85	автор обращается к	1	1
86	в то время	8	1
87	между тем к	1	1
88	в первую очередь	5	1
89	речь идет о	5	1
90	в зависимости от	1	1
91	даже если она	1	1
92	точно так же	1	1
93	так же как	1	1
94	в поле зрения	2	1
95	можно говорить о	1	1
96	к тому же	12	1
97	в частности все	1	1
98	решающая роль в	1	1
99	том что в	1	1
100	в рамках этой	1	1
101	в новое время	2	1
102	то же самое	2	1
103	вовсе не означает	1	1
104	что иное как	1	1
105	едва ли не	6	1
106	точки зрения у	1	1
107	в одном случае	1	1
108	не более чем	2	1
109	со своей стороны	1	1
110	имеем дело с	1	1
111	так и против	1	1
112	я думаю что	2	1
