N	4gram	Vygotskiy_	TeoriaLi
1	состоит в том что	7	5
2	одного и того же	8	4
3	мы имеем в виду	1	3
4	в том числе и	2	2
5	с этой точки зрения	7	2
6	в том что он	3	2
7	одно и то же	1	2
8	бы то ни было	1	2
9	и те и другие	1	1
10	той мере в какой	2	1
11	с логической точки зрения	1	1
12	в том что в	2	1
13	не что иное как	2	1
14	заключается в том что	10	1
15	в первую очередь по	1	1
16	в той мере в	3	1
17	и по отношению к	1	1
18	с одной стороны и	2	1
19	едва ли не первым	1	1
20	в этом смысле можно	1	1
21	а с другой стороны	2	1
22	на вопрос что такое	1	1
23	в еще большей степени	1	1
24	мы имеем дело с	1	1
25	в связи с этим	1	1
26	есть не что иное	2	1
