N	4gram	Propp_Isto	EvropaiC
1	до сих пор не	1	5
2	совершенно так же как	3	3
3	о которых идет речь	1	3
4	но вместе с тем	4	2
5	в то же время	1	2
6	указывают на то что	1	2
7	состоит в том что	1	1
8	с этой точки зрения	2	1
9	в то время как	3	1
10	стоит в связи с	1	1
11	мы уже знаем что	1	1
12	выше мы видели что	1	1
13	одно и то же	2	1
14	таким образом мы видим	1	1
15	все же никогда не	1	1
16	но мы знаем что	3	1
17	эти примеры показывают что	1	1
18	нами до сих пор	1	1
19	в тех случаях когда	1	1
20	в том числе и	2	1
21	в этом случае мы	2	1
22	как мы видели выше	1	1
23	тем не менее в	1	1
