N	4gram	Potebnia_M	DiskursI
1	в то же время	8	8
2	состоит в том что	1	7
3	с одной стороны и	1	5
4	дело в том что	1	5
5	одного и того же	2	4
6	не говоря уже о	1	3
7	одно и то же	7	3
8	в том случае если	1	2
9	и не может быть	1	2
10	а в том что	1	2
11	одной и той же	4	2
12	ни прибавить ни убавить	1	2
13	бы то ни было	1	2
14	упускать из виду что	1	2
15	то же время и	1	2
16	одним и тем же	4	2
17	в их отношении к	1	1
18	именно в том что	1	1
19	в чем и состоит	1	1
20	не что иное как	1	1
21	и в этом случае	1	1
22	только после того как	1	1
23	в том что и	1	1
24	в большей или меньшей	1	1
25	то есть то что	1	1
26	только в том случае	1	1
27	нет и не может	1	1
28	тем не менее в	1	1
29	только в том что	3	1
30	не только в том	1	1
31	и в том случае	1	1
32	или по крайней мере	2	1
33	заключается в том что	1	1
34	по мере того как	8	1
35	в том что он	2	1
36	в прямой зависимости от	1	1
37	по себе не может	2	1
38	в том случае когда	1	1
39	в том что человек	1	1
40	в том и состоит	1	1
41	внешнее по отношению к	1	1
42	здесь как и в	1	1
43	не в том что	4	1
44	по отношению к субъекту	1	1
45	и тем же словом	2	1
46	есть не что иное	1	1
