N	2gram	Potebnia_M	RusskieA
1	и в	58	79
2	в том	38	64
3	том что	21	59
4	что в	34	57
5	не только	32	41
6	во время	5	38
7	так как	29	34
8	и другие	1	33
9	в этом	18	33
10	состоит в	1	32
11	как бы	12	31
12	но и	26	31
13	в других	6	30
14	как и	16	28
15	и на	8	28
16	может быть	47	28
17	в этот	1	26
18	одна из	4	24
19	о том	6	23
20	с в	5	23
21	и т	10	23
22	при этом	17	22
23	т д	6	21
24	там же	9	20
25	это не	10	20
26	а в	11	20
27	как мы	3	20
28	из них	2	19
29	все это	3	18
30	с тем	9	17
31	таким образом	21	17
32	то что	24	17
33	вместе с	12	17
34	об этом	1	17
35	показывает что	3	17
36	потому что	89	17
37	во многих	5	16
38	мы не	17	16
39	будто бы	1	15
40	один из	2	15
41	в них	7	14
42	и с	3	14
43	не менее	10	14
44	тем не	11	14
45	как это	1	14
46	и что	13	14
47	мы видели	5	14
48	и не	34	14
49	для нас	29	14
50	у нас	3	14
51	уже не	4	13
52	к этому	3	13
53	в некоторых	4	13
54	так что	23	13
55	и по	8	13
56	как в	18	13
57	в которых	2	13
58	еще не	9	13
59	не может	30	13
60	тем что	15	12
61	полагает что	3	12
62	мы имеем	1	12
63	в виде	1	12
64	мы увидим	3	11
65	следующим образом	1	11
66	не имеет	9	11
67	но это	7	11
68	а на	2	11
69	далеко не	4	11
70	что на	9	11
71	все же	11	10
72	так например	5	10
73	его в	3	10
74	между тем	7	10
75	что и	16	10
76	в течение	2	10
77	так и	17	10
78	или в	4	10
79	и других	6	10
80	то же	13	9
81	видно что	2	9
82	что они	6	9
83	п с	1	9
84	и все	6	9
85	того как	12	9
86	том же	3	9
87	но в	12	9
88	в г	2	9
89	но не	19	9
90	одно из	5	8
91	в этих	10	8
92	что по	3	8
93	так же	7	8
94	после этого	2	8
95	связи с	6	8
96	на себя	1	8
97	во всех	12	8
98	что это	5	8
99	подобно тому	7	8
100	их в	2	8
101	не объясняет	1	8
102	того чтобы	4	8
103	как например	4	8
104	того что	15	8
105	ее в	1	8
106	в данном	1	8
107	не все	3	8
108	тому как	8	8
109	для того	8	8
110	же в	7	8
111	в своем	3	7
112	на них	1	7
113	к нему	2	7
114	а и	5	7
115	не в	23	7
116	не совсем	3	7
117	было бы	21	7
118	главным образом	4	7
119	только в	36	7
120	еще в	1	7
121	связанные с	3	7
122	из этих	8	7
123	а не	38	7
124	начиная с	2	7
125	ничего не	2	7
126	не можем	5	7
127	животных и	2	7
128	и как	11	7
129	предположить что	1	7
130	мы должны	4	7
131	по этому	2	7
132	как будто	2	7
133	для этого	2	7
134	же как	1	6
135	к тому	5	6
136	что этот	1	6
137	выше мы	2	6
138	и другой	1	6
139	не всегда	2	6
140	только на	4	6
141	в одном	13	6
142	что она	3	6
143	после того	3	6
144	чем в	2	6
145	в разные	2	6
146	в таком	7	6
147	тому что	4	6
148	на земле	1	6
149	должно было	1	6
150	и у	3	6
151	на этом	3	6
152	многих случаях	2	6
153	должны были	2	6
154	в этой	3	6
155	в нем	26	6
156	как знак	1	6
157	видели что	2	6
158	должен был	1	6
159	с ними	2	6
160	приводит к	1	6
161	и более	3	6
162	что здесь	1	6
163	друг друга	6	6
164	эти представления	2	6
165	не будем	1	6
166	в их	3	6
167	на нее	2	6
168	все эти	3	6
169	так в	4	6
170	связаны с	1	6
171	она не	3	6
172	но она	3	6
173	и их	6	6
174	и о	3	6
175	в разных	2	5
176	нас к	1	5
177	например в	4	5
178	только для	7	5
179	тогда как	10	5
180	с этим	11	5
181	вопрос о	5	5
182	входит в	1	5
183	с другой	13	5
184	связь между	2	5
185	к ним	3	5
186	по поводу	7	5
187	что от	1	5
188	не было	7	5
189	в связи	2	5
190	мы уже	1	5
191	или же	7	5
192	в тех	1	5
193	можно было	1	5
194	и др	1	5
195	там где	8	5
196	в то	6	5
197	прежде всего	8	5
198	в особенности	1	5
199	его с	3	5
200	тогда когда	15	5
201	с ним	7	5
202	для них	2	5
203	то на	4	5
204	к таким	2	5
205	что он	5	5
206	ничего общего	3	5
207	то и	15	5
208	в свою	8	5
209	к себе	1	5
210	заметить что	7	5
211	но если	4	5
212	и для	8	5
213	тот же	5	5
214	в его	7	5
215	на самом	2	5
216	за этим	1	5
217	или даже	3	5
218	и потому	7	5
219	в народе	2	5
220	не с	2	5
221	их на	1	5
222	в целом	3	5
223	во всем	5	4
224	только тогда	7	4
225	или по	2	4
226	не столько	3	4
227	их не	2	4
228	как они	1	4
229	в своих	4	4
230	но все	4	4
231	именно в	2	4
232	всякого рода	1	4
233	во всяком	9	4
234	в котором	5	4
235	чтобы вызвать	1	4
236	но эти	4	4
237	не что	2	4
238	в отличие	1	4
239	во всей	1	4
240	от них	2	4
241	влияние на	4	4
242	что у	2	4
243	что иное	2	4
