N	4gram	Bakhtin_Fr	Literetu
1	в то же время	12	21
2	с одной стороны и	1	3
3	в том числе и	2	3
4	дело в том что	2	2
5	в целом ряде других	1	1
6	не что иное как	1	1
7	и прежде всего в	1	1
8	одного и того же	1	1
9	то же время в	1	1
10	все новые и новые	2	1
11	из прошлого в будущее	1	1
12	в одном из своих	1	1
13	той или иной мере	1	1
14	не имеет ничего общего	1	1
15	и в целом ряде	1	1
16	имеет ничего общего с	1	1
17	в той или иной	1	1
18	то же время здесь	1	1
19	но в то же	3	1
20	одним и тем же	1	1
