N	2gram	Tiupa_Hudo	ViktorSh
1	конце концов	1	2
2	в конце	5	2
3	и в	34	2
4	в том	24	2
5	том что	31	2
6	в другом	3	1
7	все время	2	1
8	но это	2	1
9	столь же	6	1
10	том же	1	1
11	их как	2	1
12	по существу	1	1
13	ведь это	1	1
14	главным образом	1	1
15	в самом	7	1
16	как же	1	1
17	теории литературы	2	1
18	и т.д	3	1
19	для них	1	1
20	хотел сказать	1	1
21	а только	4	1
22	именно в	9	1
23	ни к	2	1
24	самом деле	6	1
25	более чем	2	1
26	и составляет	2	1
27	ясно что	2	1
28	жизнь их	1	1
29	говоря о	2	1
30	в частности	10	1
31	и то	2	1
32	так в	2	1
33	и заключается	1	1
34	этом и	2	1
35	каждая новая	1	1
36	время в	1	1
37	то чего	2	1
38	и его	8	1
39	сводится к	7	1
40	даже не	1	1
41	к чему	1	1
42	бы уже	1	1
43	значительной степени	3	1
44	прозы в	1	1
45	на одном	2	1
46	хотя бы	2	1
47	с головой	1	1
48	собр соч	1	1
49	других и	2	1
50	стоял и	1	1
51	по поводу	3	1
52	далеко не	1	1
53	тем более	1	1
54	в которых	1	1
55	говорится в	2	1
56	к этому	1	1
57	только в	8	1
58	потому что	7	1
59	в значительной	3	1
60	уже известно	1	1
61	в их	2	1
62	все дело	1	1
63	и только	2	1
64	то же	14	1
65	по своим	2	1
66	чего не	1	1
67	не будем	1	1
68	и не	15	1
69	гораздо более	1	1
70	собственно и	2	1
71	я не	8	1
72	дело в	2	1
73	да и	5	1
74	в этом	22	1
75	так как	2	1
76	все это	2	1
77	сколь и	1	1
