N	4gram	Bakhtin_Fr	Formalny
1	в то же время	5	20
2	и не может быть	2	7
3	и пр и пр	1	7
4	и в то же	2	6
5	все более и более	1	4
6	нет и не может	1	4
7	на самом же деле	3	3
8	сводится к тому чтобы	1	3
9	как бы ни были	1	3
10	в том числе и	7	3
11	но в то же	2	3
12	чтобы убедиться в этом	1	3
13	и до сих пор	1	2
14	и до настоящего времени	1	2
15	до сих пор недостаточно	1	2
16	в своей статье о	2	2
17	мы имеем в виду	1	2
18	к тому чтобы показать	1	2
19	ни на кого не	1	2
20	для этого прежде всего	1	2
21	убедиться в этом достаточно	1	2
22	и в том что	2	1
23	именно в том чтобы	1	1
24	он перестал бы быть	1	1
25	и важным с точки	1	1
26	с точки зрения этих	1	1
27	литературные произведения но и	1	1
28	мы можем сказать что	1	1
29	большей или меньшей степени	7	1
30	нужно сказать что и	1	1
31	дело в том что	2	1
32	в большей или меньшей	7	1
33	мы еще вернемся в	1	1
34	это в большинстве случаев	1	1
35	вполне понятно что при	1	1
36	мы уже говорили что	3	1
37	важным с точки зрения	1	1
38	остановимся прежде всего на	1	1
39	одной и той же	1	1
40	в применении к литературе	1	1
41	глубокое миросозерцательное значение это	1	1
42	и ни на кого	1	1
43	то же время в	1	1
44	в виду прежде всего	1	1
45	на первом плане и	1	1
46	и до известной степени	1	1
47	не чем иным как	1	1
48	и связанные с ними	1	1
49	или во всяком случае	1	1
50	очень большое место в	1	1
51	и в наши дни	1	1
52	чем-то само собою разумеющимся	1	1
53	и речи нет о	1	1
54	имеем в виду прежде	1	1
55	на самом деле все	1	1
56	в этом отношении он	1	1
57	этого прежде всего необходимо	1	1
