N	3gram	Trubetskoy	Mirosoze
1	не может быть	4	28
2	в том что	16	9
3	а не в	1	9
4	для того чтобы	7	7
5	в высшей степени	2	7
6	вместе с тем	3	6
7	и в нем	1	6
8	о том что	4	6
9	друг к другу	2	6
10	до сих пор	15	5
11	может быть и	4	5
12	по отношению к	11	4
13	заключает в себе	2	4
14	в конце концов	4	4
15	никогда не было	1	4
16	на то что	7	4
17	в то время	2	4
18	можно было бы	1	4
19	то время как	1	4
20	для этого необходимо	1	3
21	том что он	2	3
22	не может не	3	3
23	к тому что	1	3
24	и у нас	1	3
25	по сравнению с	5	3
26	и той же	1	3
27	как и все	2	3
28	одной и той	1	3
29	так же как	3	3
30	во всяком случае	2	3
31	как и в	2	3
32	смысле этого слова	1	2
33	в этом направлении	1	2
34	и самого себя	1	2
35	он не может	2	2
36	и в конце	1	2
37	именно потому что	2	2
38	между тем как	1	2
39	но для этого	1	2
40	том что все	2	2
41	в нем не	1	2
42	в мире не	1	2
43	и не может	1	2
44	лишь те которые	1	2
45	в себе и	1	2
46	может не быть	1	2
47	не будет уже	1	2
48	никто не может	1	2
49	так же мало	1	2
50	на классы и	1	1
51	лишь в том	5	1
52	в вопросе о	2	1
53	а может быть	1	1
54	можно лишь в	1	1
55	это должно быть	1	1
56	отношение к культуре	1	1
57	в его собственной	1	1
58	вопрос можно ли	1	1
59	никогда не будет	3	1
60	не знает что	1	1
61	что они не	1	1
62	в самом деле	5	1
63	для этого нужно	1	1
64	они не могут	1	1
65	тот путь который	1	1
66	у него в	1	1
67	но и с	1	1
68	друг на друга	2	1
69	чтобы все эти	2	1
70	к которой он	1	1
71	каждый раз когда	1	1
72	что у него	1	1
73	во многих отношениях	1	1
74	но и его	2	1
75	не в том	1	1
76	друг с другом	9	1
77	может быть оправдан	1	1
78	в том случае	4	1
79	возможно лишь при	3	1
80	что он сам	1	1
81	народа должно быть	1	1
82	а между тем	8	1
83	того что в	1	1
84	в зависимости от	1	1
85	вместо того чтобы	1	1
86	между этими двумя	2	1
87	есть одно из	1	1
88	а это было	1	1
89	что до сих	2	1
90	и в нашем	1	1
91	тех случаях когда	1	1
92	самого себя и	1	1
93	на наших глазах	1	1
94	они должны быть	2	1
95	том что оно	1	1
96	время как другие	1	1
97	несмотря на все	1	1
98	с другой стороны	4	1
99	с психологической точки	1	1
100	в народе в	1	1
101	и потому они	1	1
102	только тогда когда	1	1
103	но так как	2	1
104	и в том	2	1
105	со своей стороны	1	1
106	заключают в себе	1	1
107	в тех случаях	1	1
108	должна быть признана	1	1
109	ко всему этому	2	1
110	в чистом виде	1	1
111	психологической точки зрения	1	1
112	сих пор не	5	1
113	потому не может	1	1
114	лишь тогда когда	2	1
115	за то что	1	1
116	которые не могут	1	1
117	современную европейскую цивилизацию	1	1
118	ставит его в	1	1
119	все другие народы	1	1
120	народ в мире	1	1
121	одним из самых	1	1
122	это не так	1	1
123	с точки зрения	8	1
124	в ту же	1	1
125	и социальной среды	1	1
126	в материальной и	1	1
127	а следовательно и	2	1
128	это была самая	1	1
129	и различие между	1	1
130	культуру в которой	1	1
131	только в этом	1	1
132	в то же	2	1
133	до тех пор	1	1
134	есть только одно	1	1
135	то же время	2	1
136	на самом деле	7	1
137	все та же	1	1
138	я не могу	1	1
139	что этот народ	1	1
140	хотя бы это	1	1
141	возможна лишь при	1	1
142	связи с культурой	1	1
143	или лучше сказать	1	1
144	во всех этих	2	1
145	во имя которого	1	1
146	то я не	1	1
147	в этнографический материал	1	1
148	указывают на то	2	1
149	хотя бы в	1	1
150	все его миросозерцание	1	1
151	нет в самом	1	1
152	есть высшее благо	1	1
153	другие народы мира	1	1
154	и все же	1	1
155	между тем в	1	1
156	том случае если	4	1
157	и сам он	1	1
158	та или иная	1	1
159	с одной стороны	2	1
160	моих мыслей и	1	1
161	это потому что	1	1
162	от нее и	1	1
163	нет и не	1	1
164	народом в мире	1	1
165	это было бы	1	1
