N	3gram	Tiupa_Anal	Vvedenie
1	для того чтобы	3	22
2	в том что	13	15
3	о том что	8	13
4	не может быть	17	10
5	в этом смысле	3	10
6	тем не менее	3	9
7	в широком смысле	2	7
8	до сих пор	1	7
9	мере в какой	2	6
10	в применении к	1	6
11	в той мере	2	6
12	в самом деле	3	6
13	в то же	9	6
14	в этом случае	4	6
15	той мере в	2	6
16	то же время	7	6
17	и т п	3	5
18	в том чтобы	7	5
19	на этот вопрос	1	5
20	не что иное	5	5
21	что иное как	6	5
22	с другой стороны	2	5
23	во всяком случае	1	5
24	по отношению к	9	4
25	по крайней мере	4	4
26	с точки зрения	6	4
27	на вопрос о	1	4
28	так или иначе	1	4
29	можно было бы	1	4
30	не только в	3	4
31	в данном случае	3	4
32	в отличие от	8	4
33	с одной стороны	6	4
34	в этом отношении	5	4
35	и в этом	4	4
36	той или иной	8	3
37	большей или меньшей	4	3
38	вместе с тем	1	3
39	заключается в том	1	3
40	в собственном смысле	1	3
41	и в самом	3	3
42	в свое время	3	3
43	можно сказать что	1	3
44	именно в этом	2	3
45	но в то	2	3
46	в зависимости от	1	3
47	тех или иных	3	3
48	и то что	1	3
49	есть не что	4	3
50	также и в	1	3
51	то же самое	3	3
52	сама по себе	1	3
53	в известном смысле	2	3
54	в том виде	1	3
55	ответ на вопрос	1	2
56	в этих случаях	1	2
57	в свою очередь	1	2
58	как будто бы	1	2
59	не в том	3	2
60	но не может	1	2
61	дело не с	2	2
62	обратим внимание на	1	2
63	как уже было	1	2
64	этой точки зрения	2	2
65	том или ином	4	2
66	хотя бы и	1	2
67	что же касается	1	2
68	с этой точки	2	2
69	только в том	1	2
70	и той же	1	2
71	и то же	2	2
72	состоит в том	6	2
73	не говоря уже	1	2
74	сам по себе	1	2
75	а между тем	1	2
76	смысле этого слова	1	2
77	в первом случае	2	2
78	ответ на этот	1	2
79	одно и то	2	2
80	по меньшей мере	1	2
81	самом деле как	1	2
82	одной и той	1	2
83	в соответствии с	2	2
84	в том или	3	2
85	уже было сказано	1	2
86	и того же	2	2
87	и т.д в	2	2
88	и не могут	1	2
89	подобно тому как	5	2
90	не могут быть	2	2
91	имеет дело с	1	2
92	же самое что	1	2
93	в связи с	2	2
94	во второй половине	1	2
95	одного и того	2	2
96	широком смысле этого	1	2
97	лишь в том	3	1
98	собой не что	1	1
99	тех пор пока	1	1
100	в той или	3	1
101	собственном смысле слова	1	1
102	внимание на то	1	1
103	в науке о	1	1
104	в том же	1	1
105	так как если	1	1
106	которая сама по	1	1
107	никак не может	1	1
108	этого слова как	1	1
109	дело не только	1	1
110	значение только в	1	1
111	но и в	3	1
112	ответом на вопрос	1	1
113	в том смысле	1	1
114	речь идет об	1	1
115	и тогда когда	2	1
116	как это было	1	1
117	имеется в виду	1	1
118	то или иное	1	1
119	не остается ничего	2	1
120	здесь как и	1	1
121	случае не есть	1	1
122	подлинного искусства в	1	1
123	в целом но	1	1
124	дело не в	2	1
125	уже не к	1	1
126	и цельную картину	1	1
127	какой бы то	2	1
128	и не в	4	1
129	как один из	1	1
130	в том числе	3	1
131	все что может	1	1
132	но в принципе	1	1
133	в отдельных случаях	1	1
134	в этом втором	1	1
135	в новейшее время	1	1
136	и наоборот в	1	1
137	более или менее	2	1
138	в самом его	1	1
139	во всем объеме	1	1
140	в достаточной мере	1	1
141	до тех пор	1	1
142	того чтобы быть	1	1
143	того или иного	3	1
144	том виде в	1	1
145	в обоих этих	1	1
146	в частности в	2	1
147	в большей или	1	1
148	в таком случае	5	1
149	его можно было	1	1
150	язык есть не	1	1
151	может быть определено	1	1
152	говоря уже о	1	1
153	говорилось о том	1	1
154	а только с	1	1
155	уже потому что	1	1
156	литературное произведение есть	1	1
157	сказать что в	1	1
158	что литературное произведение	1	1
159	того что в	2	1
160	в обоих случаях	2	1
161	по поводу того	1	1
162	науке о литературе	1	1
163	совершенно иного рода	1	1
164	было бы именовать	1	1
165	два различных аспекта	1	1
166	единого и цельного	1	1
167	или меньшей степени	1	1
168	самое что и	1	1
169	имеем в виду	1	1
170	мы имеем в	1	1
171	но если бы	1	1
172	не сам по	1	1
173	тогда когда оно	1	1
174	а в том	1	1
175	виде в каком	1	1
176	как и наоборот	1	1
177	прямо говорит о	1	1
178	том что он	2	1
179	то ни было	3	1
180	как если бы	1	1
181	остается ничего иного	2	1
182	принципе не может	1	1
183	но и как	1	1
184	заключенное в нем	1	1
185	она может быть	1	1
186	к тому что	2	1
187	ничего иного как	2	1
188	ставит себе целью	1	1
189	все это делает	1	1
190	в таких случаях	1	1
191	бы то ни	3	1
192	между прочим и	1	1
193	природе того что	1	1
194	внешнего по отношению	1	1
195	из того что	3	1
196	а не только	2	1
197	он в то	1	1
198	том смысле что	1	1
199	только тогда когда	1	1
200	в значительной степени	1	1
201	прежде всего в	2	1
202	как уже говорилось	3	1
203	имеем дело с	4	1
204	в принципе не	3	1
205	мы имеем дело	7	1
