N	4gram	Tiupa_Disk	EvropaiC
1	в том случае если	1	4
2	заключается в том что	1	3
3	одного и того же	4	3
4	в то же время	7	2
5	состоит в том что	2	1
6	именно в том что	1	1
7	более или менее значительный	1	1
8	в данном случае не	1	1
9	и в другом случае	1	1
10	в том и в	1	1
11	мысль о том что	1	1
12	не только по отношению	1	1
13	и в том и	1	1
14	не говоря уже о	2	1
15	том и в другом	1	1
16	в том что он	1	1
17	не в том что	1	1
18	одно и то же	2	1
19	только по отношению к	1	1
20	дело в том что	3	1
21	состоит именно в том	1	1
22	и не может быть	1	1
23	как и все прочие	1	1
24	только в том случае	1	1
25	а в том что	2	1
26	в тех случаях когда	1	1
27	в том числе и	3	1
28	одному и тому же	1	1
29	нет и не может	1	1
30	в том или ином	1	1
