N	3gram	Tiupa_Vved	slovoVRo
1	не может быть	6	19
2	то же время	4	18
3	в то же	5	18
4	той или иной	4	15
5	в отличие от	11	14
6	в той или	1	13
7	или иной степени	1	13
8	с одной стороны	9	11
9	во всех его	1	10
10	более или менее	2	9
11	в этом случае	1	9
12	в пределах одного	1	9
13	в зависимости от	1	8
14	во всяком случае	3	8
15	в значительной степени	2	7
16	но в то	1	7
17	и в то	1	6
18	с другой стороны	2	6
19	они могут быть	1	6
20	большей или меньшей	1	6
21	к чужому слову	1	6
22	в романе в	1	6
23	в том что	10	5
24	по отношению к	11	5
25	чужого слова в	1	5
26	не только в	3	5
27	в этом отношении	7	5
28	одной стороны и	3	4
29	для того чтобы	1	4
30	и не может	1	4
31	а также и	2	4
32	в свою очередь	5	4
33	своего и чужого	2	4
34	можно сказать что	1	4
35	с установкой на	2	4
36	у него нет	1	4
37	никогда не может	1	4
38	до известной степени	1	3
39	и то же	1	3
40	того или иного	1	3
41	может быть только	1	3
42	одно без другого	1	3
43	в данном случае	15	3
44	как если бы	1	3
45	в связи с	1	3
46	к тому что	1	3
47	в евгении онегине	1	3
48	но и здесь	1	3
49	как и в	2	3
50	одно и то	1	3
51	как мы видели	3	3
52	в другом случае	1	3
53	и в другом	1	2
54	напряженное взаимодействие и	1	2
55	то или иное	1	2
56	тем не менее	3	2
57	того же национального	1	2
58	имеет дело не	1	2
59	то же слово	1	2
60	в первом случае	1	2
61	не в качестве	1	2
62	в нем не	1	2
63	и др а	1	2
64	он в свою	1	2
65	но в этом	1	2
66	на границе между	1	2
67	в известном смысле	1	2
68	а не только	1	2
69	и в этом	1	2
70	и чужого слова	2	2
71	хотя и не	2	2
72	дело не с	1	2
73	иметь в виду	1	2
74	но и в	3	2
75	а не как	1	2
76	о том что	6	2
77	почти каждого высказывания	1	2
78	же национального языка	1	2
79	мы не можем	1	2
80	можно было бы	2	2
81	как одна из	1	2
82	с самого начала	1	2
83	же как и	1	2
84	смысловых и ценностных	1	2
85	слове но и	1	2
86	мира у него	1	1
87	окружающем его мире	1	1
88	бы и не	2	1
89	все то что	1	1
90	которая не может	2	1
91	исторически реален язык	1	1
92	но и по	1	1
93	и даже не	1	1
94	в конечном счете	2	1
95	для этого необходимо	1	1
96	проникнуть в его	1	1
97	а не к	1	1
98	в той же	1	1
99	охвата с той	1	1
100	дело не только	1	1
101	в одном высказывании	1	1
102	кишащее будущими и	1	1
103	бывшими языками отмирающими	1	1
104	чужих слов в	1	1
105	с большей или	1	1
106	чопорными языковыми аристократами	1	1
107	аристократами языковыми парвеню	1	1
108	он не может	1	1
109	и борьба своего	1	1
110	в том числе	1	1
111	в языки более	1	1
112	реален язык как	1	1
113	сказать и о	1	1
114	без соотнесения с	1	1
115	или иной идеологической	1	1
116	и вследствие этого	4	1
117	и слова все	1	1
118	в частности в	2	1
119	друг на друга	2	1
120	как бы не	1	1
121	несет на себе	1	1
122	сами по себе	1	1
123	не столько в	2	1
124	языками отмирающими чопорными	1	1
125	взаимодействие и борьба	1	1
126	территории почти каждого	1	1
127	а также в	1	1
128	может быть не	3	1
129	как и у	2	1
130	так и по	1	1
131	речь идет о	3	1
132	при этом очень	1	1
133	в его сознании	1	1
134	том числе и	1	1
135	само по себе	1	1
136	если бы мы	1	1
137	каждого из этих	1	1
138	или ближе к	1	1
139	и прежде всего	1	1
140	что они не	1	1
141	а в том	3	1
142	там где язык	1	1
143	не могло быть	1	1
144	в этом направлении	2	1
145	в особенности у	1	1
146	и в пределах	1	1
147	и в рамках	1	1
148	а не в	1	1
149	языковыми аристократами языковыми	1	1
150	не входит в	2	1
151	иной идеологической сферой	1	1
152	а не с	1	1
153	будущими и бывшими	1	1
154	претендентами в языки	1	1
155	и точек зрения	1	1
156	но это не	1	1
157	в равной степени	1	1
158	языки более или	1	1
159	парвеню бесчисленными претендентами	1	1
160	языковыми парвеню бесчисленными	1	1
161	становление кишащее будущими	1	1
162	герое нашего времени	1	1
163	но именно поэтому	1	1
164	в нашем случае	3	1
165	отношении к автору	1	1
166	в этих случаях	2	1
167	два смысловых и	1	1
168	в одном из	1	1
169	и ценностных кругозора	1	1
170	то есть в	1	1
171	к тому или	1	1
172	по аналогии с	2	1
173	и особенно в	1	1
174	менее удачливыми с	1	1
175	на то что	2	1
176	язык как разноречивое	1	1
