N	3gram	Vygotskiy_	RusskieA
1	в том что	24	49
2	состоит в том	3	29
3	тем не менее	4	14
4	в этом случае	15	12
5	вместе с тем	6	11
6	о том что	4	10
7	том что в	3	9
8	в том чтобы	1	9
9	для того чтобы	24	8
10	в данном случае	5	8
11	подобно тому как	2	8
12	в настоящее время	1	7
13	как мы увидим	1	7
14	мы не можем	3	7
15	не может быть	6	6
16	по этому поводу	3	6
17	как мы видели	7	6
18	так же как	13	6
19	после того как	1	6
20	к тому что	10	5
21	мы видели что	3	5
22	не что иное	1	4
23	том что это	1	4
24	как мы уже	2	4
25	в отличие от	4	4
26	что в этом	2	4
27	только тогда когда	1	4
28	что иное как	1	4
29	в то время	8	4
30	можно было бы	5	4
31	во всяком случае	1	4
32	к этому же	1	4
33	это имеет место	1	3
34	тех пор пока	1	3
35	но вместе с	2	3
36	по отношению к	9	3
37	до сих пор	6	3
38	с тем и	2	3
39	же как и	3	3
40	до некоторой степени	1	3
41	самом же деле	1	3
42	на самом же	1	3
43	мы не имеем	1	3
44	в свою очередь	3	3
45	на то что	5	3
46	с точки зрения	31	3
47	к выводу что	3	3
48	приводит нас к	2	3
49	до тех пор	1	3
50	как это имеет	1	3
51	и что в	1	3
52	с тем что	1	3
53	друг к другу	3	3
54	в настоящей работе	2	2
55	о том как	1	2
56	в большинстве случаев	2	2
57	приводят нас к	1	2
58	мы увидим ниже	1	2
59	ни одно из	1	2
60	совершенно очевидно что	2	2
61	друг с другом	6	2
62	ничего общего с	1	2
63	потому что он	4	2
64	из которых одна	1	2
65	но все же	1	2
66	с другой стороны	3	2
67	том же а	1	2
68	но так как	1	2
69	не только по	1	2
70	одна из основных	1	2
71	как и в	4	2
72	можно сказать что	7	2
73	в этом и	2	2
74	одно из этих	1	2
75	вопрос о том	1	2
76	на самом деле	2	2
77	с таким же	1	2
78	не только в	2	2
79	во всех этих	1	2
80	и в этом	2	2
81	так как в	2	2
82	и для них	1	2
83	привело к тому	1	2
84	с одной стороны	7	2
85	в этом отношении	7	2
86	он полагает что	1	1
87	установить что в	1	1
88	этот вопрос надо	1	1
89	в том же	3	1
90	не оставляют сомнения	1	1
91	мы должны были	1	1
92	но он одновременно	1	1
93	но и по	1	1
94	с той только	1	1
95	сделать вывод что	2	1
96	никак не может	1	1
97	во всей их	1	1
98	этого слова с	1	1
99	но если это	1	1
100	только о том	1	1
101	и по форме	1	1
102	они и не	1	1
103	той только разницей	1	1
104	у нас в	1	1
105	сих пор в	1	1
106	играют никакой роли	1	1
107	же деле это	1	1
108	в предыдущей главе	1	1
109	в совершенно ином	1	1
