N	2gram	Berdyaev_M	Narrotol
1	не только	42	62
2	и не	26	50
3	но и	34	45
4	а не	36	38
5	в частности	1	31
6	может быть	42	30
7	и в	61	30
8	в том	9	29
9	в этом	34	28
10	том что	7	28
11	а в	4	27
12	такого рода	1	26
13	только в	7	25
14	как и	14	24
15	не в	16	23
16	то что	10	23
17	то есть	3	22
18	не может	39	20
19	в себе	12	17
20	так и	5	17
21	а также	1	17
22	в его	10	16
23	к тому	6	15
24	но в	12	15
25	в жизни	7	14
26	и его	13	14
27	то же	4	13
28	в своей	18	13
29	уже не	8	13
30	о том	5	13
31	в своем	17	13
32	у него	38	13
33	все же	2	12
34	на протяжении	2	12
35	как в	9	12
36	как бы	10	12
37	прежде всего	18	12
38	по отношению	4	11
39	об этом	2	11
40	к себе	3	11
41	хотя и	2	11
42	в мире	12	11
43	если бы	5	11
44	и тем	1	11
45	в этой	12	11
46	в нем	26	11
47	жизни в	3	11
48	в отличие	1	11
49	отличие от	1	11
50	отношению к	4	11
51	один из	9	10
52	никогда не	30	10
53	точки зрения	6	10
54	всего лишь	1	10
55	между тем	2	10
56	в то	2	10
57	и все	13	10
58	жизни и	6	10
59	с его	6	10
60	ничего не	4	10
61	того что	13	10
62	но не	8	10
63	я в	1	9
64	что в	12	9
65	с ним	5	9
66	истории в	2	9
67	что он	16	9
68	еще не	1	9
69	потому что	25	9
70	для него	28	9
71	в той	3	8
72	и к	9	8
73	в самом	15	8
74	о чем	3	8
75	не менее	1	8
76	не мог	6	8
77	он не	34	8
78	действующих лиц	1	8
79	с анной	1	8
80	и он	21	8
81	самом деле	2	8
82	того чтобы	4	8
83	мы имеем	1	8
84	и для	7	8
85	этом отношении	1	8
86	у нас	13	8
87	у нее	1	8
88	мира в	2	8
89	в финале	1	7
90	а во	1	7
91	в котором	9	7
92	с другой	1	7
93	в ее	3	7
94	на себя	1	7
95	в конце	11	7
96	в чем	3	7
97	в силу	1	7
98	и на	9	7
99	и состоит	1	7
100	в свою	5	7
101	это не	10	7
102	также и	6	7
103	в ней	23	7
104	одного из	1	7
105	все что	5	6
106	между двумя	1	6
107	сказать что	5	6
108	в нашем	2	6
109	то в	2	6
110	что у	3	6
111	что и	6	6
112	человеческих отношений	1	6
113	во втором	1	6
114	к его	1	6
115	то и	1	6
116	ответ на	1	6
117	они не	4	6
118	о нем	2	6
119	как у	2	6
120	не по	1	6
121	на то	1	6
122	вплоть до	1	6
123	в центре	4	5
124	человеческой жизни	4	5
125	только что	1	5
126	не столько	1	5
127	в своих	4	5
128	и даже	1	5
129	и сам	1	5
130	а именно	1	5
131	мира и	6	5
132	в другом	1	5
133	для того	4	5
134	не всегда	1	5
135	в одном	1	5
136	он сам	11	5
137	себя в	6	5
138	к нему	8	5
139	от его	3	5
140	начала и	1	5
141	бы и	8	5
142	не было	25	5
143	но для	2	5
144	я не	4	5
145	такова что	1	5
146	человек в	12	5
147	а для	2	5
148	в русской	4	5
149	по поводу	1	5
150	точку зрения	1	5
151	и от	3	5
152	и здесь	6	5
153	что это	5	5
154	подобно тому	2	5
155	если не	1	5
156	их в	1	5
157	и у	3	5
158	о любви	1	5
159	да и	1	5
160	стало быть	1	5
161	было бы	11	5
162	и уже	1	5
163	событие в	1	5
164	и то	2	5
165	мы не	2	5
166	на самом	2	5
167	о жизни	1	5
168	в какой	1	5
169	тем более	1	5
170	тому как	2	5
171	в начале	2	5
172	еще в	4	5
173	в пределах	1	5
174	не случайно	1	5
175	и о	1	5
176	место в	4	5
177	как будто	4	5
178	в душе	1	4
179	и мира	3	4
180	в виду	2	4
181	по себе	2	4
182	в них	5	4
183	и с	6	4
184	все его	3	4
185	ведет к	16	4
186	не вполне	1	4
187	роль в	2	4
188	не существует	5	4
189	которой он	2	4
190	хотя бы	8	4
191	и когда	2	4
192	к этому	3	4
193	начало и	1	4
194	что они	4	4
195	жизни так	1	4
196	на том	3	4
197	к жизни	1	4
198	не о	2	4
199	тому что	2	4
200	не будет	3	4
201	из нас	1	4
202	по своей	4	4
203	дома с	1	4
204	и по	4	4
205	и ее	2	4
206	жизни героя	1	4
207	жизни а	3	4
208	для себя	1	4
209	не на	1	4
210	за границей	1	4
211	со всеми	1	4
212	оно не	3	4
213	о своей	2	4
214	вместе с	7	4
215	не имеет	7	4
216	которая не	2	4
217	в основе	4	4
218	не могло	1	4
219	в обоих	1	4
220	в сфере	2	4
221	мог бы	5	4
222	что я	1	4
223	всяком случае	1	4
224	друг друга	12	4
225	ему в	1	4
226	нас нет	1	4
227	во всяком	1	4
228	для нас	3	4
229	раз в	1	4
230	а на	1	4
231	и как	3	4
232	так в	1	4
233	по своему	3	4
234	это было	1	4
235	не все	3	4
236	в области	1	4
237	человека в	26	4
238	она не	9	4
239	быть и	2	4
240	не с	1	4
241	как он	4	4
242	к ней	6	4
243	что на	1	4
244	не к	6	4
245	что было	2	3
246	на одном	1	3
247	с этой	4	3
248	говорит о	1	3
249	своей истории	1	3
250	не бывает	3	3
251	в этих	6	3
252	восходит к	1	3
253	входит в	3	3
