N	3gram	Voloshinov	SlovoVZh
1	не может быть	3	7
2	можно сказать что	3	5
3	в том что	1	4
4	дело в том	1	4
5	то ни было	1	3
6	до сих пор	3	3
7	этой точки зрения	1	3
8	бы то ни	1	3
9	в каком отношении	1	2
10	имеем в виду	1	2
11	на самом деле	4	2
12	то же самое	1	2
13	мы можем сказать	2	2
14	в данном случае	1	2
15	конечно не может	1	2
16	лежит на границе	1	2
17	с одной стороны	1	2
18	смысл и значение	1	2
19	но отнюдь не	2	2
20	зависит от того	1	2
21	с точки зрения	6	2
22	со всех сторон	1	1
23	самом деле в	1	1
24	и таким образом	1	1
25	оно ни было	1	1
26	таким образом к	1	1
27	о том что	2	1
28	но несмотря на	1	1
29	в самом деле	2	1
30	герой нашего времени	1	1
31	даже тогда когда	1	1
32	можно определить как	2	1
33	несмотря на это	1	1
34	на один шаг	1	1
35	нуждается в особом	1	1
36	того в каком	1	1
37	в высшей степени	1	1
38	на это мы	1	1
39	тесной зависимости от	1	1
40	само нуждается в	1	1
41	и та же	1	1
42	на ранних ступенях	2	1
43	ни в коем	1	1
44	в каком направлении	1	1
45	на протяжении всей	2	1
46	во всяком случае	3	1
47	и др и	1	1
48	в нем и	1	1
49	в коем случае	1	1
50	совершенно своеобразно и	1	1
51	имеем дело с	1	1
52	протяжении всей жизни	2	1
53	в особом объяснении	1	1
54	подобно тому как	1	1
55	как это делает	1	1
56	мы увидим что	1	1
57	и она не	1	1
58	с самого начала	4	1
59	в конечном счете	2	1
60	же как и	1	1
61	одна и та	1	1
62	то что я	1	1
63	по аналогии с	2	1
64	можно было бы	1	1
65	в этом отношении	1	1
66	так же как	2	1
67	бы оно ни	1	1
68	только и делает	1	1
69	и прежде всего	1	1
70	в них и	1	1
71	мы имеем в	1	1
72	в чем не	3	1
73	и в этом	2	1
74	по крайней мере	3	1
75	ни в чем	3	1
76	коем случае нельзя	1	1
77	в этом смысле	3	1
78	уже не может	1	1
79	каком направлении может	1	1
80	нам кажется что	2	1
81	каких бы то	1	1
82	может быть только	1	1
