N	3gram	Losev_Vlad	StatiiOP
1	в том что	13	47
2	и т д	3	32
3	о том что	9	29
4	в этом отношении	2	24
5	для того чтобы	3	19
6	с другой стороны	3	13
7	во всяком случае	8	13
8	то обстоятельство что	2	11
9	не может быть	4	11
10	в самом деле	1	9
11	то же время	7	9
12	вместе с тем	2	9
13	на то что	6	9
14	в то же	7	9
15	дело в том	7	9
16	тем не менее	8	8
17	к тому что	1	8
18	не только в	3	8
19	не в том	3	7
20	в конце концов	6	7
21	в этой области	1	7
22	по этому поводу	2	7
23	но все же	1	7
24	заключается в том	1	7
25	в то время	6	7
26	и в этом	1	7
27	том что он	4	7
28	у нас нет	2	7
29	в письме к	12	6
30	в этом смысле	4	6
31	так и в	1	6
32	том что в	3	6
33	не только не	1	6
34	по крайней мере	1	6
35	что он не	3	5
36	то время как	2	5
37	в том же	3	5
38	нужно сказать что	1	5
39	с тем что	1	5
40	за то что	2	5
41	в том чтобы	4	5
42	как раз в	1	5
43	в свое время	6	5
44	что же касается	8	5
45	то что в	1	5
46	пушкина и его	1	5
47	после того как	2	5
48	то что он	6	4
49	дело не в	1	4
50	что в своем	1	4
51	так или иначе	3	4
52	с одной стороны	1	4
53	ничего общего с	1	4
54	мне кажется что	1	4
55	в связи с	7	4
56	но это не	2	4
57	в это время	5	4
58	тем более что	2	4
59	д д благой	1	4
60	и в том	2	4
61	что и в	2	4
62	на эту тему	2	4
63	я вовсе не	1	3
64	в той же	1	3
65	в том как	1	3
66	можно сказать что	3	3
67	говоря уже о	3	3
68	в том числе	1	3
69	более или менее	5	3
70	виде в каком	1	3
71	да и в	1	3
72	сказать что в	1	3
73	можно судить по	6	3
74	во многих случаях	1	3
75	а с другой	1	3
76	к тому же	3	3
77	на этот раз	7	3
78	но все это	1	3
79	бы то ни	2	3
80	что у него	2	3
81	так как в	1	3
82	в течение всей	5	3
83	и тем не	1	3
84	как и вообще	1	3
85	и только в	1	3
86	и не в	1	3
87	свидетельствуют о том	2	3
88	не говоря уже	3	3
89	в этом случае	1	3
90	нет ни одного	1	3
91	для него самого	1	2
92	в котором он	1	2
93	и на этот	2	2
94	у него есть	1	2
95	а не на	1	2
96	ни в каком	1	2
97	в обращении к	1	2
98	но вместе с	1	2
99	что в его	1	2
100	а то что	1	2
101	в жизни и	1	2
102	об этом не	1	2
103	а кроме того	1	2
104	вот что писал	1	2
105	что он был	1	2
106	ответ на это	2	2
107	и я не	1	2
108	если бы мы	1	2
109	и вместе с	1	2
110	точно так же	2	2
111	и в то	3	2
112	что в этом	1	2
113	то ни было	1	2
114	не может не	1	2
115	то что у	2	2
116	то что я	1	2
117	уже о том	1	2
118	а также и	2	2
119	сам по себе	1	2
120	ответить на вопрос	1	2
121	в свою очередь	2	2
122	чуть ли не	1	2
123	но он не	1	2
124	я хотел бы	1	2
125	не могли быть	1	2
126	но и здесь	1	2
127	он не только	2	2
128	тех пор пока	2	2
129	и в конце	2	2
130	в которой он	2	2
131	что он уже	1	2
132	что как раз	1	2
133	на протяжении всей	1	2
134	но только совсем	1	2
135	и то обстоятельство	2	2
136	он не может	1	2
137	во франции и	1	2
138	в настоящее время	2	2
139	до тех пор	2	2
140	никогда не был	1	2
141	хотя бы на	2	2
142	но в то	2	2
143	как мы видели	1	2
144	том что и	1	2
145	для россии и	1	2
146	на французском языке	3	2
147	видно что он	1	2
148	так что в	2	2
149	и то что	7	2
150	что в нем	1	2
151	между прочим и	2	2
152	несколько слов о	1	2
153	имеем дело с	1	2
154	может быть и	1	2
155	он никогда не	2	1
156	он был очень	1	1
157	к концу этого	1	1
158	а может быть	1	1
159	не обходилось без	1	1
160	такой факт как	1	1
161	самое большое произведение	1	1
162	в последние годы	2	1
163	в конце года	2	1
164	ни на минуту	1	1
165	нужно считаться с	1	1
166	а в году	1	1
167	в свет как	1	1
168	и больше ничего	1	1
169	и с его	1	1
170	каком случае не	1	1
171	был связан не	1	1
172	и отвечал на	1	1
173	по поводу этих	1	1
174	был склонен к	1	1
175	к одному из	1	1
176	в нем много	1	1
177	в известной степени	1	1
178	же это за	1	1
179	после всех этих	1	1
180	в ответ на	2	1
181	в те же	1	1
182	вопросе о значении	1	1
183	в самом начале	1	1
184	не только была	1	1
185	то что с	1	1
186	не говорится о	1	1
187	для своего времени	2	1
188	вовсе не был	2	1
189	в году как	1	1
190	и никогда не	1	1
191	было вполне естественно	1	1
192	его отношение к	1	1
193	уже на первом	1	1
194	как и другие	1	1
195	пушкина с его	1	1
196	которого он не	1	1
197	а в том	3	1
198	течение всей его	1	1
199	и все это	1	1
200	в этом споре	2	1
201	на котором он	1	1
202	во что бы	1	1
203	потому что она	1	1
204	потому что в	2	1
205	в подлинном смысле	1	1
206	свидетельствует о том	1	1
207	у которого мы	1	1
208	на всю жизнь	1	1
209	тогда когда мы	1	1
210	об этом у	1	1
211	исторического так и	1	1
212	но даже и	3	1
213	и то же	1	1
214	том виде в	1	1
215	его жизнь в	1	1
216	обнаруживает не только	1	1
217	уже потому что	1	1
218	в этом виде	1	1
219	в них все	1	1
220	в которой все	1	1
221	что до него	1	1
222	не верил в	1	1
223	у него были	1	1
224	т д в	1	1
225	в приведенных выше	1	1
226	в каком случае	1	1
227	то что можно	1	1
228	так например он	1	1
229	не потому что	1	1
230	годы своей жизни	1	1
231	и не могла	1	1
232	что он сам	1	1
233	того что в	1	1
234	пушкина но в	1	1
235	но и вообще	1	1
236	некоторое представление о	1	1
237	с этой стороны	1	1
238	смысле этого слова	1	1
239	об этом и	2	1
240	о вл соловьеве	11	1
241	о чем он	1	1
242	в то что	1	1
243	само по себе	1	1
244	как исторического так	1	1
245	обстановку в которой	1	1
246	также и то	3	1
247	и в своих	1	1
248	даже и в	1	1
249	не было и	1	1
250	по себе не	1	1
251	стороны а с	1	1
252	на неопределенное время	1	1
253	судить по его	1	1
254	что же это	1	1
255	в них нет	1	1
256	всей его жизни	2	1
257	ясно что у	1	1
258	но и по	1	1
259	в высшей степени	1	1
260	сказать что он	1	1
261	году он был	2	1
262	очень и очень	1	1
263	в этом свете	1	1
264	но как раз	1	1
265	очень долго и	1	1
266	как раз против	1	1
267	общий взгляд на	1	1
268	своем отношении к	1	1
269	ни у одного	1	1
270	только то что	1	1
271	так как он	2	1
272	был уже в	1	1
273	в январе года	1	1
274	жизни и деятельности	2	1
275	на минуту не	1	1
276	говорил что если	1	1
277	не только у	1	1
278	нет никаких оснований	1	1
279	к этому времени	3	1
280	и по существу	2	1
281	никогда не имела	1	1
282	не то что	2	1
283	было бы с	1	1
284	и о том	1	1
285	о которых он	1	1
286	очень мало так	1	1
287	но мне кажется	1	1
288	общего дела в	1	1
289	а также от	1	1
290	что он писал	1	1
291	что можно сказать	2	1
292	и не может	1	1
293	а иной раз	4	1
294	мы имеем дело	1	1
295	и понятно почему	1	1
296	то ни стало	1	1
297	из рукописей а	1	1
298	того что он	1	1
299	и зрелые годы	1	1
300	гораздо раньше чем	1	1
301	с и с	1	1
302	само собой разумеется	2	1
303	также и многочисленные	1	1
304	этому поводу с	1	1
305	или иначе но	2	1
306	вплоть до последних	2	1
307	другом месте и	1	1
308	вообще и в	1	1
309	и потому что	3	1
310	но вообще в	1	1
311	вместе с ним	1	1
312	одной стороны а	1	1
313	может быть помните	1	1
314	но кроме того	1	1
315	ведь и сам	1	1
316	в своих воспоминаниях	2	1
317	а в начале	1	1
318	мысль о том	1	1
319	в значительной мере	1	1
320	в своем отношении	1	1
321	и во всяком	1	1
322	в эти годы	7	1
323	в его детских	1	1
324	сразу же после	1	1
325	в истории русской	1	1
326	с каждым днем	1	1
327	в нем он	1	1
328	протяжении всей его	1	1
329	в этом же	2	1
330	иной раз даже	4	1
331	в вестнике европы	3	1
332	и не очень	1	1
333	прежде всего его	1	1
334	свой взгляд на	1	1
335	вместе со своим	1	1
336	собой разумеется что	1	1
337	и в особенности	1	1
338	со всеми его	1	1
339	не выходя за	1	1
340	и далее но	1	1
341	в году он	5	1
342	можно утверждать только	1	1
343	во время своего	1	1
344	между прочим следующее	1	1
345	но дело в	2	1
346	выходя за пределы	1	1
347	в этой борьбе	1	1
348	все это очень	1	1
349	к выводу что	1	1
350	был напечатан в	1	1
351	и той же	1	1
352	том же году	1	1
353	течение всей жизни	2	1
354	и ни в	1	1
355	но и вполне	3	1
356	вовсе не означал	1	1
357	то можно сказать	1	1
358	еще более резко	1	1
359	было время когда	1	1
360	не столько с	1	1
361	в этом письме	4	1
362	письме к жене	1	1
363	но как бы	1	1
364	не имеет никакого	2	1
365	у него с	1	1
366	а что такое	1	1
367	не приходится удивляться	1	1
368	вероятно в связи	1	1
369	ни за что	1	1
370	их в своей	1	1
371	то что тот	1	1
372	можно сказать о	1	1
373	что бы то	1	1
374	почти не имели	1	1
375	но в общем	2	1
376	но и все	1	1
377	я не согласен	2	1
378	и в частности	3	1
379	о поэзии пушкина	1	1
380	из письма к	2	1
381	них ничего не	1	1
382	одно и то	1	1
383	по поводу того	1	1
384	и в котором	1	1
385	содержит в себе	1	1
386	кроме того в	1	1
387	того чтобы стать	1	1
388	одной и той	1	1
389	и притом в	1	1
390	начиная с года	2	1
391	последние годы своей	1	1
392	по существу это	1	1
393	большую роль в	1	1
394	же время с	1	1
395	довольно хорошо и	1	1
396	дело не обходилось	1	1
397	в этих стихах	1	1
398	и без того	1	1
399	и что в	1	1
400	с ним и	1	1
401	на основании анализа	1	1
402	работ о пушкине	1	1
403	то что для	1	1
404	уважением и любовью	1	1
405	в россии он	1	1
406	и все же	2	1
407	в течение почти	1	1
408	во второй половине	3	1
409	прочим и в	1	1
410	в котором все	1	1
411	он сам называл	1	1
412	и без всяких	1	1
413	в году в	3	1
414	на исторические темы	1	1
