N	4gram	Bakhtin_Fr	TeoriaLi
1	в то же время	14	8
2	одного и того же	1	4
3	в том числе и	3	2
4	ни в коем случае	1	2
5	одно и то же	1	2
6	но в то же	6	2
7	и в то же	3	2
8	в том что в	1	1
9	не что иное как	1	1
10	так же точно и	1	1
11	с одной стороны и	1	1
12	в одном и том	1	1
13	а с другой стороны	1	1
14	одном и том же	1	1
15	дело в том что	4	1
16	но дело в том	1	1
17	в той или иной	1	1
18	в одной из своих	1	1
19	не может быть и	1	1
20	между вещами и ценностями	1	1
21	в связи с этим	3	1
22	есть в конечном счете	1	1
23	есть не что иное	1	1
