N	2gram	Vinokur_St	Myshleni
1	в том	56	195
2	в этом	37	167
3	то что	27	166
4	и в	61	162
5	том что	49	161
6	в развитии	2	151
7	таким образом	16	147
8	точки зрения	16	143
9	что в	41	119
10	не только	36	116
11	того что	14	109
12	в процессе	3	101
13	так же	7	100
14	и речи	3	96
15	потому что	13	95
16	того чтобы	15	91
17	может быть	16	89
18	с точки	10	89
19	что он	23	86
20	не может	10	81
21	как и	11	79
22	для того	15	78
23	так как	7	78
24	и не	23	78
25	только в	11	75
26	в целом	5	74
27	как мы	1	72
28	речи в	1	70
29	но и	28	70
30	заключается в	5	67
31	в его	19	67
32	сказать что	9	65
33	как бы	8	64
34	вместе с	5	62
35	и что	8	60
36	было бы	21	60
37	в качестве	7	60
38	то же	7	58
39	в основе	4	58
40	в отношении	11	55
41	между собой	1	53
42	что мы	5	53
43	в самом	14	52
44	по сравнению	1	51
45	в сущности	2	51
46	к тому	9	49
47	что они	9	48
48	тем что	6	48
49	мы можем	1	48
50	тогда когда	1	47
51	на основе	1	47
52	мы не	3	47
53	сравнению с	1	46
54	если бы	11	46
55	по отношению	3	45
56	но не	5	45
57	с другой	11	45
58	с тем	3	43
59	же как	5	43
60	тем самым	2	43
61	тому что	8	42
62	как это	6	42
63	отношению к	3	42
64	не является	5	41
65	о том	30	40
66	по своей	2	40
67	одной стороны	2	40
68	никогда не	7	39
69	с одной	3	39
70	так и	15	39
71	в области	16	38
72	и к	5	37
73	вопрос о	9	37
74	если мы	1	37
75	не в	15	37
76	в этой	13	37
77	с самого	4	36
78	в своем	8	36
79	все эти	7	36
80	самого начала	3	36
81	как в	15	36
82	а не	19	36
83	и его	11	36
84	того же	4	35
85	можно было	14	35
86	в себе	3	35
87	в которой	13	35
88	он не	11	35
89	для себя	3	35
90	связи с	3	34
91	и как	2	34
92	прежде всего	11	33
93	при этом	4	33
94	по себе	3	33
95	именно в	8	32
96	и на	7	32
97	той же	5	32
98	что оно	4	32
99	нас к	2	32
100	по своему	2	32
101	что и	8	32
102	и тем	3	32
103	но в	16	32
104	все же	12	31
105	из того	2	31
106	и то	6	31
107	на то	5	30
108	этом отношении	13	30
109	этого слова	2	29
110	между тем	7	29
111	как известно	2	29
112	могут быть	5	29
113	показывает что	1	29
114	от того	1	29
115	с этим	6	28
116	что с	4	28
117	самом деле	14	28
118	с этой	5	27
119	в результате	5	27
120	другой стороны	9	27
121	этом случае	3	27
122	в то	10	27
123	и с	6	27
124	в своей	12	27
125	связь между	1	27
126	что все	3	27
127	перед нами	1	27
128	в их	3	26
129	что это	5	26
130	для него	10	26
131	мысли в	1	26
132	в частности	6	26
133	в чем	4	25
134	что она	5	25
135	еще не	4	25
136	уже в	3	25
137	все это	13	25
138	можно сказать	2	25
139	только не	2	25
140	это не	8	25
141	тот же	2	24
142	зависимости от	2	24
143	целый ряд	3	24
144	на этот	5	24
145	того как	8	24
146	в какой	4	24
147	так что	8	24
148	что эта	5	24
149	в нем	9	24
150	в слове	5	24
151	оба эти	4	24
152	в высшей	1	24
153	этот вопрос	6	23
154	бы в	2	23
155	ни в	5	23
156	как он	3	23
157	слова в	1	23
158	во всяком	8	22
159	не могут	2	22
160	то время	2	22
161	смысле этого	2	22
162	столь же	5	22
163	в известном	3	22
164	в зависимости	2	22
165	отношения между	1	22
166	в школе	1	22
167	высшей степени	1	22
168	между ними	1	21
169	к этому	4	21
170	как говорит	3	21
171	на основании	2	21
172	представление о	5	21
173	в нашем	1	21
174	его в	4	21
175	в свете	1	21
176	показать что	1	21
177	там где	6	21
178	и все	3	21
179	не имеет	5	21
180	в истории	5	21
181	в сознании	2	21
182	ее в	2	21
183	и более	4	21
184	отношений между	3	21
185	отношение к	3	21
186	в пользу	5	20
187	в виду	6	20
188	не менее	8	20
189	в котором	11	20
190	в другом	5	20
191	к которому	4	20
192	из них	11	20
193	время как	2	20
194	из этих	7	20
195	на вопрос	7	20
196	в такой	2	20
197	и других	1	20
198	а в	18	20
199	говорит что	4	20
200	едва ли	1	20
201	как раз	10	20
202	к выводу	1	20
203	на этом	1	20
204	в наших	2	20
205	по существу	3	20
206	и их	3	20
207	во всех	8	19
208	а с	6	19
209	и по	6	19
210	один из	1	19
211	но если	5	19
212	независимо от	1	19
213	в данном	16	19
214	в той	9	19
215	как на	10	19
216	из которых	1	19
217	во всей	1	18
218	но это	9	18
219	в отличие	1	18
220	и другое	1	18
221	отличие от	1	18
222	этом смысле	2	18
223	всяком случае	8	18
224	чем в	3	18
225	в этих	5	17
226	в своих	2	17
227	их в	2	17
228	казалось бы	1	17
229	в одном	7	17
230	я не	13	17
231	сих пор	12	17
232	и той	1	17
233	на деле	1	17
234	до сих	13	17
235	это положение	2	17
236	тем же	3	17
237	до конца	4	17
238	и для	4	17
239	для этого	2	17
240	все что	1	17
241	у него	3	17
242	ту же	1	17
243	и от	2	17
244	и есть	1	17
245	то и	1	17
246	совпадает с	3	17
247	мы находим	4	17
248	и только	3	17
249	и другие	3	16
250	раньше чем	4	16
251	в которых	5	16
252	языка и	4	16
253	значение в	1	16
254	мы имеем	2	16
255	вовсе не	24	16
256	к одному	1	16
257	такой же	6	16
258	выводу что	1	16
259	которые не	3	16
260	и даже	8	16
261	по поводу	13	16
262	то в	3	16
263	мысль что	1	16
264	для нас	7	16
265	которые в	2	16
266	является в	1	15
267	в них	2	15
268	является то	1	15
269	что при	3	15
270	от этого	2	15
271	и это	4	15
272	и является	1	15
273	с несомненностью	1	15
274	со всеми	2	15
275	этого процесса	1	15
276	данном случае	7	15
277	на все	2	15
278	тем более	4	15
279	хотя бы	8	15
280	в начале	5	15
281	те же	1	15
282	отличается от	2	15
283	но как	1	15
284	известном смысле	1	15
285	значит что	3	15
286	представить себе	1	15
287	на всем	1	15
288	том же	3	15
289	ничего не	6	15
290	вообще не	5	15
291	как она	1	15
292	является не	4	15
293	когда он	1	15
294	по этому	5	15
295	но что	2	14
296	одно и	1	14
297	точка зрения	1	14
298	что у	8	14
299	очевидно что	1	14
300	что для	4	14
301	точку зрения	3	14
302	из этого	1	14
303	первую очередь	2	14
304	и здесь	2	14
305	связанные с	3	14
306	со всей	1	14
307	одним из	2	14
308	одной из	4	14
309	он должен	2	14
310	этих двух	4	14
311	от друга	1	14
312	о чем	4	14
313	в первую	2	14
314	который в	1	14
315	когда мы	1	14
316	друг от	1	14
317	значение для	2	14
318	и во	3	14
319	с его	3	14
320	же мере	1	14
321	к которым	1	14
322	последнее время	1	14
323	об этом	9	14
324	что эти	1	14
325	и тот	1	13
326	если в	2	13
327	смысле слова	1	13
328	к его	2	13
329	они не	2	13
330	но на	2	13
331	в виде	3	13
332	значения и	1	13
333	другом месте	2	13
334	на его	2	13
335	она не	3	13
336	точно так	2	13
337	но все	9	13
338	с ней	1	13
339	лишь в	3	13
340	в меру	1	13
341	факт что	6	13
342	стороны и	1	13
343	с которыми	3	12
344	даже в	5	12
345	а затем	1	12
346	только на	1	12
347	том чтобы	1	12
348	согласно которому	1	12
349	но он	5	12
350	ясно что	10	12
351	что слово	1	12
352	полагает что	1	12
353	должны были	1	12
354	за пределы	2	12
355	тем и	1	12
356	к другому	1	12
357	с их	2	12
358	в одной	3	12
359	и потому	3	12
360	свое выражение	2	12
361	и обратно	1	12
362	еще более	5	12
363	в первом	2	12
364	которые мы	1	12
365	к нему	2	12
366	от его	2	12
367	несмотря на	4	12
368	в ее	6	12
369	тем не	4	12
370	тому же	2	12
371	выражение в	2	12
372	но только	2	12
373	были бы	2	12
374	которых мы	1	12
375	никак не	1	12
376	мог бы	1	12
377	с но	1	12
378	это и	5	12
379	только к	2	12
380	в ней	9	12
381	входит в	1	12
382	они являются	1	11
383	не столько	6	11
384	с собой	1	11
385	не могли	1	11
386	в других	2	11
387	на котором	1	11
388	иначе говоря	1	11
389	на том	1	11
390	отношения к	2	11
391	обстоятельство что	4	11
392	не означает	1	11
393	и при	1	11
394	эти особенности	1	11
395	в каком	4	11
396	ответ на	4	11
397	на самом	8	11
398	раз в	4	11
399	есть в	2	11
400	не по	5	11
401	идет о	3	11
402	больше того	1	11
403	что на	3	11
404	остановиться на	1	11
405	одно из	3	11
406	например в	8	11
407	что этот	3	11
408	вот почему	1	11
409	и другой	1	11
410	гораздо более	5	11
411	не знает	2	11
412	в конце	5	11
413	а только	1	11
414	он в	1	11
415	в один	1	11
416	то обстоятельство	3	11
417	ничего общего	3	11
418	только по	1	11
419	слово в	1	11
420	или менее	2	11
421	в пределах	1	11
422	нуждается в	2	11
423	каким образом	1	10
424	является для	1	10
425	в основу	5	10
426	что именно	2	10
427	внимание на	5	10
428	бы что	3	10
429	всякий раз	2	10
430	но для	3	10
431	о которых	3	10
432	что как	3	10
433	что такое	2	10
434	в случае	2	10
435	в другой	1	10
436	тот факт	5	10
437	мы называем	1	10
438	у нас	12	10
439	что является	1	10
440	числе и	2	10
441	или иной	1	10
442	из всех	1	10
443	за собой	1	10
444	речь идет	6	10
445	но этот	1	10
446	что его	1	10
447	и у	2	10
448	не иначе	1	10
449	вопроса о	3	10
450	вместо того	1	10
451	во второй	10	10
452	представляют собой	1	10
453	если не	4	10
454	вытекает из	2	10
455	не могло	4	10
456	и слово	1	10
457	том числе	3	10
458	чем он	3	10
459	с той	3	10
460	виде в	2	10
461	потребность в	1	10
462	по пути	1	9
463	и до	2	9
464	связано с	1	9
465	для всей	1	9
466	к этим	1	9
467	мы вправе	1	9
468	как по	1	9
469	той или	1	9
470	более или	2	9
471	должны быть	4	9
472	в тех	5	9
473	этого понятия	1	9
474	оно не	3	9
475	что же	6	9
476	может не	2	9
477	естественно что	2	9
478	но эта	1	9
479	этого вопроса	3	9
480	также и	10	9
481	а по	1	9
482	не с	1	9
483	к изучению	1	9
484	в плане	1	9
485	место в	2	9
486	ту мысль	1	9
487	в момент	1	9
488	к этой	1	9
489	он имеет	1	9
490	больше чем	3	9
491	говорить о	3	9
492	то как	1	9
493	не то	1	9
494	и он	2	9
495	и притом	1	9
496	в первой	12	9
497	мы в	1	9
498	мы говорим	1	9
499	еще в	3	9
