N	3gram	Nazirov_Tv	Vvedenie
1	и т д	10	39
2	в том что	8	15
3	о том что	6	13
4	не может быть	2	10
5	тем не менее	2	9
6	до сих пор	1	7
7	в применении к	1	6
8	в самом деле	2	6
9	в то же	19	6
10	то же время	18	6
11	и т п	4	5
12	на этот вопрос	2	5
13	не что иное	1	5
14	что иное как	1	5
15	с другой стороны	2	5
16	во всяком случае	2	5
17	и в том	1	4
18	по отношению к	3	4
19	по крайней мере	4	4
20	в прямом смысле	1	4
21	можно было бы	1	4
22	не только в	2	4
23	в данном случае	2	4
24	в отличие от	2	4
25	с одной стороны	1	4
26	и в этом	1	4
27	и тем не	1	3
28	той или иной	1	3
29	вместе с тем	1	3
30	заключается в том	1	3
31	в чем же	1	3
32	и в самом	1	3
33	можно сказать что	2	3
34	именно в этом	1	3
35	дело в том	4	3
36	но в то	5	3
37	то же самое	1	3
38	что может быть	1	3
39	в известном смысле	2	3
40	в целом ряде	1	2
41	на этой почве	1	2
42	не может служить	1	2
43	в свою очередь	2	2
44	и потому что	1	2
45	хотя бы и	1	2
46	что же касается	1	2
47	может быть в	1	2
48	в начале xix	1	2
49	в известной мере	2	2
50	в первом из	1	2
51	т д в	1	2
52	т д все	1	2
53	это еще не	1	2
54	в конце концов	1	2
55	ответ на этот	1	2
56	могут быть названы	1	2
57	точно так же	3	2
58	в соответствии с	7	2
59	и того же	1	2
60	не могут быть	2	2
61	в связи с	2	2
62	влечет за собой	2	2
63	в другом месте	1	2
64	одного и того	1	2
65	по самой своей	1	2
66	собой не что	1	1
67	соответствии с этим	1	1
68	в том же	3	1
69	может быть назван	2	1
70	что он вовсе	1	1
71	во второй части	1	1
72	человека в его	1	1
73	дело не только	1	1
74	во главе с	2	1
75	называет себя в	1	1
76	что в одном	1	1
77	же ясно что	1	1
78	должен был знать	1	1
79	само собой разумеющимся	1	1
80	не мог не	1	1
81	в том например	1	1
82	и в дальнейшем	1	1
83	на самом деле	2	1
84	то или иное	1	1
85	мы говорим о	1	1
86	но ведь в	1	1
87	в более широком	1	1
88	дело не в	1	1
89	все же это	1	1
90	вывода к которому	1	1
91	как один из	1	1
92	в каждом из	1	1
93	он вовсе не	1	1
94	в том числе	1	1
95	т д и	1	1
96	но в принципе	1	1
97	не значит что	2	1
98	говорить о том	1	1
99	мысли и чувства	1	1
100	у него в	1	1
101	в отказе от	1	1
102	того или иного	1	1
103	составляет один из	1	1
104	в частности в	1	1
105	больших романов достоевского	1	1
106	в таком случае	2	1
107	не только с	1	1
108	нужно сказать что	1	1
109	идет уже не	1	1
110	речь идет уже	1	1
111	именно потому что	1	1
112	но уже в	1	1
113	в настоящее время	1	1
114	в стороне все	1	1
115	в этом пункте	1	1
116	совершенно иного рода	1	1
117	это не просто	1	1
118	уже в первом	1	1
119	так же как	1	1
120	имеем в виду	1	1
121	только потому что	1	1
122	и прежде всего	1	1
123	д все это	1	1
124	нет сомнений что	2	1
125	мы имеем в	1	1
126	том что в	3	1
127	по себе не	1	1
128	все это у	1	1
129	с самого начала	3	1
130	то ни было	1	1
131	та ни другая	1	1
132	не может не	1	1
133	и как раз	1	1
134	был знать все	1	1
135	так как и	1	1
136	заключает в себе	1	1
137	имел в виду	1	1
138	ни та ни	1	1
139	к тому что	1	1
140	самое же существенное	1	1
141	только то что	1	1
142	в предисловии к	1	1
143	бы то ни	1	1
144	то все это	1	1
145	ту или иную	1	1
146	не то что	1	1
147	это прежде всего	3	1
148	то что в	1	1
149	друг для друга	1	1
150	как уже говорилось	1	1
