N	4gram	Potebnia_M	slovoVRo
1	в то же время	8	18
2	как мы уже сказали	1	4
3	с одной стороны и	1	4
4	в большей или меньшей	1	4
5	одно и то же	7	3
6	и в этом случае	1	2
7	и т д можно	1	2
8	и т п и	1	2
9	и то же слово	2	2
10	и не может быть	1	2
11	в то время как	3	2
12	то же время и	1	2
13	и т п но	1	2
14	как одно и то	1	1
15	именно в том что	1	1
16	хотя далеко не всегда	1	1
17	так как одно и	1	1
18	и связанное с этим	1	1
19	в том случае если	1	1
20	в том что она	1	1
21	языка то есть от	1	1
22	на каждом шагу в	1	1
23	можно лишь тогда когда	1	1
24	дело в том что	1	1
25	а в том что	1	1
26	лишь тогда когда он	1	1
27	нет и не может	1	1
28	одной и той же	4	1
29	как бы она ни	1	1
30	он как мы уже	1	1
31	заключается именно в том	1	1
32	в том что оно	2	1
33	бы она ни была	1	1
34	и там где нет	1	1
35	и т п язык	1	1
36	в том что он	2	1
37	как бы ни был	1	1
38	все более и более	1	1
39	бы то ни было	1	1
40	не только по своим	1	1
41	друг с другом и	1	1
42	тем не менее в	1	1
