N	4gram	Losev_Prob	Tvorches
1	в то же время	1	24
2	в преступлении и наказании	1	16
3	но в то же	2	6
4	дело в том что	4	4
5	легенда о великом инквизиторе	1	3
6	в том что в	1	3
7	в романах достоевского в	1	2
8	в том числе и	1	2
9	это не значит что	1	2
10	в то же самое	1	1
11	не что иное как	3	1
12	в каждом из нас	1	1
13	не значит что он	1	1
14	в том смысле что	1	1
15	а с другой стороны	3	1
16	все более и более	1	1
17	каких бы то ни	1	1
18	то по крайней мере	1	1
19	ни в чем не	2	1
20	а вместе с тем	1	1
21	прошлого настоящего и будущего	1	1
22	в войне и мире	1	1
23	приходит к мысли о	1	1
24	что у него есть	1	1
25	если не считать общего	1	1
26	бы то ни было	2	1
27	то же самое время	1	1
28	не человеком а каким-то	1	1
29	и в конце концов	1	1
30	и тем не менее	1	1
31	не приходит в голову	1	1
32	в подавляющем большинстве случаев	1	1
