N	2gram	Trubetskoy	IolandNe
1	и с	10	3
2	что в	9	2
3	он не	4	2
4	ничего не	1	2
5	и не	8	2
6	в этом	15	2
7	все эти	6	1
8	для того	5	1
9	а в	4	1
10	и о	3	1
11	к нам	1	1
12	это было	1	1
13	у всех	2	1
14	для него	3	1
15	вплоть до	2	1
16	тем что	1	1
17	только что	2	1
18	от нее	1	1
19	когда его	1	1
20	того же	6	1
21	нам в	1	1
22	не так	1	1
23	первую очередь	1	1
24	жизни и	2	1
25	с другой	8	1
26	но когда	2	1
27	значительной мере	2	1
28	в эту	2	1
29	другой стороны	1	1
30	себя в	1	1
31	могло бы	1	1
32	после смерти	10	1
33	в первую	1	1
34	как только	1	1
35	если бы	3	1
36	отношению к	3	1
37	по существу	2	1
38	того что	3	1
39	них не	2	1
40	а с	7	1
41	только для	2	1
42	и тот	1	1
43	а также	2	1
44	так и	6	1
45	ходить в	1	1
46	художественном творчестве	1	1
47	в значительной	3	1
48	ничего в	1	1
49	от этого	1	1
50	а отсюда	1	1
51	того чтобы	5	1
52	бы в	1	1
53	этим и	1	1
54	а по	1	1
55	и в	26	1
56	это был	1	1
57	никогда не	5	1
58	все это	6	1
59	по отношению	1	1
60	со всеми	2	1
61	как о	3	1
62	в них	2	1
