N	2gram	Bakhtin_Fr	EvropaiE
1	и в	105	37
2	в отношении	7	32
3	в пределах	3	25
4	точки зрения	10	23
5	что в	4	21
6	не только	24	18
7	с точки	6	17
8	в то	5	16
9	то же	6	15
10	хотя бы	2	15
11	отношении к	1	15
12	в качестве	1	14
13	и не	34	14
14	но и	20	14
15	же время	5	14
16	в своем	11	14
17	но в	16	14
18	в этом	22	12
19	в том	17	11
20	в их	6	11
21	в области	10	11
22	так и	16	10
23	в себе	7	9
24	западной европы	1	9
25	прежде всего	26	9
26	только в	16	9
27	в смысле	2	9
28	все более	1	9
29	так же	2	9
30	не может	9	9
31	с одной	2	8
32	в ее	5	8
33	в своей	8	8
34	одной стороны	2	8
35	между тем	5	8
36	было бы	4	8
37	думать что	2	8
38	к тому	3	8
39	так как	11	7
40	того что	3	7
41	как и	15	7
42	между прочим	2	7
43	по своему	9	7
44	также и	3	7
45	с другой	3	7
46	нам кажется	2	7
47	то есть	71	6
48	с этой	1	6
49	и даже	10	6
50	и на	25	6
51	том что	9	6
52	вовсе не	25	6
53	во всех	13	6
54	может быть	11	6
55	того чтобы	3	6
56	для того	2	6
57	то что	7	6
58	как бы	33	6
59	на то	2	6
60	в той	5	5
61	как нам	1	5
62	этих областей	1	5
63	тем самым	1	5
64	в виде	1	5
65	не в	4	5
66	но не	7	5
67	от этого	1	5
68	со стороны	1	5
69	и потому	14	5
70	которую мы	1	5
71	в течение	3	5
72	в частности	6	5
73	как мы	12	5
74	одной из	3	5
75	и по	3	5
76	в самом	7	4
77	мы не	1	4
78	даже в	6	4
79	того или	1	4
80	для нас	5	4
81	не на	2	4
82	именно в	6	4
83	в процессе	2	4
84	по себе	1	4
85	культуры в	4	4
86	той или	5	4
87	но даже	2	4
88	лежат в	1	4
89	или иного	1	4
90	как это	1	4
91	несмотря на	5	4
92	к ней	2	4
93	в ней	7	4
94	сказать что	12	4
95	можно сказать	4	4
96	во многих	2	4
97	или иной	5	4
98	мира в	3	4
99	независимо от	1	4
100	и к	7	3
101	говорит о	2	3
102	применении к	3	3
103	но на	3	3
104	приближается к	1	3
105	можно ли	1	3
106	в применении	3	3
107	из всех	3	3
108	этом отношении	5	3
109	ее в	2	3
110	что и	2	3
111	европейской культуры	3	3
112	в результате	1	3
113	мы можем	2	3
114	не является	4	3
115	можно было	4	3
116	не более	1	3
117	дело в	2	3
118	тем что	5	3
119	в таком	2	3
120	вообще не	1	3
121	в деле	1	3
122	большинстве случаев	2	3
123	как в	6	3
124	жизни в	8	3
125	мира и	4	3
126	и со	3	3
127	в которых	1	3
128	по своим	1	3
129	в известном	1	3
130	с другом	2	3
131	на своем	1	3
132	бы ни	2	3
133	в них	13	3
134	во всяком	2	3
135	тем в	1	3
136	ни на	3	3
137	во все	2	3
138	по нашему	1	3
139	и народов	1	3
140	связано с	2	3
141	потому что	6	3
142	время в	3	3
143	во второй	2	3
144	и для	3	3
145	новое слово	1	3
146	отметить что	2	3
147	себе в	2	3
148	известной степени	2	3
149	к ним	1	3
150	как на	4	3
151	с тем	1	3
152	известном смысле	1	3
153	в данной	1	3
154	это так	1	3
155	и от	3	3
156	место в	4	3
157	о том	5	3
158	в общем	4	3
159	и прежде	4	3
160	от них	1	3
161	мы видели	3	3
162	там где	3	3
163	и только	1	3
164	друг с	2	3
