N	3gram	Bakhtin_Pr	VelikijI
1	к тому что	1	3
2	в том что	10	2
3	в нем нет	1	2
4	том что он	4	2
5	так как не	2	2
6	великого инквизитора и	1	2
7	то что я	2	2
8	по этому пути	1	2
9	как бы и	1	2
10	того что он	1	1
11	так и в	1	1
12	менее всего можно	1	1
13	во что бы	1	1
14	что бы то	1	1
15	для него не	2	1
16	в этих словах	1	1
17	нет этих черт	1	1
18	в конце концов	7	1
19	в нем но	1	1
20	но прежде всего	1	1
21	и нет этих	1	1
22	и во всяком	1	1
23	с ним вот	2	1
24	мы видим что	2	1
25	и в форме	1	1
26	сознании и в	1	1
27	есть то что	1	1
28	ивана карамазова и	5	1
29	и никогда не	1	1
30	по сравнению с	2	1
31	я ничего не	1	1
32	и что в	1	1
33	по крайней мере	3	1
34	в человеке и	1	1
35	не могут быть	1	1
36	то и другое	1	1
37	и великого инквизитора	1	1
38	что все в	1	1
39	в платоновском смысле	1	1
40	хотя бы и	3	1
41	смысл жизни и	1	1
42	в жизни и	1	1
43	в великом инквизиторе	1	1
44	как бы в	3	1
45	все это как	1	1
46	но все же	3	1
47	из всего что	1	1
48	возможны лишь в	1	1
49	с другой стороны	3	1
50	хоть и не	1	1
51	в известном смысле	1	1
52	проявляется и в	1	1
53	его личности и	1	1
54	ее и в	1	1
55	бы то ни	3	1
56	раз и навсегда	2	1
57	его и не	2	1
58	и есть то	1	1
59	и в этом	8	1
60	то ни стало	1	1
