N	4gram	Berdyaev_M	KulturaY
1	и в самом деле	1	10
2	той мере в какой	1	7
3	в той мере в	1	7
4	в том случае если	1	3
5	и вместе с тем	4	3
6	есть вместе с тем	1	3
7	в том что он	1	3
8	в том смысле что	1	2
9	не что иное как	4	2
10	одной и той же	2	2
11	никогда не может быть	2	1
12	потому и возможно что	1	1
13	когда мы говорим что	1	1
14	все более и более	1	1
15	не сам по себе	1	1
16	только потому и возможно	1	1
17	и во многих других	1	1
18	можно ли сказать что	1	1
19	и не может быть	1	1
20	с разных точек зрения	1	1
21	в то время как	2	1
22	зачем живет такой человек?	1	1
23	а может быть и	1	1
24	о том что в	1	1
25	не потому что она	1	1
26	мы имеем в виду	1	1
27	во всей нашей истории	1	1
28	в конце концов этот	1	1
29	и в той мере	1	1
30	и это тем более	1	1
31	для себя и для	1	1
32	в начале xix века	1	1
33	не может уже быть	1	1
34	на том основании что	2	1
35	есть не что иное	3	1
