N	4gram	Potebnia_M	formyVre
1	в то же время	8	18
2	одного и того же	2	9
3	как мы уже сказали	1	6
4	с одной стороны и	1	5
5	одно и то же	7	5
6	в то время как	3	4
7	до сих пор еще	1	3
8	и т п но	1	3
9	бы он ни был	1	3
10	те же что и	1	3
11	и в этом случае	1	2
12	все более и более	1	2
13	дело в том что	1	2
14	одна и та же	2	2
15	бы она ни была	1	2
16	друг с другом и	1	2
17	здесь как и в	1	2
18	именно в том что	1	1
19	и может быть только	1	1
20	здесь не только в	1	1
21	вместе с тем и	3	1
22	в то время когда	2	1
23	одной и той же	4	1
24	он в то же	1	1
25	только в том что	3	1
26	не только в том	1	1
27	и человеческой жизни не	1	1
28	или что то же	1	1
29	же что и при	1	1
30	сводится к тому что	1	1
31	в том что он	2	1
32	он как мы уже	1	1
33	для него самого и	1	1
34	но вместе с тем	1	1
35	в которой нет ничего	1	1
36	из сказанного ясно что	1	1
