N	4gram	Losev_Vlad	Tvorches
1	в то же время	7	24
2	и в то же	3	6
3	но в то же	2	6
4	дело в том что	7	4
5	в том что в	2	3
6	и не может быть	1	3
7	в тот же день	1	2
8	письма т ii с	5	2
9	нет и не может	1	2
10	в том же году	1	2
11	на самом же деле	1	1
12	не что иное как	2	1
13	а с другой стороны	1	1
14	ни в чем не	1	1
15	в мае года он	1	1
16	по возвращении в петербург	1	1
17	начала и до конца	2	1
18	то же время с	1	1
19	и т д в	1	1
20	что у него есть	1	1
21	бы то ни было	1	1
22	и в конце концов	1	1
23	и тем не менее	1	1
24	письма к а н	1	1
25	хотя и не в	1	1
26	не содержит в себе	1	1
