N	4gram	Bakhtin_Fr	KulturaY
1	в то же время	12	6
2	одного и того же	1	4
3	до сих пор еще	3	4
4	заключается в том что	1	4
5	и то обстоятельство что	1	3
6	большей или меньшей степени	1	3
7	в большей или меньшей	1	3
8	только после того как	1	2
9	в той или иной	1	2
10	не что иное как	1	2
11	одним и тем же	1	2
12	в том и в	1	1
13	том и в другом	1	1
14	все дело в том	1	1
15	здесь как мы видим	1	1
16	том или ином виде	2	1
17	и с другой стороны	1	1
18	потому что он есть	1	1
19	дело в том что	2	1
20	по существу она не	1	1
21	с другой стороны в	1	1
22	с точки зрения их	1	1
23	о том что он	1	1
24	о том что в	1	1
25	в плоть и кровь	1	1
26	и в другом случае	1	1
27	есть и еще один	1	1
28	в одном из своих	1	1
29	в свое время еще	1	1
30	то мы увидим что	1	1
31	в том или ином	2	1
32	мы имеем в виду	2	1
33	и в том и	1	1
34	в большем или меньшем	1	1
35	однако не в этом	1	1
36	который в своем учении	1	1
37	и целый ряд других	1	1
38	на начало новой эпохи	1	1
39	и в этом отношении	1	1
40	есть не что иное	1	1
