N	4gram	Medvedev_F	TeoriaLi
1	в то же время	13	8
2	мы имеем в виду	1	3
3	того или иного жанра	1	3
4	в том числе и	1	2
5	с этой точки зрения	1	2
6	бы то ни было	1	2
7	но в то же	3	2
8	и в то же	4	2
9	в их отношении к	1	1
10	каком мы говорим о	1	1
11	той мере в какой	1	1
12	в более или менее	1	1
13	иметь в виду что	1	1
14	не что иное как	1	1
15	в той мере в	1	1
16	химическом соединении с художественной	2	1
17	соединении с художественной идеологемой	1	1
18	с одной стороны и	4	1
19	в этом смысле можно	1	1
20	языка не может быть	1	1
21	произведения искусства в его	1	1
22	теоретической и исторической поэтики	1	1
23	в том случае если	1	1
24	этом смысле можно говорить	1	1
25	в каком мы говорим	1	1
26	в химическом соединении с	2	1
27	и глубже чем это	1	1
28	смысле можно говорить о	1	1
29	не может быть и	2	1
30	в отдельности и в	1	1
31	в связи с этим	4	1
32	в том или ином	1	1
33	есть не что иное	1	1
