N	4gram	Tiupa_Anal	Vladivir
1	дело в том что	3	11
2	в то же время	7	9
3	не что иное как	1	4
4	не говоря уже о	1	4
5	что же касается самого	1	3
6	в том что он	2	3
7	заключается в том что	1	3
8	обращает на себя внимание	1	2
9	и в том что	1	2
10	но дело в том	1	2
11	один и тот же	1	2
12	в этом отношении он	1	2
13	есть не что иное	1	2
14	о своей любви к	1	1
15	в этом же году	1	1
16	состоит в том что	1	1
17	и в данном случае	1	1
18	в известном смысле и	1	1
19	что и в данном	1	1
20	в дальнейшем мы будем	1	1
21	а в том что	1	1
22	одной и той же	2	1
23	ни к чему не	1	1
24	которое как раз и	1	1
25	лишь в том что	1	1
26	в такой же мере	1	1
27	сам бог не есть	1	1
28	приходит к выводу что	1	1
29	по крайней мере в	2	1
30	том что он не	1	1
31	состояла в том чтобы	1	1
32	что несмотря на свою	1	1
33	тем не менее не	1	1
34	он так и не	1	1
35	мы имеем дело с	1	1
36	сообщение о том что	1	1
37	это было не так	1	1
38	но уже в новом	1	1
39	в отставку в году	1	1
40	могут и должны быть	1	1
41	мы и будем рассматривать	1	1
42	хотя и не всегда	1	1
43	не в том что	1	1
44	и то что с	1	1
