N	2gram	Voloshinov	Russkaja
1	не может	4	22
2	и не	1	19
3	и в	3	14
4	то же	1	11
5	точки зрения	1	11
6	но и	1	10
7	же время	1	10
8	в то	1	10
9	не только	1	9
10	с точки	1	9
11	может быть	1	9
12	к тому	1	7
13	если в	2	6
14	для него	1	6
15	если бы	1	6
16	и на	1	5
17	в его	1	4
18	может не	1	3
19	несмотря на	1	3
20	связи с	1	3
21	себя от	1	3
22	из этих	1	3
23	и должно	1	2
24	тому что	1	2
25	в ней	1	2
26	а не	1	2
27	сил которые	1	1
28	один из	2	1
29	можно назвать	1	1
30	ничего кроме	1	1
31	бы на	1	1
32	с другими	1	1
33	ставить в	1	1
34	деятельности в	1	1
35	чужд и	1	1
36	не менее	1	1
37	по своим	1	1
38	бы в	1	1
39	права и	1	1
40	тех же	1	1
41	может спасти	1	1
42	ни один	1	1
43	нет и	1	1
44	удовлетворить не	1	1
45	и все	1	1
46	именно с	1	1
47	это направление	1	1
48	может и	1	1
49	событий и	1	1
