N	2gram	Kanaev_Sov	Tragedij
1	и в	7	18
2	в этом	7	9
3	не только	4	8
4	и не	6	7
5	может быть	12	7
6	как бы	4	7
7	он сам	1	7
8	у него	2	6
9	же время	1	6
10	но в	3	6
11	и его	1	6
12	это не	4	5
13	несмотря на	1	5
14	что это	2	5
15	все же	3	5
16	в дальнейшем	4	5
17	то же	3	5
18	как и	6	5
19	не может	17	5
20	в то	1	5
21	что в	2	4
22	в себе	3	4
23	и даже	2	4
24	все это	3	4
25	прежде всего	5	4
26	и все	3	4
27	еще не	3	4
28	том что	1	4
29	и что	2	4
30	так же	1	4
31	в этой	3	4
32	в нем	3	4
33	но это	1	4
34	в целом	4	4
35	что с	1	3
36	один из	1	3
37	должно быть	1	3
38	уже в	3	3
39	в его	2	3
40	в своем	1	3
41	с ним	1	3
42	в конце	3	3
43	в мире	1	3
44	при этом	3	3
45	с ее	1	3
46	отнюдь не	3	3
47	все эти	5	3
48	к нему	1	3
49	о жизни	2	2
50	в самом	2	2
51	раз он	1	2
52	еще раз	1	2
53	данном случае	1	2
54	в том	4	2
55	это уже	1	2
56	по мнению	2	2
57	как у	1	2
58	ни в	1	2
59	к области	1	2
60	что все	2	2
61	не могут	2	2
62	в виде	2	2
63	его в	1	2
64	не в	3	2
65	в первом	3	2
66	но все	2	2
67	но эта	1	2
68	еще в	1	2
69	в таком	2	2
70	вопрос о	4	2
71	состоит из	3	2
72	дома и	1	2
73	и это	1	2
74	нет в	1	2
75	уже не	2	2
76	о том	1	2
77	не имеет	1	2
78	в данном	1	2
79	только к	1	2
80	отличие от	2	2
81	раз и	1	2
82	то и	2	2
83	он не	1	2
84	но они	1	2
85	в одном	3	2
86	и до	1	2
87	в отличие	2	2
88	собой но	1	2
89	что она	3	2
90	одна из	3	2
91	с его	1	2
92	не случайно	1	2
93	только о	1	2
94	никогда не	1	2
95	ничего не	6	2
96	с помощью	4	1
97	несколько времени	1	1
98	этом случае	1	1
99	могут быть	2	1
100	только не	1	1
101	в окончательном	1	1
102	мы видим	2	1
103	таким образом	11	1
104	опирается на	1	1
105	в целый	1	1
106	первом же	1	1
107	и эту	1	1
108	почти не	1	1
109	с одной	2	1
110	его с	1	1
111	но еще	1	1
112	что уже	1	1
113	и при	1	1
114	сколько угодно	1	1
115	и должно	1	1
116	она всегда	1	1
117	что эта	1	1
118	подчеркнуть что	1	1
119	что при	2	1
120	тем не	2	1
121	ее конец	1	1
122	а затем	1	1
123	для нас	3	1
124	и всегда	1	1
125	каким же	1	1
126	как он	3	1
127	xix века	1	1
128	в результате	6	1
129	рот и	2	1
130	что наш	1	1
131	только в	1	1
132	позиции в	1	1
133	по себе	1	1
134	а на	2	1
135	не было	1	1
136	в духе	1	1
137	ли мы	3	1
138	этого не	1	1
139	наших дней	1	1
140	необходимо отметить	2	1
141	скрытом виде	1	1
142	и чисто	1	1
143	как его	1	1
144	развития в	2	1
145	xviii века	1	1
146	именно в	1	1
147	представление о	1	1
148	обоих случаях	1	1
149	при которой	1	1
150	в связи	1	1
151	с жизнью	1	1
152	рядом с	1	1
153	вместе с	4	1
154	на этом	2	1
155	при таком	3	1
156	всю эту	1	1
157	жизни в	1	1
158	роль в	2	1
159	не менее	2	1
160	так сказать	2	1
161	им это	1	1
162	и могут	1	1
163	в такой	1	1
164	между собой	3	1
165	сводится только	1	1
166	именно эта	1	1
167	когда в	1	1
168	но уже	1	1
169	играть в	1	1
170	ли это	1	1
171	но мы	3	1
172	а из	1	1
173	на них	1	1
174	во всех	1	1
175	к одному	1	1
176	во всяком	2	1
177	и потому	3	1
178	это и	1	1
179	совершенно не	2	1
180	но как	1	1
181	чем же	1	1
182	всего необходимо	1	1
183	не является	1	1
184	это как	1	1
185	в пьесе	1	1
186	с самого	3	1
187	и первое	1	1
188	которой он	2	1
189	связи с	1	1
190	за все	1	1
191	случае и	1	1
192	в скрытом	1	1
193	для ее	1	1
194	она не	1	1
195	чтобы он	1	1
196	и если	1	1
197	на другой	1	1
198	но не	1	1
199	в другом	1	1
200	не быть	1	1
201	в ней	1	1
202	мы опять	1	1
203	с совершенно	2	1
204	в условиях	5	1
205	самом деле	2	1
206	в развитии	4	1
207	в которой	2	1
208	только один	2	1
209	а не	3	1
210	но затем	1	1
211	только на	1	1
212	и их	1	1
213	можно было	1	1
214	но только	1	1
215	конечно в	2	1
216	факт что	1	1
217	чего же	1	1
218	в обоих	1	1
219	человека и	1	1
220	отметить что	1	1
221	или как	1	1
222	самого начала	3	1
223	всегда будет	1	1
224	и т.д	3	1
225	и еще	1	1
226	может ли	1	1
227	он в	3	1
228	как мы	2	1
229	и особенно	1	1
230	во многом	1	1
231	на две	3	1
232	той же	2	1
233	затем он	1	1
234	виде и	1	1
235	обратимся к	1	1
236	быть в	1	1
237	и от	1	1
238	и есть	2	1
239	роль играет	1	1
240	все время	1	1
241	на этот	2	1
242	уже чисто	1	1
243	а это	1	1
244	но если	1	1
245	в области	3	1
246	и по	2	1
247	и эта	1	1
248	является ли	1	1
249	в и	2	1
250	всяком случае	2	1
251	на котором	2	1
252	для чего	1	1
253	не из	1	1
254	он с	1	1
255	и наконец	5	1
