N	2gram	Savitsky_E	Problemy
1	и в	37	106
2	и не	14	90
3	как бы	6	70
4	может быть	6	66
5	т е	9	59
6	в его	2	56
7	в этом	12	52
8	в нем	1	51
9	не может	9	49
10	как и	7	44
11	точки зрения	23	40
12	но и	14	40
13	для него	1	39
14	и его	1	39
15	а не	2	38
16	то же	15	36
17	не только	18	36
18	в пределах	25	35
19	то что	6	33
20	но в	14	33
21	прежде всего	9	32
22	он не	2	29
23	в то	16	29
24	и все	2	28
25	в одном	2	27
26	не в	5	27
27	же время	14	26
28	в самом	4	25
29	и с	2	25
30	к нему	2	25
31	с точки	17	25
32	и т	1	25
33	не как	1	24
34	вовсе не	6	24
35	рядом с	1	23
36	и на	6	23
37	слова и	1	23
38	по себе	4	22
39	таким образом	2	22
40	там где	3	21
41	как мы	5	21
42	все же	1	20
43	никогда не	3	20
44	только в	9	20
45	потому что	3	20
46	что же	2	19
47	что в	21	19
48	с его	1	19
49	уже не	1	18
50	по отношению	1	18
51	в себе	9	18
52	но не	5	18
53	все эти	1	18
54	и к	3	17
55	с ним	1	17
56	а в	2	17
57	в том	11	17
58	так и	10	17
59	так же	9	16
60	если бы	2	16
61	в своей	8	16
62	этом смысле	3	16
63	и для	3	15
64	и наконец	2	15
65	и сам	1	14
66	в своем	14	14
67	в отношении	32	14
68	так как	7	14
69	лишь в	1	14
70	но все	1	13
71	точка зрения	2	13
72	с другими	2	13
73	большинстве случаев	3	13
74	в мире	2	13
75	и это	1	13
76	в большинстве	2	13
77	при этом	1	12
78	даже в	4	12
79	отношении к	15	12
80	и как	2	12
81	и даже	6	12
82	к тому	8	12
83	во всяком	3	12
84	в котором	2	12
85	что и	3	12
86	и что	2	12
87	за пределы	1	12
88	было бы	8	12
89	между тем	8	12
90	как в	3	12
91	том что	6	12
92	но это	1	12
93	в одной	1	12
94	пределах одного	1	11
95	тем что	3	11
96	входит в	1	11
97	с другой	7	11
98	он сам	2	11
99	должно быть	1	11
100	бы в	2	11
101	не могут	2	11
102	дело идет	2	11
103	бы и	3	11
104	этого слова	1	11
105	она не	2	11
106	как будто	2	11
107	более того	1	11
108	что не	1	10
109	для себя	1	10
110	той же	1	10
111	в самой	1	10
112	далеко не	2	10
113	как не	2	10
114	ведь и	2	10
115	в той	5	9
116	другой стороны	2	9
117	в них	3	9
118	хотя бы	15	9
119	друг с	3	9
120	хотя и	2	9
121	могут быть	2	9
122	всяком случае	3	9
123	или в	2	9
124	и потому	5	9
125	в результате	3	8
126	и до	1	8
127	о том	3	8
128	мы увидим	1	8
129	из них	3	8
130	несмотря на	4	8
131	ни было	4	8
132	но как	2	8
133	и от	3	8
134	мы должны	2	8
135	нам кажется	7	8
136	должна быть	2	8
137	был бы	1	8
138	что это	2	8
139	не на	4	8
140	с ними	1	8
141	уже в	1	8
142	того что	7	8
143	с их	1	8
144	с другом	3	8
145	и о	1	8
146	тем как	1	7
147	на свой	1	7
148	в жизни	1	7
149	и со	3	7
150	вопрос о	4	7
151	сказать что	4	7
152	что все	2	7
153	от себя	1	7
154	не было	1	7
155	не о	1	7
156	как его	1	7
157	лишь на	1	7
158	между ними	2	7
159	себя как	1	7
160	в этих	2	7
161	и следовательно	1	7
162	во всех	6	7
163	то ни	4	7
164	кажется что	2	7
165	друг другу	1	7
166	с которым	1	7
167	его к	1	7
168	и ее	1	7
169	бы то	4	7
170	например в	1	7
171	в процессе	4	7
172	он в	1	7
173	на этот	2	7
174	т д	1	7
175	тот же	1	7
176	но на	3	7
177	в их	11	7
178	в виде	5	7
179	мира и	3	7
180	и их	1	7
181	такой же	2	7
182	во всем	1	6
183	кроме того	1	6
184	время не	1	6
185	в своих	2	6
186	в построении	1	6
187	не менее	1	6
188	с этим	2	6
189	конечно не	1	6
190	этого мира	1	6
191	как на	3	6
192	одна из	1	6
193	как же	2	6
194	на этом	1	6
195	можно было	3	6
196	этот вопрос	2	6
197	в этой	2	6
198	в другой	2	6
199	в которых	3	6
200	в основе	1	6
201	в отличие	1	6
202	и во	2	6
203	на вопрос	1	6
204	но с	2	6
205	на его	1	6
206	на них	2	6
207	отличие от	1	6
208	в начале	1	6
209	идет о	3	6
210	жизни и	2	6
211	на то	6	6
212	и только	3	6
213	для этого	1	6
214	те же	1	5
215	с собой	1	5
216	именно в	4	5
217	с тем	3	5
218	по своим	3	5
219	сам и	1	5
220	к которому	1	5
221	того же	3	5
222	но так	1	5
223	него не	1	5
224	тому же	1	5
225	на себя	3	5
226	в такой	1	5
227	той или	4	5
228	ибо в	1	5
229	что может	1	5
230	в общем	3	5
231	один из	1	5
232	та же	1	5
233	в последнем	1	5
234	то есть	6	5
235	с таким	1	5
236	вместе с	2	5
237	ни на	3	5
238	мы не	4	5
239	но именно	2	5
240	том же	1	5
241	в ее	8	5
242	его мысль	1	5
243	и то	2	5
244	по своему	7	5
245	в ней	4	5
246	быть и	1	5
247	когда он	3	5
248	или иной	4	5
249	тому что	1	5
250	мира в	4	5
251	является в	1	4
252	все что	1	4
253	что если	2	4
254	к другу	1	4
255	с этой	6	4
256	еще более	2	4
257	нами в	1	4
258	более или	1	4
259	друг к	1	4
260	в пределы	3	4
261	то это	1	4
262	всего этого	1	4
263	уже и	3	4
264	но этот	1	4
265	или менее	1	4
266	во всей	2	4
267	для понимания	2	4
268	от них	3	4
269	они могут	1	4
270	поэтому в	1	4
271	вполне понятно	1	4
272	связи с	1	4
273	то в	4	4
274	время как	1	4
275	не есть	2	4
276	в сторону	2	4
277	в эту	2	4
278	на себе	1	4
279	оно не	1	4
280	именно потому	2	4
281	в направлении	4	4
282	не значит	1	4
283	с ее	1	4
284	всех этих	1	4
285	мы видели	3	4
286	переходит в	1	4
287	этот принцип	1	4
288	если не	1	4
289	как нам	5	4
290	то и	1	4
291	и если	2	4
292	тому чтобы	2	4
293	мире в	1	4
294	что оно	1	4
295	мир в	1	4
296	этом отношении	3	4
297	в формах	1	4
298	что с	1	4
299	со своим	1	4
300	смысле этого	1	4
301	вообще не	3	4
302	бы с	1	4
303	к концу	1	4
304	войти в	1	4
305	в каждой	1	4
306	об этом	1	4
307	бы ни	3	4
308	также и	7	4
309	еще в	1	4
310	стороны и	6	4
311	от того	1	4
312	как их	2	4
313	и прежде	3	4
314	это в	1	4
315	мы сказали	1	4
316	само по	4	4
317	с которыми	1	3
318	говорить о	1	3
319	в большей	1	3
320	слова т	1	3
321	какой бы	2	3
322	говорит о	3	3
323	а затем	1	3
324	в рамки	1	3
325	чтобы в	1	3
326	именно и	1	3
327	есть в	2	3
328	большей или	1	3
329	есть то	1	3
330	можно сказать	4	3
331	и отчасти	2	3
332	в данном	3	3
333	увидим что	1	3
334	но они	1	3
335	и еще	2	3
336	одной из	5	3
337	и вообще	1	3
338	что даже	1	3
339	кажется нам	1	3
340	всего в	2	3
341	мы видим	2	3
342	по преимуществу	2	3
343	и среди	1	3
344	она в	3	3
345	мы знаем	1	3
346	пожалуй и	2	3
347	чем в	4	3
348	воспринимается как	1	3
349	что его	1	3
350	в таком	3	3
351	звучит как	1	3
352	между собой	2	3
353	в смысле	9	3
354	могли бы	1	3
355	мы можем	3	3
356	почти на	1	3
357	не дает	3	3
358	ту же	1	3
359	и та	2	3
360	по своей	2	3
361	мы здесь	1	3
362	или меньшей	1	3
363	и мы	3	3
364	он определяет	1	3
365	значение в	1	3
366	и по	5	3
367	меньшей степени	2	3
368	чтобы не	1	3
369	и сами	1	3
370	как таковой	1	3
371	которых мы	1	3
372	должны быть	1	3
373	сводится к	1	3
374	себе не	3	3
375	или наоборот	1	3
376	то время	1	3
377	есть нечто	1	3
378	не является	3	3
379	который не	1	3
380	того чтобы	6	3
381	значение для	1	3
382	если мы	1	3
383	мог бы	2	3
384	в сознании	1	3
385	есть только	1	3
386	правда в	1	3
387	не из	3	3
388	выходит за	1	3
389	его можно	1	3
390	именно к	2	3
391	может найти	1	3
392	или к	1	3
393	данном случае	2	3
394	сам в	1	3
395	ее в	3	3
396	не способен	1	3
397	в других	2	3
398	у нас	1	3
399	мы будем	1	3
400	однако не	1	3
401	дело в	3	3
402	если и	1	3
403	оно может	1	3
404	которая как	1	3
405	того или	4	3
406	а к	1	3
407	и происходит	1	3
408	что из	1	3
409	признать что	1	3
410	почти никогда	1	3
411	которые в	1	3
412	что на	2	3
413	же в	2	3
414	все еще	1	3
415	и эта	2	3
416	в чисто	1	3
417	и другие	1	2
418	обращены к	1	2
419	в центре	1	2
420	которая в	1	2
421	его построения	1	2
422	тех кто	1	2
423	за исключением	1	2
424	и имеет	2	2
425	из всех	3	2
426	но тем	1	2
427	одно из	1	2
428	такими же	1	2
429	по природе	1	2
430	для осуществления	1	2
431	социальной группы	1	2
432	она является	1	2
433	при том	1	2
434	много раз	1	2
435	в корне	1	2
436	его на	2	2
437	а именно	2	2
438	оценок и	1	2
439	теперь не	1	2
440	почти все	1	2
441	культурной традиции	2	2
442	и того	2	2
443	ними и	2	2
444	не служит	4	2
445	во все	3	2
446	еще далеко	1	2
447	тем с	1	2
448	силы и	1	2
449	но даже	4	2
450	мира не	2	2
451	для того	6	2
452	в этот	1	2
453	на пути	1	2
454	совершенно неправильно	1	2
455	даже с	1	2
456	отметить что	3	2
457	себе в	3	2
458	свою очередь	2	2
459	то такой	1	2
460	которых может	1	2
461	такая же	1	2
462	быть в	1	2
463	в нашем	1	2
464	отказаться от	1	2
465	что имеет	1	2
466	мы привели	1	2
467	сводить к	1	2
468	представим себе	1	2
469	нельзя сказать	1	2
470	но из	1	2
471	с одной	8	2
472	значительной степени	1	2
473	в качестве	14	2
474	не способны	1	2
475	к определенному	1	2
476	и других	2	2
477	принципа в	1	2
478	бы как	1	2
479	о выборе	1	2
480	на одну	2	2
481	не кто	1	2
482	же как	5	2
483	одном из	2	2
484	можем сказать	2	2
485	от этого	5	2
486	его жизни	1	2
487	же касается	1	2
488	был не	1	2
489	достаточно чтобы	1	2
490	не нужно	2	2
491	что как	1	2
492	того в	1	2
493	ведь в	1	2
494	ли это	3	2
495	в лучшем	1	2
496	мы говорили	1	2
497	или же	1	2
498	бы они	1	2
499	другим в	1	2
500	другой и	2	2
501	нем и	1	2
502	является та	1	2
503	что для	1	2
504	в осуществлении	1	2
505	столь же	5	2
506	ней в	1	2
507	отнюдь не	9	2
508	независимо от	4	2
509	одного и	1	2
510	мире как	1	2
511	к сожалению	1	2
512	мире и	1	2
513	от нее	1	2
514	во втором	2	2
515	в содержании	2	2
516	и этот	2	2
517	как с	1	2
518	на западе	1	2
519	тогда когда	2	2
520	настоящего времени	1	2
521	освободиться от	1	2
522	к сознанию	1	2
523	для них	2	2
524	подходит к	2	2
525	одну и	2	2
526	этой точки	5	2
527	имеет значение	1	2
528	с ней	1	2
529	в россии	5	2
530	она и	1	2
531	не имеет	4	2
532	друг от	2	2
533	в аспекте	1	2
534	к той	2	2
535	как последняя	1	2
536	не перед	1	2
537	до настоящего	1	2
538	в свою	3	2
539	в значительной	2	2
540	по сравнению	2	2
541	целый ряд	2	2
542	рано или	2	2
543	и земли	1	2
544	в истории	2	2
545	известной степени	3	2
546	заметить что	2	2
547	она может	1	2
548	противоположных направлениях	1	2
549	котором мы	1	2
550	или поздно	2	2
551	бы тот	1	2
552	этот процесс	2	2
553	лишь весьма	1	2
554	одна и	2	2
555	мира но	2	2
556	такая постановка	1	2
557	для всего	1	2
558	для нас	4	2
559	и тут	2	2
560	при условии	2	2
561	от друга	2	2
562	же нет	1	2
563	в силах	1	2
564	с теми	1	2
565	в стороне	3	2
566	в какой	2	2
567	этот раз	1	2
568	е не	1	2
569	один и	1	2
570	только и	1	2
571	бы во	1	2
572	перед тем	1	2
573	эти последние	2	2
574	во второй	3	2
575	этих случаях	1	2
576	к которой	1	2
577	иной степени	1	2
578	в рамках	1	2
579	к ней	4	2
580	элементов в	1	2
581	во многом	2	2
582	для такого	1	2
583	из их	1	2
584	все более	9	2
585	лучшем случае	1	2
586	или точнее	2	2
587	за их	1	2
588	не к	2	2
589	обращенный к	1	2
590	они являются	1	1
591	если так	1	1
592	для всех	1	1
593	в каждую	1	1
594	которые не	1	1
595	к этой	1	1
596	в сферу	2	1
597	до него	1	1
598	совершенно очевидно	2	1
599	или иных	1	1
600	его при	1	1
601	кто иной	1	1
602	в применении	3	1
603	заключают в	1	1
604	и когда	1	1
605	а у	1	1
606	следует что	1	1
607	призыв к	1	1
608	неизбежно приводит	1	1
609	в некоторых	2	1
610	и лучше	1	1
611	мира только	1	1
612	нас в	1	1
613	не являются	1	1
614	или иному	2	1
615	и другими	1	1
616	а другие	1	1
617	требуют в	1	1
618	связь между	1	1
619	и видимо	1	1
620	ко всем	1	1
621	на которых	1	1
622	мысль о	1	1
623	в некотором	4	1
624	но по	2	1
625	или на	1	1
626	другую сторону	1	1
627	звучать как	1	1
628	находит себе	1	1
629	оказаться в	1	1
630	что по	1	1
631	в точном	1	1
632	можно еще	1	1
633	отдельные этапы	1	1
634	как более	1	1
635	как обычно	1	1
636	всем его	1	1
637	связано с	3	1
638	также что	1	1
639	нам представляется	1	1
640	время с	1	1
641	бы сказали	1	1
642	значение только	2	1
643	смысле она	1	1
644	следовало бы	2	1
645	но нам	1	1
646	действительности как	1	1
647	доказать что	1	1
648	о которых	1	1
649	для одних	1	1
650	говорить не	1	1
651	в каких	1	1
652	и неизбежно	1	1
653	во многих	4	1
654	времени в	1	1
655	которую по	1	1
656	смысл имеет	1	1
657	мы все	1	1
658	не исключает	1	1
659	приходит к	1	1
660	не обязательно	1	1
661	сделан из	1	1
662	на практике	1	1
663	целей и	1	1
664	любви к	1	1
665	другие не	1	1
666	всегда и	1	1
667	в прошлом	3	1
668	некоторое время	1	1
669	так то	1	1
670	к ним	3	1
671	они должны	1	1
672	постановка проблемы	1	1
673	в предчувствии	1	1
674	простое и	1	1
675	исходит из	1	1
676	который в	1	1
677	именно с	1	1
678	чтобы войти	1	1
679	в противном	1	1
680	будут ли	1	1
681	в европе	1	1
682	она есть	1	1
683	но сама	1	1
684	во внутреннюю	1	1
685	и признать	1	1
686	свое собственное	1	1
687	активности и	1	1
688	идеологии с	1	1
689	другому благодаря	1	1
690	видели что	1	1
691	ее и	1	1
692	фактом что	1	1
693	не выходит	1	1
694	как тот	1	1
695	отражение в	1	1
696	и всей	1	1
697	не говоря	2	1
698	земли в	1	1
699	внимание на	1	1
700	в состоянии	1	1
701	получает в	1	1
702	сильнее чем	1	1
703	вопрос мы	1	1
704	обстояло дело	1	1
705	какие могут	1	1
706	своей совокупности	1	1
707	народ и	3	1
708	что пожалуй	1	1
709	глаза на	1	1
710	бытия и	1	1
711	подходят к	1	1
712	располагались в	1	1
713	возникает вопрос	1	1
714	весь мир	1	1
715	в третьем	1	1
716	слово на	1	1
717	и притом	4	1
718	только к	2	1
719	существует только	1	1
720	бы только	1	1
721	мог осуществиться	1	1
722	нужно иметь	2	1
723	о возможности	1	1
724	жена моя	1	1
725	ее от	2	1
726	это мы	1	1
727	только бы	1	1
728	или хотя	2	1
729	или иная	1	1
730	в среде	1	1
731	в связи	1	1
732	которыми мы	1	1
733	этой концепции	1	1
734	в двух	1	1
735	в другие	1	1
736	есть чем	1	1
737	в индивидуальном	1	1
738	же направлении	1	1
739	же все	1	1
740	момент во	1	1
741	пределы и	1	1
742	и однако	1	1
743	собой это	1	1
744	бы она	1	1
745	мы думаем	1	1
746	в отдельных	1	1
747	и необходимость	1	1
748	связь и	1	1
749	вопроса приводит	1	1
750	видимо не	1	1
751	вместо того	1	1
752	для оценки	1	1
753	более всего	1	1
754	в случае	2	1
755	было только	1	1
756	и тем	3	1
757	как это	4	1
758	не будет	3	1
759	в идеологическом	2	1
760	за свои	1	1
761	в тех	1	1
762	и тот	1	1
763	сознания что	1	1
764	поэтому даже	1	1
765	даже не	1	1
766	как одно	1	1
767	это может	1	1
768	литературы и	1	1
769	когда мы	1	1
770	и несколько	1	1
771	вопрос в	1	1
772	известном смысле	3	1
773	это потому	1	1
774	не принесет	1	1
775	главным образом	2	1
776	то исключительно	1	1
777	их к	1	1
778	рядом не	1	1
779	одной стороны	8	1
780	но кроме	1	1
781	или иного	4	1
782	которого мы	2	1
783	и чем	2	1
784	определяется в	1	1
785	каждого из	1	1
786	и твердо	1	1
787	и ту	2	1
788	не делает	1	1
789	положении и	1	1
790	судьбу свою	1	1
791	в частности	5	1
792	пределы данного	1	1
793	но хотя	1	1
794	однако с	1	1
795	в столь	1	1
796	приближается к	3	1
797	и существенно	2	1
798	если в	2	1
799	п с	1	1
800	и отражает	1	1
801	не находим	1	1
802	он на	1	1
803	можно представить	1	1
804	ибо то	1	1
805	это есть	1	1
806	развернуть в	1	1
807	этих отношений	1	1
808	его ни	1	1
809	нельзя ли	3	1
810	на минуту	1	1
811	власти и	1	1
812	нельзя ни	1	1
813	связанная с	1	1
814	могут стать	2	1
815	находим у	1	1
816	их до	1	1
817	иной как	1	1
818	наблюдений над	1	1
819	его собственная	2	1
820	заключается в	2	1
821	и совершенной	2	1
822	себя с	1	1
823	это сделали	1	1
824	на месте	2	1
825	в идеологической	1	1
826	исключен из	1	1
827	можно назвать	1	1
828	к которым	5	1
829	возможности и	1	1
830	с такими	1	1
831	для каждого	1	1
832	определяющим фактором	1	1
833	мы но	1	1
834	ли он	1	1
835	о котором	1	1
836	сравнению с	2	1
837	именно поэтому	1	1
838	со стороны	5	1
839	в известном	3	1
840	эта последняя	1	1
841	в каком	4	1
842	на своем	3	1
843	ими с	1	1
844	на тех	1	1
845	он мог	1	1
846	бы о	2	1
847	только одно	2	1
848	дальнейшее развитие	1	1
849	нет ничего	1	1
850	можно в	2	1
851	сознанию что	1	1
852	не допускает	1	1
853	близости к	1	1
854	в положении	1	1
855	что мы	1	1
856	то существенно	1	1
857	относится к	1	1
858	лежат в	4	1
859	на основе	2	1
860	и поэтому	2	1
861	которое не	1	1
862	мыслей о	1	1
863	и теперь	2	1
864	для нее	1	1
865	может лишь	1	1
866	от других	1	1
867	и наиболее	2	1
868	у других	1	1
869	примкнуть к	3	1
870	это стремление	1	1
871	тому или	2	1
872	истории и	1	1
873	и иных	1	1
874	в совершенно	1	1
875	в форму	1	1
876	тогда как	1	1
877	только это	1	1
878	жизни только	1	1
879	потому и	1	1
880	на которые	1	1
881	в данной	3	1
882	она неизбежно	1	1
883	то она	1	1
884	в свой	1	1
885	но если	5	1
886	будь то	1	1
887	реальность и	1	1
888	современности и	1	1
889	сожалению не	1	1
890	или вовсе	1	1
891	обратиться к	1	1
892	что автор	1	1
893	одних и	1	1
894	тут есть	1	1
895	находятся в	1	1
896	ставить вопрос	1	1
897	в более	1	1
898	идеологической жизни	1	1
899	гораздо сложнее	1	1
900	может не	1	1
901	все так	1	1
902	и было	1	1
903	зависит от	1	1
904	бы еще	1	1
905	народом в	1	1
906	том числе	1	1
907	для всякого	1	1
908	высшей и	1	1
909	бы на	1	1
910	конечно но	1	1
911	мы совершенно	1	1
912	в полном	1	1
913	по другую	1	1
914	то мы	1	1
915	иначе обстоит	2	1
916	мы находим	1	1
917	различия между	1	1
918	дают для	1	1
919	в ином	1	1
920	здесь можно	1	1
921	другие же	1	1
922	к некоторому	1	1
923	и более	2	1
924	в свои	2	1
925	или иначе	1	1
926	и философские	1	1
927	входить в	1	1
928	выборе между	1	1
929	же по	1	1
930	в ту	1	1
931	и другое	1	1
932	воспринять как	1	1
933	бы признать	1	1
934	участие в	2	1
935	нас к	2	1
936	тем путем	1	1
937	случаях когда	2	1
938	эти две	1	1
939	свои пределы	2	1
940	противном случае	1	1
941	перед собой	1	1
942	ли не	1	1
943	в новом	1	1
944	творчества стала	1	1
945	направлении в	1	1
946	уже знакомые	1	1
947	намеками и	1	1
948	бы дать	1	1
949	бы совершенно	2	1
950	говорит об	1	1
951	тем более	4	1
952	людей в	1	1
953	а на	1	1
954	что эти	2	1
955	ко всему	2	1
956	полной мере	1	1
957	на всем	4	1
958	строй его	1	1
959	в полной	4	1
960	возвращается к	1	1
961	выше и	1	1
962	каких бы	2	1
963	такие же	1	1
964	в разных	1	1
965	которую мы	5	1
966	случае если	1	1
967	так называемой	1	1
968	русских и	2	1
969	этом мире	1	1
970	обстоит дело	3	1
971	с совершенно	1	1
972	в отношениях	1	1
973	в характере	1	1
974	в человеческом	1	1
975	тех же	1	1
976	к области	1	1
977	отчасти к	3	1
978	заключает в	3	1
979	свое значение	1	1
980	и всякая	1	1
981	рассматривать как	1	1
982	числе и	1	1
983	не показывает	1	1
984	что за	1	1
985	та или	1	1
986	мы бы	1	1
987	считает что	1	1
988	по этому	1	1
989	место в	3	1
990	их можно	1	1
991	происходит в	2	1
992	центра и	1	1
993	в области	11	1
994	их на	1	1
995	же может	1	1
996	тех или	1	1
997	все другие	2	1
998	среди великих	1	1
999	бы от	2	1
1000	в глубине	1	1
1001	как совокупность	4	1
1002	в известной	3	1
1003	есть не	2	1
1004	на ту	1	1
1005	степени и	1	1
1006	фигурирует в	1	1
