N	3gram	Propp_Russ	VLabPisa
1	и т д	12	16
2	в этом отношении	1	14
3	и т п	1	9
4	не может быть	1	8
5	по отношению к	1	7
6	по этому поводу	3	7
7	более или менее	1	6
8	в том что	27	5
9	в одном из	1	4
10	вместе с тем	10	4
11	можно сказать что	1	4
12	в связи с	4	4
13	к тому что	4	4
14	мы видели что	1	3
15	для того чтобы	6	3
16	о том что	6	3
17	видно из приведенных	1	3
18	о том же	4	3
19	подобно тому как	3	3
20	из приведенных выше	1	3
21	же говорит и	1	3
22	это и есть	1	3
23	те из них	1	2
24	не только для	1	2
25	и том же	1	2
26	во всяком случае	1	2
27	в том чтобы	2	2
28	в этом и	1	2
29	таким образом в	1	2
30	в противном случае	1	2
31	приводит к тому	1	2
32	иметь в виду	2	2
33	не только в	1	2
34	во всех этих	1	2
35	не может не	1	2
36	вот что пишет	1	2
37	т е в	6	2
38	по этому вопросу	1	2
39	в другом месте	1	2
40	с одной стороны	1	2
41	одном и том	1	2
42	можно было бы	2	2
43	после того как	3	2
44	так же как	5	1
45	того момента когда	1	1
46	виду что в	1	1
47	этому поводу с	1	1
48	имеет ничего общего	1	1
49	в свою очередь	2	1
50	в одном и	1	1
51	некоторые из них	1	1
52	в том же	1	1
53	прямо и непосредственно	1	1
54	т е не	1	1
55	как будто бы	1	1
56	т е тот	1	1
57	но вместе с	3	1
58	в применении к	1	1
59	мы видим что	1	1
60	на то что	2	1
61	а вместе с	1	1
62	и он же	1	1
63	но и в	1	1
64	риме во время	1	1
65	как мы знаем	1	1
66	том же говорит	1	1
67	но она не	1	1
68	приводят нас к	2	1
69	один из них	3	1
70	т е из	1	1
71	бы значительно увеличить	1	1
72	то время как	1	1
73	в этом случае	9	1
74	во всех других	1	1
75	связаны не с	1	1
76	главным образом на	1	1
77	на основании этих	1	1
78	может быть принято	1	1
79	то что в	1	1
80	между тем это	3	1
81	в своем дневнике	1	1
82	как видно из	1	1
83	не значит что	2	1
84	в то время	3	1
85	а между тем	1	1
86	на этот вопрос	1	1
87	говорит о том	1	1
88	в таком случае	1	1
89	все же не	2	1
90	что один из	1	1
91	хотя и не	1	1
92	развитии может быть	1	1
93	было бы значительно	1	1
94	описывает его следующим	1	1
95	ничего общего с	1	1
96	ни одна из	2	1
97	что мы имеем	1	1
98	состоял в том	1	1
99	которые не имели	1	1
100	более полное и	1	1
101	бросается в глаза	3	1
102	из этих элементов	1	1
103	по меньшей мере	1	1
104	по аналогии с	1	1
105	еще не означает	1	1
106	в данном случае	7	1
107	того или другого	1	1
108	не имеет ничего	1	1
109	же как и	3	1
110	дело так будто	1	1
111	по его мнению	1	1
112	но все же	2	1
113	его следующим образом	1	1
114	одна из них	1	1
115	не только у	2	1
116	совершенно очевидно что	2	1
117	по существу в	1	1
118	мы не будем	4	1
119	вопрос о том	1	1
120	только тогда когда	3	1
121	в виду что	2	1
122	к этому же	3	1
123	может быть и	3	1
