N	3gram	Trubetskoy	NovoeSre
1	в высшей степени	2	6
2	не может быть	4	4
3	в том и	2	2
4	ни одна из	1	2
5	вместе с тем	3	2
6	так же как	3	2
7	он не может	2	2
8	с одной стороны	2	2
9	с другой стороны	4	2
10	никогда не было	1	2
11	которые они считают	1	1
12	лишь в том	5	1
13	того же процесса	1	1
14	в том что	16	1
15	не в том	1	1
16	народ не может	1	1
17	в том случае	4	1
18	всех народов мира	1	1
19	и в жизни	1	1
20	до сих пор	15	1
21	я не могу	1	1
22	борьбы за существование	1	1
23	не имеет никакой	1	1
24	народа должно быть	1	1
25	общество и государство	1	1
26	человеком хотя и	1	1
27	в зависимости от	1	1
28	что он может	1	1
29	в то что	1	1
30	но для этого	1	1
31	том числе и	1	1
32	можно было бы	1	1
33	к тем началам	1	1
34	которые могут быть	1	1
35	который можно назвать	1	1
36	в жизни некоторых	1	1
37	в нем не	1	1
38	не будет знать	1	1
39	о том что	4	1
40	и до сих	1	1
41	и того же	3	1
42	не знает что	1	1
43	заключает в себе	2	1
44	себя на место	1	1
45	а не в	1	1
46	как и в	2	1
47	том случае если	4	1
48	во всяком случае	2	1
49	та или иная	1	1
50	к одному из	1	1
51	в том числе	1	1
52	совершенно так же	4	1
53	в своем развитии	4	1
54	в этом я	1	1
55	и для того	1	1
56	в то время	2	1
57	в основе их	1	1
58	то время как	1	1
59	о том чтобы	2	1
60	того чтобы быть	2	1
61	и все они	1	1
62	должна быть признана	1	1
63	и не может	1	1
64	одного и того	3	1
65	должен быть перенесен	1	1
66	не будет уже	1	1
