N	2gram	Losev_Prob	KulturaY
1	и т	13	143
2	т е	2	102
3	т п	1	93
4	и в	64	84
5	в том	19	74
6	потому что	24	68
7	не только	37	60
8	точки зрения	5	59
9	в этом	30	57
10	было бы	16	53
11	и не	63	52
12	может быть	29	47
13	что в	21	44
14	том что	26	44
15	того чтобы	10	44
16	т д	12	42
17	в самом	10	41
18	для того	10	41
19	у нас	31	38
20	хотя бы	15	37
21	самом деле	10	37
22	так как	16	36
23	с точки	3	36
24	в области	8	34
25	таким образом	9	33
26	а не	21	33
27	если бы	8	32
28	можно было	8	32
29	не в	6	30
30	и пр	4	30
31	в его	12	30
32	прежде всего	17	30
33	все же	7	29
34	не менее	26	28
35	того что	18	28
36	все эти	15	28
37	уже не	9	26
38	в языке	13	26
39	в силу	2	26
40	то что	72	25
41	вовсе не	60	25
42	не может	18	25
43	вопрос о	4	24
44	с другой	8	24
45	еще не	18	24
46	то же	10	23
47	только в	19	23
48	так и	17	23
49	языка в	3	22
50	тем не	25	21
51	по себе	20	20
52	во всяком	18	20
53	и что	21	20
54	но и	23	20
55	тем что	10	19
56	о том	25	19
57	обстоятельство что	1	19
58	что он	11	19
59	зависимости от	2	19
60	языка и	5	19
61	что же	18	19
62	всяком случае	11	19
63	но в	19	19
64	то обстоятельство	1	19
65	и с	12	18
66	с тем	6	18
67	к тому	5	18
68	в сущности	2	18
69	в качестве	3	18
70	связи с	8	18
71	между тем	3	18
72	вместе с	4	18
73	как бы	18	18
74	русском языке	2	18
75	все это	11	18
76	в той	2	17
77	можно говорить	3	17
78	другой стороны	7	17
79	как это	7	17
80	что это	4	17
81	слова и	5	17
82	о языке	3	17
83	как раз	20	17
84	это не	7	17
85	в виду	10	16
86	в зависимости	2	16
87	что и	2	16
88	что не	8	16
89	тот же	4	16
90	ничего не	20	16
91	но не	13	16
92	при этом	8	15
93	именно в	5	15
94	в данном	16	15
95	как на	3	15
96	в нашем	3	15
97	том чтобы	1	15
98	не было	7	15
99	и тем	16	15
100	один из	7	15
101	ни к	1	15
102	только потому	4	15
103	того как	3	15
104	а в	7	15
105	лишь в	4	15
106	должно быть	3	15
107	в них	8	14
108	и на	11	14
109	сказать что	33	14
110	хотя и	8	14
111	что такое	23	14
112	в связи	7	14
113	я не	1	14
114	сих пор	6	14
115	в ней	1	14
116	до сих	6	14
117	если мы	16	14
118	как мы	10	14
119	мы имеем	3	14
120	также и	22	14
121	что она	8	13
122	к языку	1	13
123	крайней мере	8	13
124	между прочим	3	13
125	в этой	14	13
126	не случайно	1	13
127	не могут	6	13
128	в которых	4	13
129	по крайней	8	13
130	той же	2	13
131	для нас	11	13
132	по существу	2	13
133	в пределах	2	13
134	и его	3	13
135	с этой	1	12
136	говорить о	14	12
137	в результате	6	12
138	того же	3	12
139	ясно что	7	12
140	а только	9	12
141	вопроса о	3	12
142	этот вопрос	2	12
143	могут быть	2	12
144	тогда когда	4	12
145	как в	5	12
146	однако не	3	12
147	в рамках	1	12
148	для этого	5	12
149	язык как	3	11
150	должен быть	1	11
151	языка как	2	11
152	в своем	7	11
153	на себе	1	11
154	он не	5	11
155	в нем	14	11
156	и здесь	8	11
157	должна быть	2	11
158	и то	15	11
159	что язык	1	11
160	еще и	9	11
161	совершенно не	7	11
162	из этих	5	11
163	и если	9	11
164	этом отношении	2	11
165	уже в	6	11
166	слова в	1	11
167	в их	7	11
168	в таких	5	11
169	в какой	1	11
170	или иной	8	11
171	в первом	2	10
172	как и	7	10
173	речь идет	2	10
174	так же	12	10
175	конечно не	3	10
176	к этому	1	10
177	несмотря на	6	10
178	бы в	3	10
179	ту же	1	10
180	этом смысле	8	10
181	не просто	30	10
182	в общем	5	10
183	в то	7	10
184	со стороны	2	10
185	в каком	7	10
186	с этим	7	10
187	они не	1	10
188	бы и	5	10
189	тем более	13	10
190	того или	8	10
191	в нашей	3	10
192	тем самым	11	10
193	от того	2	10
194	что слово	2	9
195	в своей	8	9
196	можно сказать	9	9
197	что все	9	9
198	xix века	1	9
199	в которой	2	9
200	но для	3	9
201	здесь не	9	9
202	мы говорим	3	9
203	и есть	7	9
204	слова как	2	9
205	или иного	6	9
206	ни в	13	9
207	не имеет	8	9
208	что мы	23	9
209	не потому	2	9
210	подобного рода	8	9
211	но это	11	9
212	и для	10	9
213	дает нам	2	9
214	то мы	2	9
215	а также	6	9
216	но уже	9	9
217	на то	12	9
218	в целом	1	9
219	в этих	7	8
220	но все	5	8
221	в первую	1	8
222	на практике	1	8
223	что они	5	8
224	по преимуществу	4	8
225	с одной	4	8
226	это слово	1	8
227	тому же	1	8
228	в таком	18	8
229	тому что	6	8
230	не есть	49	8
231	в чем	3	8
232	смысл и	3	8
233	в своих	3	8
234	в тех	2	8
235	отнюдь не	15	8
236	мы видели	1	8
237	а потому	2	8
238	был бы	6	8
239	заключается в	2	8
240	да и	11	8
241	то и	7	8
242	тех пор	4	8
243	только тогда	4	8
244	слов и	1	8
245	что я	1	8
246	с его	3	8
247	этом случае	6	8
248	независимо от	2	8
249	на самом	9	8
250	и как	10	8
251	об этом	10	8
252	мере в	2	8
253	не говоря	8	8
254	в частности	5	8
255	далеко не	9	8
256	и о	11	8
257	же в	5	8
258	само по	1	8
259	что на	4	8
260	же и	4	7
261	например в	2	7
262	а именно	16	7
263	казалось бы	11	7
264	всякого рода	3	7
265	в котором	5	7
266	была бы	2	7
267	указать на	1	7
268	на том	5	7
269	внимание на	4	7
270	во внимание	2	7
271	учение о	5	7
272	так сказать	1	7
273	а с	1	7
274	языке как	1	7
275	не значит	4	7
276	столь же	1	7
277	одной стороны	4	7
278	в процессе	1	7
279	и должно	2	7
280	с ним	4	7
281	никак не	13	7
282	сводится к	3	7
283	но вот	2	7
284	как о	4	7
285	в слове	1	7
286	и более	4	7
287	когда мы	10	7
288	в истории	6	7
289	до конца	1	7
290	на этот	3	7
291	в самой	3	7
292	все равно	7	7
293	и вовсе	7	7
294	есть в	9	7
295	нисколько не	3	7
296	не все	4	7
297	и потому	3	7
298	том случае	2	7
299	до тех	4	7
300	она не	5	7
301	не знает	4	7
302	только как	2	7
303	как он	4	7
304	не следует	1	7
305	язык в	1	7
306	были бы	2	6
307	говоря уже	6	6
308	только что	2	6
309	даже в	2	6
310	в корне	2	6
311	только для	3	6
312	отличается от	2	6
313	на этой	4	6
314	уже о	5	6
315	о них	3	6
316	можно ли	9	6
317	вообще и	6	6
318	языка не	1	6
319	что именно	1	6
320	именно с	1	6
321	по поводу	6	6
322	она есть	5	6
323	гораздо более	6	6
324	на язык	2	6
325	мы знаем	1	6
326	слов в	1	6
327	в ее	3	6
328	прежде чем	3	6
329	и именно	1	6
330	от этого	2	6
331	той или	10	6
332	могли бы	2	6
333	на этом	1	6
334	должны быть	2	6
335	за пределы	6	6
336	то или	3	6
337	или иное	2	6
338	мы называем	2	6
339	его к	1	6
340	первую очередь	1	6
341	не на	4	6
342	оно не	6	6
343	если не	6	6
344	но только	3	6
345	содержание и	1	6
346	язык это	1	6
347	перед нами	7	6
348	а если	2	6
349	роль в	2	6
350	что если	5	6
351	в сфере	1	6
352	тем же	2	6
353	в себе	16	6
354	что оно	4	6
355	данном случае	10	6
356	мы не	6	6
357	что с	2	6
358	или в	5	6
359	то это	3	6
360	если и	2	6
361	как будто	6	6
362	что эти	2	6
363	может иметь	3	6
364	что значит	3	6
365	дело не	1	6
366	не с	1	6
367	говоря о	1	6
368	только то	6	6
369	чтобы не	3	6
370	это только	4	6
371	которые в	4	6
372	на себя	2	6
373	же это	3	6
374	в каком-то	3	6
375	и к	2	5
376	очень много	3	5
377	говорить и	1	5
378	не как	2	5
379	нас в	4	5
