N	3gram	Tiupa_Teor	Literetu
1	в том что	10	21
2	в то же	8	21
3	то же время	8	21
4	по отношению к	10	12
5	в е годы	1	12
6	с одной стороны	3	12
7	в хх веке	1	12
8	не может быть	5	11
9	в данном случае	5	11
10	в отличие от	7	11
11	состоит в том	6	11
12	в конечном счете	6	10
13	так или иначе	5	10
14	о том что	1	10
15	присутствия в мире	6	8
16	с точки зрения	3	8
17	с другой стороны	6	7
18	в том числе	3	6
19	к тому же	1	6
20	из того что	1	6
21	подобно тому как	3	6
22	едва ли не	1	6
23	с этой точки	2	5
24	тем не менее	3	5
25	в соответствии с	2	5
26	при этом как	1	5
27	в русской литературе	2	5
28	этой точки зрения	2	5
29	в связи с	3	5
30	романтической и постромантической	1	4
31	может быть это	1	4
32	в силу своей	4	4
33	при этом в	1	4
34	и тем самым	2	4
35	и прежде всего	1	4
36	то ни было	2	4
37	исходит из того	1	4
38	бы то ни	2	4
39	первых десятилетий хх	1	4
40	десятилетий хх века	1	4
41	я в мире	8	4
42	тогда как в	2	4
43	читателя зрителя слушателя	3	4
44	факторов художественного впечатления	4	3
45	объекта и адресата	1	3
46	эстетической деятельности в	1	3
47	что такое искусство?	1	3
48	одной стороны и	1	3
49	в самом деле	2	3
50	художественная деятельность мыслится	2	3
51	духовного общения людей	1	3
52	речь идет о	1	3
53	не сводится к	9	3
54	субъект художественной деятельности	3	3
55	это точка безумия	1	3
56	художественного мышления и	2	3
57	формах художественного письма	1	3
58	то же самое	1	3
59	в знаковом материале	3	3
60	той или иной	3	3
61	в равной степени	3	3
62	одухотворить пресуществить нашу	1	3
63	классический реализм xix	1	3
64	по этой причине	1	3
65	в свою очередь	3	3
66	по сути своей	2	3
67	в области искусства	2	3
68	никогда не бывает	1	3
69	в своего рода	1	3
70	себя в другом	1	3
71	по крайней мере	1	3
72	по большей части	2	3
73	ту или иную	2	3
74	в целом ряде	1	3
75	нашу действительную жизнь	1	3
76	должно одухотворить пресуществить	1	3
77	с читателем в	1	3
78	одном воображении а	1	3
79	пресуществить нашу действительную	1	3
80	как совокупность факторов	2	3
81	он и сам	1	3
82	быть это точка	1	3
83	в одном воображении	1	3
84	не в одном	1	3
85	и в частности	1	3
86	том числе и	2	3
87	совокупность факторов художественного	2	3
88	акт художника оборачивается	1	2
89	художественности состоит в	2	2
90	в самом начале	2	2
91	в этой системе	2	2
92	активное соучастие читателя	1	2
93	становится не менее	1	2
94	и эстетического адресата	1	2
95	в сочетании с	2	2
96	на активное соучастие	1	2
97	коммуникативной природы искусства	1	2
98	рассчитана на активное	1	2
99	читатель зритель слушатель	1	2
100	менее важным чем	1	2
101	художественной деятельности оказывается	1	2
102	роды искусства и	1	2
103	субъекта и адресата	1	2
104	в себя и	1	2
105	субъекта объекта и	1	2
106	определяющим отношением художественности	2	2
107	в xix веке	1	2
108	между писателем и	1	2
109	в душе своей	1	2
110	отталкивании от романтизма	1	2
111	для того чтобы	5	2
112	известные нам роды	1	2
113	в русской поэзии	2	2
114	соучастие читателя искусство	1	2
115	нам роды искусства	1	2
116	и то же	2	2
117	новоевропейские народы уже	1	2
118	в своем составе	3	2
119	в его лице	1	2
120	исчерпанности оснований и	1	2
121	искусства в жизни	1	2
122	писателем и читателем	1	2
123	в отношении к	2	2
124	искусство чтения становится	1	2
125	художественного впечатления бахтин	1	2
126	тех или иных	3	2
127	связи с чем	1	2
128	а с другой	2	2
129	не могло быть	2	2
130	не только не	2	2
131	оснований и возможностей	1	2
132	ощущение исчерпанности оснований	1	2
133	поэтика модернизма оказывается	1	2
134	и рецептивного сознаний	1	2
135	к тому что	2	2
136	только то что	1	2
137	работа с восприятием	1	2
138	а не только	1	2
139	в значительной степени	2	2
140	на воспринимающее сознание	2	2
141	могли бы быть	1	2
142	мы имеем дело	2	2
143	в чистом виде	1	2
144	начинает восприниматься как	2	2
145	в тексте не	1	2
146	может и не	1	2
147	на вопрос что	1	2
148	но в отличие	1	2
149	чтения становится не	1	2
150	креативного и рецептивного	2	2
151	если говорить о	1	2
152	народы уже исчерпали	1	2
153	при всей своей	1	2
154	для себя а	1	2
155	так и не	5	2
156	реализм xix века	1	2
157	важным чем искусство	1	2
158	что новоевропейские народы	1	2
159	и в самом	2	2
160	в свое время	1	2
161	оказывается рассчитана на	1	2
162	в себе и	1	2
163	в виду не	3	2
164	вся поэтика модернизма	1	2
165	однако в рамках	1	2
166	в полной мере	1	2
167	в общественном сознании	2	2
168	при этом не	1	2
169	а и в	1	2
170	то есть от	1	2
171	сознания доминировавшего в	1	2
172	что произведение искусства	1	2
173	дело в том	1	2
174	одно и то	2	2
175	в сравнении с	1	2
176	дамы с собачкой	1	2
177	воображении а и	1	2
178	художественности как эстетической	1	2
179	том что лирическое	1	2
180	это уже не	1	2
181	с легкой руки	2	2
182	в этом случае	1	2
183	чем искусство писания	1	2
184	деятельностью направленной на	2	2
185	несет в себе	3	2
186	этого текста в	1	2
187	читателя искусство чтения	1	2
188	не менее важным	1	2
189	модернизма оказывается рассчитана	1	2
190	на первый взгляд	1	2
191	поскольку он и	1	2
192	новой парадигмы художественности	2	2
193	текстуальности включая частные	1	1
194	моментом самого искусства	1	1
195	некоего гениального индивидуума	1	1
196	тайный жар свои	1	1
197	классицизма в национальных	1	1
198	объект перемещается в	1	1
199	художественной деятельности искусство	1	1
200	на предыдущей стадии	1	1
201	и укрепление в	1	1
202	свободный игровой характер	1	1
203	господином пены среди	1	1
204	лишь в момент	1	1
205	только на воображаемого	1	1
206	содержание художественной деятельности	1	1
207	это может показаться	1	1
208	бытования несмотря на	1	1
209	обобщающим принципом присутствия	1	1
210	роли ценностного центра	1	1
211	просто связанной так	1	1
212	правильностью сколько красотой	1	1
213	это делает достоверность	1	1
214	жизни а не	1	1
215	войне и мире	2	1
216	показаться исходя из	1	1
217	кризис рефлективного традиционализма	1	1
218	только мастерство но	1	1
219	основе всех постсимволистских	1	1
220	конструктивной неполноты целого	1	1
221	в той или	1	1
222	каждой новой такой	1	1
223	два сверхсхемных ударения	1	1
224	как явление культуры	1	1
225	чужому я другого	1	1
226	чужом тексте ищет	1	1
227	построению исторически обоснованной	1	1
228	осознается неэлиминируемым конститутивным	1	1
229	исходя из жизнеподобия	1	1
230	страдивариус великий мастер	1	1
231	художественной деятельности мыслится	1	1
232	момент своего прочтения	1	1
233	в области художественного	1	1
234	сделаться художественной реальностью	1	1
235	при этом значимость	1	1
236	современности которая обретает	1	1
237	со временем предстало	1	1
238	для всех модификаций	1	1
239	что он не	1	1
240	реального адресата а	1	1
241	рамках новой парадигмы	1	1
242	все то что	1	1
243	одним из существеннейших	1	1
244	чувствительностью эта природная	1	1
245	только в присутствии	1	1
246	внутреннюю сторону окружающей	1	1
247	может быть назван	1	1
248	цельность как бы	1	1
249	оценке согласно императиву	1	1
250	императиву мастерства приходит	1	1
251	индивидуальность гения чья	1	1
252	ранее гипертрофируя вновь	1	1
253	должно стать самостоятельным	1	1
254	оставался единым со	1	1
255	осознание собственно творческой	1	1
256	искусства после гегеля	1	1
257	эксплицитные правила при	1	1
258	в сознание адресата	1	1
259	сырого прозаического речевого	1	1
260	эстетической неклассичности известной	1	1
261	я и мир	1	1
262	первозрителя первослушателя собственного	1	1
263	и общества о	1	1
264	творческой стороны эстетического	1	1
265	жизни по всеохватывающей	1	1
266	текста отождествляемая с	1	1
267	эпоха классического реализма	2	1
268	по фабрикации скрипок	1	1
269	месте искусства в	1	1
270	это мастер исполнитель	1	1
271	форма эстетических отношений	1	1
272	известной незавершенности открытости	1	1
273	настоящему другому силится	1	1
274	но собственно познавательной	1	1
275	характеристике с.с аверинцева	1	1
276	есть в близости	1	1
277	прозаические формы текстуальности	1	1
278	как созидающая в	1	1
279	задания сколько креативное	1	1
280	распространять в области	1	1
281	творческий акт художника	1	1
282	тому как ученый	1	1
283	сознании адресата именно	1	1
284	смену императиву мастерства	1	1
285	только в иной	1	1
286	деятельности мыслятся сверхиндивидуальными	1	1
287	художественной культуры в	2	1
288	так толстой например	1	1
289	и эстетической революцией	1	1
290	для искусства в	1	1
291	в той мере	1	1
292	на первом слоге	1	1
293	художественное сознание глубже	1	1
294	еще и рецептивная	1	1
295	искусства реализатором коммуникативного	1	1
296	фабрикации скрипок озабоченный	1	1
297	ученый историк реконструирует	1	1
298	своей полноте и	1	1
299	лишь манифестацией эстетической	1	1
300	к смещению ценностных	1	1
301	работа с материалом	1	1
302	реконструирует скрытые причины	1	1
303	по которым строится	1	1
304	близости людей заветная	1	1
305	как правило приобретает	1	1
306	эстетической игры воображения	1	1
307	автор относится как	2	1
308	стадии и будет	1	1
309	систематическое рассмотрение парадигм	1	1
310	на задний план	1	1
311	убеждений ценностей технических	1	1
312	по всеохватывающей своей	1	1
313	языка на котором	1	1
314	может быть постигнут	1	1
315	доминировавшего в историческом	1	1
316	на реального адресата	1	1
317	м.л гаспарова вся	1	1
318	присутствие я в	1	1
319	в тексте необходима	1	1
320	в большинстве случаев	1	1
321	мире художественная деятельность	1	1
322	эстетическая цель изображать	1	1
323	игровой реализации своего	1	1
324	при наличии которой	1	1
325	речевого материала и	1	1
326	не остается возможности	1	1
327	сколько креативное изобретение	1	1
328	предмет такой деятельности	1	1
329	индивидуума авторский текст	1	1
330	не менее чем	1	1
331	текст основа не	1	1
332	смена таких парадигм	1	1
333	адресата а не	1	1
334	субъективной новой реальностью	1	1
335	иначе с познанием	1	1
336	в сознании адресата	1	1
337	мастер и маргарита	1	1
338	могли бы служить	1	1
339	литературная классика xix	1	1
340	автору каждый человек	1	1
341	изображать красоту гармонию	1	1
342	согласно императиву мастерства	1	1
343	обретает жизнь лишь	1	1
344	творческой рефлексии художественное	1	1
345	яркая индивидуальность гения	1	1
346	обретает при этом	1	1
347	место первочитателя первозрителя	1	1
348	эмоционального вживания в	1	1
349	это работа с	1	1
350	героя ту или	1	1
351	появление и укрепление	1	1
352	людей заветная черта	1	1
353	всем своем отталкивании	1	1
354	не достаточно креативной	1	1
355	воспринимаются как недостаточно	1	1
356	для него не	1	1
357	на реальное многообразие	1	1
358	художественности предполагает существенное	1	1
359	жизни подобно тому	1	1
360	открытое она лишь	1	1
361	последнего отныне не	1	1
362	целостностью при наличии	1	1
363	не только мастерство	1	1
364	мастерства приходит императив	1	1
365	чужое сознание истинный	1	1
366	текст как пушкинская	1	1
