N	4gram	Medvedev_F	Literetu
1	в то же время	13	21
2	не говоря уже о	1	6
3	с этой точки зрения	1	5
4	бы то ни было	1	4
5	какого бы то ни	1	3
6	с одной стороны и	4	3
7	в том числе и	1	3
8	состоит в том чтобы	1	2
9	то же время не	2	2
10	может и не должно	1	1
11	не что иное как	1	1
12	и прежде всего в	1	1
13	в том что искусство	2	1
14	все более и более	3	1
15	и не может быть	4	1
16	не может и не	1	1
17	нет и не может	2	1
18	и в то же	4	1
19	то же время в	1	1
20	все новые и новые	1	1
21	как один из моментов	1	1
22	не тем что он	1	1
23	то же время здесь	1	1
24	но в то же	3	1
25	рассматривается с точки зрения	1	1
26	искусства и культуры в	1	1
