N	3gram	Berdyaev_M	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	по ту сторону	1	4
4	до сих пор	5	3
5	не может быть	22	3
6	в чем не	2	3
7	по сравнению с	2	3
8	во всяком случае	1	3
9	ни в чем	2	3
10	так же как	1	2
11	в нем нет	1	2
12	во всех его	1	2
13	о том что	3	2
14	не могут быть	2	2
15	в самом деле	1	2
16	на протяжении всей	1	2
17	друг на друга	1	2
18	и в этом	1	2
19	в этом нет	1	1
20	в том что	3	1
21	в глубине ее	1	1
22	а может быть	1	1
23	ним может быть	1	1
24	не что иное	4	1
25	и та же	2	1
26	что иное как	4	1
27	вместе с тем	5	1
28	подобно тому как	2	1
29	новых и новых	1	1
30	влечет его к	1	1
31	можно было бы	1	1
32	и есть та	1	1
33	его не интересует	1	1
34	человек не может	3	1
35	в свою противоположность	4	1
36	мы имеем в	1	1
37	в этот момент	1	1
38	в том смысле	2	1
39	двойственное отношение к	1	1
40	есть прежде всего	4	1
41	быть может наиболее	1	1
42	и ту же	1	1
43	и на наших	1	1
44	человека и все	1	1
45	же как и	1	1
46	со всеми его	1	1
47	имеем в виду	1	1
48	а иногда и	1	1
49	этап в развитии	1	1
50	в конце пути	2	1
51	один из моментов	1	1
52	в высшей степени	4	1
53	но к чему	1	1
54	мы увидим что	4	1
55	одну и ту	1	1
56	в любви к	4	1
57	одна и та	2	1
58	его отношение к	2	1
59	не был связан	1	1
60	в этой борьбе	1	1
61	для того чтобы	4	1
62	как и всегда	2	1
63	так как он	1	1
64	в разных местах	2	1
65	в нем и	1	1
66	на этом пути	4	1
67	он не был	1	1
68	в этом отношении	1	1
69	в него все	1	1
70	этим не преодолевается	1	1
71	это и есть	7	1
72	на наших глазах	1	1
73	находится во власти	1	1
74	вопрос можно ли	1	1
